StdReturn,MaxEsReturn,MaxForwardProgress,AverageQ,AverageReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageY,AverageAction,MinReturn,AveragePolicySurr,Epoch,StdForwardProgress,AverageAbsY,MinForwardProgress,AverageQLoss,AverageAbsQ,AverageDiscountedReturn,MinEsReturn,AverageEsReturn,MaxReturn,QFunRegParamNorm,AverageForwardProgress
1.14970734925,31.2450736441,0.00722834269527,0.0166584,-3.94862054055,9.35626194177,10.7155,0.00371247566708,0.0163679556845,0.982637,-7.65895867204,-0.01092,10,0.00515191612665,0.0171310591605,-0.0257064361045,8.38105e-05,0.0174044,-3.69584343053,-19.3871324661,3.67190564088,-0.796019520841,9.11804,-0.00781224060194
1.06557943942,0.0396454257255,0.00818337941087,0.0089966,-3.81829189593,1.03801058846,10.8732,0.00237248641743,0.00899178274953,0.978259,-7.60725219796,-0.00559326,11,0.00437101730644,0.0112061990978,-0.0196736175712,2.21877e-05,0.0106747,-3.60316286667,-6.4214994529,-3.95873538895,-0.496790839524,9.14754,-0.00499962279918
1.73063397067,3.83821412894,0.0302416182703,0.00565041,-0.460861334212,1.79848059774,10.9327,0.00178661967105,0.00565355330237,0.999931,-6.25300431967,-0.00287346,12,0.00812115770519,0.00988751780232,-0.0194396001432,1.04833e-05,0.00961934,-0.437930023808,-4.66973248703,-0.407648867717,4.66284571881,9.19472,0.00778651904873
1.78962758108,2.87025875656,0.0352033161879,0.00299401,-0.507546128676,8.45794606307,11.0832,0.00204505715777,0.00298861204314,0.999449,-5.48634233985,-0.000358528,13,0.00838485984113,0.00714683863124,-0.015785369681,1.0976e-05,0.00692113,-0.482081638515,-36.107139137,-2.86560617823,5.41040818759,9.33829,0.00755305849837
1.60422501918,2.37693589685,0.0243711783554,0.000391925,-1.27292320706,1.30878310004,11.1853,0.0016515824445,0.000388814472974,0.959533,-6.03914732015,0.000890047,14,0.00747763455112,0.00494956668757,-0.0193341816959,5.94928e-06,0.00472654,-1.18175037878,-4.39503012566,-1.46847040483,3.33045003958,9.38732,0.00298248750974
2.0097353852,1.23051050809,0.0322313034854,-0.00090039,-1.39438731646,4.06201216547,11.2664,0.00131199813045,-0.000903494384128,0.972549,-6.7492524713,0.00195439,15,0.00959862070117,0.00479072481582,-0.025569906588,3.79539e-06,0.00475483,-1.30761739423,-16.0653995315,-4.20711690619,5.15482011585,9.45202,0.000740741380635
1.81928189962,4.00856268017,0.0391577278479,-0.00323755,-0.419554283558,1.79942553432,11.3039,0.00123806076745,-0.00323901636625,0.999916,-6.09394224033,0.00459695,16,0.0085275887433,0.00437503700029,-0.0181193138111,3.53195e-06,0.00431742,-0.401000140228,-4.16256954708,-0.587275612366,6.26147552272,9.54079,0.00796952857459
1.71905670988,4.18443591164,0.0329929555677,-0.00424128,-0.379775148915,1.65151757219,11.3172,0.00108202620874,-0.00424243020765,0.999954,-6.43086147104,0.0042811,17,0.00805054750778,0.00440911227496,-0.0202532103026,2.57869e-06,0.00435107,-0.364481875023,-5.5443258145,-0.650361852352,4.93939924064,9.62529,0.00814057995925
1.75852910318,2.71106922031,0.0330477438432,-0.0041545,-0.522614202683,1.82549878609,11.3391,0.00155436988682,-0.00416081204161,0.999997,-6.34232339233,0.00453286,18,0.00820315166294,0.00422836065943,-0.0196342991951,7.94449e-06,0.00423619,-0.496186584818,-6.35426858478,-0.399635635584,4.88212640768,9.59454,0.00749530708761
1.70556250553,3.09670079221,0.0365094016393,-0.0048666,-0.480081792188,1.57625180412,11.3411,0.00117156533799,-0.00487121122855,0.999999,-6.27833538649,0.00545431,19,0.00797219906043,0.00492446329543,-0.0193116211778,4.06911e-06,0.00489366,-0.456855496804,-5.40660809195,-0.617875878481,5.58165517929,9.59249,0.00771461795331
1.82026888018,2.66584030561,0.0339713656482,-0.00543282,-0.493791153451,1.79524595533,11.371,0.00116087632372,-0.00543567256767,0.999986,-5.81570666448,0.00590729,20,0.00851157827332,0.0054797690618,-0.0175667976137,3.6505e-06,0.00545246,-0.469964011043,-5.03591811903,-0.676847927961,5.05232680221,9.67723,0.00761343600621
1.7344961682,4.67838474311,0.0373110089442,-0.00579623,-0.383244266074,1.98701877031,11.3715,0.00111969787957,-0.00579881329442,0.999994,-5.295032372,0.00619495,21,0.00810660403298,0.00585304027483,-0.0151109225998,3.04129e-06,0.00582478,-0.368333869577,-5.28890425872,-0.0873403937057,5.8823799018,9.73861,0.00812241368301
1.79222185745,4.85994193728,0.0396962566214,-0.00606167,-0.345750732429,1.82498157092,11.3755,0.00119861430006,-0.00606409448083,0.999996,-5.70775248408,0.00638835,22,0.00837607583926,0.00614282826964,-0.0164755314121,3.77498e-06,0.00611561,-0.333188384024,-4.14263330874,-0.358054441001,6.21865178195,9.82878,0.00829660599089
1.66108925435,4.00469256067,0.0290041425152,-0.0062824,-0.389266440547,1.5322309197,11.3747,0.00121913068814,-0.00627617831937,0.999995,-5.27067568692,0.00647473,23,0.00777814375379,0.00636826011618,-0.0144439286514,3.96786e-06,0.00635474,-0.373333694566,-4.07040553609,-0.421554841745,4.08368601478,9.88226,0.00810164596052
1.68395010613,4.08930564004,0.03428244299,-0.00635328,-0.328988291444,1.73248547611,11.3741,0.00122011297722,-0.00635799553653,0.999996,-4.6942752488,0.00650481,24,0.00791325540419,0.00650661844635,-0.0133717083585,3.80418e-06,0.00647756,-0.31587264469,-4.10502100181,-0.668169565183,5.18662678061,10.0358,0.00839728598504
