QFunRegParamNorm,PolicyRegParamNorm,AverageEsReturn,AverageAction,AverageReturn,AverageAbsQYDiff,AverageQLoss,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,StdEsReturn,AverageQ,StdReturn,Epoch,MaxReturn,AverageAbsY,MinReturn,MaxEsReturn,AveragePolicySurr,Iteration,AverageY
18.9311,26.5944,295.083797093,0.841325,657.551630089,0.057802179189,0.00658363,57.0167055068,0.834163,295.083797093,0.0,0.834006,29.3331391142,30,710.1815908,0.834645091835,614.986959326,295.083797093,-0.918278,30,0.834499768477
19.4169,27.1147,336.834396472,0.926135,587.069344146,0.058638643901,0.00684773,59.0078366062,0.893685,336.834396472,0.0,0.893622,44.6665328787,31,656.987864318,0.894244297783,503.818415379,336.834396472,-0.984576,31,0.894124304033
19.8185,27.6271,365.172311362,0.918644,650.885035991,0.0590514828761,0.00682216,52.396030172,0.959694,365.172311362,0.0,0.959669,38.6935437959,32,733.633233338,0.960223173598,587.37624977,365.172311362,-1.05164,32,0.960148672689
20.255,28.135,427.58925703,0.888255,557.89340623,0.0599472327044,0.00723667,47.7961132417,1.02554,427.58925703,0.0,1.02552,44.7405502693,33,626.761493415,1.02608515597,482.786022575,427.58925703,-1.11968,33,1.02600831495
20.6752,28.6396,406.962758274,0.835831,765.386347364,0.0604281331401,0.0073422,64.5370204077,1.09373,406.962758274,0.0,1.09373,23.0391880067,34,805.304775388,1.09439179634,732.129437344,406.962758274,-1.1869,34,1.0943255199
21.0025,29.1693,414.395157751,0.927256,568.170070355,0.0586792133772,0.00653613,49.2070917953,1.16371,414.395157751,0.0,1.16371,57.3912244329,35,668.56090942,1.16423356537,463.448856735,414.395157751,-1.25675,35,1.1641985452
21.3171,29.6296,478.445856346,0.884954,491.488081802,0.0591358032542,0.00722305,43.5784151464,1.23315,478.445856346,0.0,1.23315,49.2024796133,36,566.110615089,1.2336925616,425.293446681,478.445856346,-1.32463,36,1.23361855063
21.6782,30.1307,491.449393961,0.951613,521.019529897,0.0603152970465,0.00810548,38.8284716599,1.30273,491.449393961,0.0,1.30273,49.9630962764,37,585.020980505,1.30332030958,422.534336436,491.449393961,-1.38984,37,1.30321520824
21.9424,30.6331,369.59870005,0.948579,591.40142948,0.0587807646566,0.00707048,52.9720959734,1.36545,369.59870005,0.0,1.36545,42.410175079,38,677.641089117,1.36596417885,502.119310506,369.59870005,-1.44909,38,1.36588735982
22.2565,31.0561,448.89536168,0.874392,699.165731817,0.0609837773185,0.00787275,60.6580834311,1.43477,448.89536168,0.0,1.43477,39.045511238,39,758.892649394,1.43530713876,635.9932601,448.89536168,-1.51954,39,1.43525751696
22.6065,31.4414,502.886709416,0.881111,454.508319976,0.0608501320517,0.00765383,45.3454969625,1.4956,502.886709416,0.0,1.4956,43.4879313426,40,521.235419233,1.49610357297,380.789001368,502.886709416,-1.57859,40,1.49603332488
22.9214,31.861,520.813651726,0.913562,561.121714079,0.0617681212309,0.00827885,47.5850878256,1.55753,520.813651726,0.0,1.55753,73.0831223005,41,660.62472203,1.55808975543,447.735437891,520.813651726,-1.63591,41,1.55800685515
23.2384,32.2208,453.959436194,0.930975,630.302659589,0.0624346509096,0.00829932,57.748410799,1.61918,453.959436194,0.0,1.61918,58.9980560883,42,719.933334353,1.61973749173,515.704455241,453.959436194,-1.69812,42,1.61969358369
23.6114,32.6233,492.974000898,0.928106,622.705780016,0.063481586374,0.00946414,43.3936677738,1.67619,492.974000898,0.0,1.67619,40.6336109548,43,670.842741105,1.67674456485,538.051990218,492.974000898,-1.74889,43,1.67665572378
23.8971,32.9718,531.388311589,0.91688,789.715502389,0.063724614708,0.00850061,58.5744797255,1.7354,531.388311589,0.0,1.7354,38.2179358478,44,869.252692708,1.73595194681,728.013187024,531.388311589,-1.80965,44,1.73588805669
24.2663,33.2939,508.663403033,0.912223,532.013577473,0.0666103465406,0.0106163,10.2889054432,1.79345,508.663403033,0.0,1.79345,189.335198122,45,840.537154632,1.7939779893,212.990957975,508.663403033,-1.86593,45,1.79389609155
24.5571,33.5663,569.137896176,0.89689,465.6968038,0.0664070386782,0.0106375,34.4250600112,1.84739,569.137896176,0.0,1.84739,142.322605886,46,774.408883081,1.84812109342,184.780310478,569.137896176,-1.92047,46,1.84802602593
24.8892,33.8769,450.97089244,0.917398,107.105291943,0.0663241970667,0.0114255,3.13176279624,1.90476,450.97089244,0.0,1.90476,63.5481156084,47,187.408933567,1.90538662825,-1.09833069561,450.97089244,-1.97621,47,1.90524449852
25.1755,34.1993,494.419598438,0.914779,644.046603089,0.0654875497478,0.0102069,46.1758084589,1.97507,494.419598438,0.0,1.97507,117.463985259,48,804.383126937,1.97576386462,437.942514285,494.419598438,-2.04848,48,1.97570312377
25.496,34.5346,150.928363068,0.918409,262.143703496,0.0673936874242,0.0110643,-0.209055484208,2.06065,150.928363068,0.0,2.06065,200.994617519,49,780.534434584,2.061158486,10.9770338081,150.928363068,-2.13581,49,2.06106676168
25.8523,34.8884,332.789045355,0.928185,868.5318763,0.0688160547922,0.0115594,77.5283792098,2.141,332.789045355,0.0,2.141,223.177899162,50,1188.75897194,2.14164434489,492.69040036,332.789045355,-2.22006,50,2.14157520394
26.1963,35.2869,646.130568552,0.912885,651.428413423,0.0710943241801,0.0131785,27.2712039483,2.20836,646.130568552,0.0,2.20836,97.2415917222,51,790.7302765,2.20893785431,493.476618876,646.130568552,-2.28942,51,2.20888130621
