MinReturn,AverageAbsQ,QFunRegParamNorm,AverageAbsY,AverageEsReturn,MinEsReturn,AverageQLoss,StdReturn,AverageDiscountedReturn,AverageQ,AveragePolicySurr,AverageReturn,AverageAction,AverageAbsQYDiff,AverageY,MaxReturn,MaxEsReturn,Epoch,Iteration,PolicyRegParamNorm,StdEsReturn
12.9074932811,0.242129,19.1281,0.208068311348,20.7255145571,0.735281220726,0.265326,0.125582502859,12.3078550235,-0.208914,-0.608145,13.1333866197,0.177815,0.395773068252,0.107909265788,14.0425662432,125.412511596,9,9,19.2559,21.184010049
5.68440436599,0.143693,19.228,0.140247280193,8.01367837482,3.71349503949,0.00439394,0.0617127652001,5.67955431809,0.130424,-0.169216,5.83836103343,0.999141,0.0347148776777,0.130567207319,6.01891478811,74.8473189395,10,10,20.7949,7.39591620867
36.686119702,0.207231,19.3711,0.207478944102,24.0288112093,3.61943541314,0.00137342,0.931209503216,34.4005431293,0.204165,-0.230783,38.6990202253,0.99998,0.0240450595316,0.204569555749,40.6330888781,51.6180105606,11,11,23.6828,19.2665156473
36.6760403332,0.348156,19.7536,0.348593202711,41.8527400644,5.26644972059,0.00229463,0.920110387866,34.5007915266,0.344493,-0.383007,38.8245786768,1.0,0.0282606474505,0.345040630894,40.8066685815,64.9098949561,12,12,24.4004,8.87811602538
36.7141762558,0.502483,20.4129,0.502908472783,43.3347245445,34.3821973469,0.00385138,0.946315784616,34.434484978,0.498245,-0.542906,38.7406123144,1.0,0.0347019526807,0.498730706273,40.5636643591,91.3167473024,13,13,24.4007,9.07942387752
36.6471532263,0.654309,21.2589,0.654881751531,39.8020236723,7.25703043033,0.00515058,0.910947029731,34.5050211578,0.650659,-0.708037,38.8287994634,1.0,0.039749926676,0.651232734362,40.6705383296,49.5663259255,14,14,24.4,5.62149302257
36.783675156,0.793003,22.1009,0.793460400586,42.0464688432,24.5986296073,0.00562309,0.902511243802,34.4501957473,0.79003,-0.857369,38.7628853263,1.0,0.0421643665548,0.790543968732,40.6183640292,55.7934866641,15,15,24.3933,5.12590844839
36.7176222288,0.932385,22.8545,0.932676791385,41.1718086036,15.0002418511,0.00517183,0.893105014026,34.4525690193,0.930458,-1.0046,38.7631597946,1.0,0.040707144069,0.930847851298,40.749788353,54.1038584038,16,16,24.4053,5.70966830923
36.7909410339,1.07454,23.709,1.07481998109,40.9820630301,6.18856430287,0.00572178,0.93236011079,34.4961244812,1.07308,-1.15374,38.817953303,1.0,0.0428985921612,1.07349235876,40.6385470698,61.8382008799,17,17,24.4052,6.75672820666
36.6666110293,1.21352,24.6986,1.21377962267,41.3716340376,8.3538416957,0.00672439,0.912086561305,34.4478947861,1.212,-1.30285,38.7588185132,1.0,0.0461597522274,1.21248722383,40.7234616364,58.0883510858,18,18,24.4052,6.84965012452
36.6938207045,1.35762,25.667,1.35773635098,42.2160927011,30.896871472,0.00693859,0.949724351099,34.4920276616,1.35623,-1.44594,38.8161963627,1.0,0.0473731753879,1.3565908876,40.8150738009,58.5931242282,19,19,24.4052,5.21099533271
36.5950585256,1.4876,26.7335,1.4877883339,40.6266158871,11.2533452977,0.00809637,0.944532218041,34.3754755049,1.48626,-1.57996,38.6660278878,1.0,0.0522413848335,1.48682198476,40.675156635,58.7416577512,20,20,24.4053,5.94407952813
36.7082422751,1.61334,27.8577,1.61345061628,42.5158641393,30.2815855024,0.00982401,0.89160834372,34.4578413224,1.6121,-1.70266,38.7703603884,1.0,0.05655699565,1.6126043363,40.7044198372,79.1257867544,21,21,24.4053,7.16458931003
36.5767012628,1.72817,28.8873,1.72814452644,40.9629667817,6.13906481835,0.0117935,0.939995452506,34.4727194909,1.72675,-1.81909,38.7896411774,1.0,0.0618416101785,1.72725249608,40.7142235279,64.0810383174,22,22,24.4055,8.19040941375
36.7137538749,1.83333,29.9196,1.83340706819,41.2630021174,7.53270538923,0.0125317,0.935075963023,34.5125007125,1.83201,-1.91531,38.8400881256,1.0,0.0626752951206,1.83261457775,40.6995503707,103.766272222,23,23,24.406,11.6149396232
36.6298075,1.92519,30.9127,1.92505161514,40.9395782048,4.18142277565,0.0139313,0.920004517789,34.4990574308,1.92383,-2.0115,38.8212208828,1.0,0.0660935600365,1.92440495492,40.7987916893,65.2551017389,24,24,24.4062,7.57863812292
36.5952038171,2.01521,31.7836,2.01514140818,41.2694241066,7.07292908039,0.0149189,0.907055972887,34.5089577842,2.01387,-2.09914,38.8320547443,1.0,0.069643142125,2.01446275535,40.6526244132,68.1985060416,25,25,24.4063,8.82021508292
36.5791892769,2.08974,32.8116,2.08981230134,42.1349062858,20.3143266439,0.0177019,0.976593101432,34.4820368107,2.08846,-2.16859,38.8003687404,1.0,0.073471224211,2.08924798078,40.8463545929,62.9850185941,26,26,24.4064,7.08035202573
36.6916772436,2.16115,33.6639,2.16095233785,41.4515245625,20.9985424483,0.0190194,0.929765278616,34.4740744379,2.16007,-2.2238,38.7911860125,1.0,0.074999142069,2.16032970286,41.8417594327,54.5762146231,27,27,24.4064,5.18238886489
36.7090050844,2.20628,34.4436,2.20631394161,40.7148039491,7.4438272229,0.0185436,0.92710608732,34.4274008706,2.20522,-2.26483,38.7339294298,1.0,0.0716141902045,2.20577800518,40.7824744338,52.0740494588,28,28,24.4065,6.18197055022
36.5738284032,2.25647,35.3079,2.25635971857,43.0070963777,25.6402401503,0.0198579,0.930960831248,34.4803659246,2.25545,-2.30827,38.7996151318,1.0,0.0765231112367,2.25595303007,40.6733006837,78.3789624083,29,29,24.406,8.98832045039
5.79029586749,2.30571,36.1596,2.30588746548,14.1402533176,3.73157764731,0.0257412,0.0417975562009,5.72752574172,2.30468,-2.46948,5.90893967355,0.999522,0.0876984293405,2.30542398478,6.01964329195,61.4799904498,30,30,30.1086,15.081693021
5.77587852051,2.62156,36.9715,2.62163238187,7.49984630275,1.95699881221,0.0476476,0.0658560619062,5.77715701291,2.61915,-3.09759,5.94336375437,1.0,0.137650853914,2.62032068665,6.11898647156,33.2421811207,31,31,30.6182,3.76263163319
5.70411660034,2.88725,37.6463,2.88666172426,7.47706525097,3.47034481668,0.0442926,0.059700051575,5.67282091131,2.88236,-3.12269,5.83159523236,1.0,0.128633833491,2.88290241991,6.01192132163,39.0713405419,32,32,31.9243,4.31667484821
5.69433253267,2.80899,38.4451,2.80976222558,7.41251992709,4.45110431752,0.054307,0.0609923149568,5.67868468812,2.80092,-2.46446,5.83755277804,1.0,0.139862345121,2.8005565816,6.02094752093,45.5784492967,33,33,33.0135,4.71947305587
5.70032577063,2.44572,39.3137,2.44666062117,7.4245808492,5.3551811168,0.0609839,0.061984668801,5.6768789646,2.42685,-1.93297,5.83569517232,1.0,0.155584044747,2.42637370956,6.01585989564,45.9070918473,34,34,33.0135,4.3835070887
