AverageY,AverageQLoss,StdReturn,AverageDiscountedReturn,AverageAbsY,Iteration,AveragePolicySurr,MaxReturn,AverageQ,AverageAbsQYDiff,Epoch,AverageAbsQ,AverageEsReturn,AverageReturn,MinReturn,AverageAction,PolicyRegParamNorm,QFunRegParamNorm,MaxEsReturn,MinEsReturn,StdEsReturn
0.343351422988,7.48609,49.5823764265,59.7974065263,0.631872081434,9,1.186,422.889442119,-1.74758,2.30518823889,9,2.05642,57.5396286522,89.9015167761,57.8595535814,0.0700506,11.8199,11.4915,420.810933228,-11.8668399159,77.5617053851
0.354448490927,0.0942485,1.39023237585,4.16385440196,0.43590722382,10,-0.516674,7.56415447146,0.346622,0.184730940555,10,0.427389,-9.95424723733,3.9629284888,-2.09917287361,0.969795,12.7857,11.4234,77.55998823,-28.1896740407,26.3384840481
0.606278787102,0.0237484,0.0475030969606,-7.86779423337,0.61252793715,11,-0.80751,-8.00673180495,0.60343,0.112427007369,11,0.607909,-7.61655964159,-8.14403406212,-8.28071523776,0.991341,13.6366,11.4611,11.0442391679,-20.9080779406,2.56207771937
0.756681901391,0.0205791,0.823289140832,-11.0078527928,0.77242876908,12,-0.859226,-10.5819225602,0.755268,0.102164373423,12,0.769612,-9.501548937,-12.2390195738,-14.1135147872,0.993399,14.2428,11.5609,-0.0962154132815,-18.9500827181,2.8942311573
0.79597518556,0.019436,0.586377214195,2.85069886605,0.826510050538,13,-0.864279,3.14405823995,0.795138,0.096285815418,13,0.823845,-5.96696161114,2.1008332613,0.659702496882,0.999896,14.5236,11.7561,5.23817130865,-14.2286181733,5.17641143383
0.843331958242,0.0187468,2.79464699983,30.3802999106,0.890345477787,14,-0.905354,42.8139352315,0.842275,0.0936872892228,14,0.887543,-0.156577419125,38.1990589853,30.6340512425,0.999998,15.0117,12.039,8.21483821659,-11.4194323343,4.35143248037
0.927751129135,0.0223223,17.4589471854,57.9160737802,0.982707936401,15,-1.08307,128.798130409,0.926084,0.0994668722351,15,0.979226,54.2599506454,78.3250350607,54.4448563639,0.999995,15.3523,12.4494,365.413283712,-1.39508397433,101.472912626
1.16642043118,0.0268999,25.3321282204,58.7485463345,1.20382807638,16,-1.35075,178.09631405,1.16509,0.104169255231,16,1.20028,226.790669379,81.6261936811,50.2369554497,0.999998,15.4786,12.9702,332.651772631,65.7101306978,110.512700408
1.37090237833,0.031301,45.7515872348,57.1136562496,1.4015724013,17,-1.55404,380.927073958,1.3698,0.106930705222,17,1.39853,214.727071909,80.0906285543,50.9557713978,0.999999,15.6805,13.544,467.448850788,23.9567410839,166.633939705
1.54919970929,0.0390515,20.5347646796,58.0176456925,1.57677159512,18,-1.74242,139.796065235,1.54768,0.117596938048,18,1.57302,169.592752379,85.8199268056,58.201976765,0.935844,16.5762,14.2594,407.640750508,66.3070762369,110.235275364
1.72681230946,0.0473319,110.544251547,80.0733070173,1.75158055654,19,-1.91963,381.844459636,1.72545,0.128151569978,19,1.74845,140.023649163,175.283223157,-50.5460541033,0.954618,17.7301,14.9847,359.244081507,-38.8152255523,159.261067107
1.90193494953,0.0456737,106.992005519,95.9188789186,1.92351871336,20,-2.09411,577.88637792,1.90071,0.129862822479,20,1.92081,136.864625087,275.467259807,4.81070549401,0.945239,18.6409,15.599,230.492883631,74.6967386688,61.6725505719
2.05469427744,0.055186,100.944384839,112.995467861,2.07438826473,21,-2.24407,688.649093814,2.05317,0.141887906143,21,2.07159,114.209004853,286.145781917,79.6035131521,0.955735,19.6413,16.3296,212.367053354,6.51612464126,82.1708595833
2.21867601631,0.0605746,66.8575351203,111.507197516,2.23779329007,22,-2.40566,458.446761105,2.2168,0.147334275707,22,2.2352,125.704456715,266.092088655,-7.13716955758,0.943767,20.6891,16.972,344.520639152,-34.8873735384,123.782545442
2.39646320489,0.0678992,55.8838668954,108.449052075,2.41324616482,23,-2.59993,416.171405109,2.39507,0.158250167107,23,2.41132,235.92208343,258.104983656,119.179364087,0.944138,21.7955,17.609,456.480769586,5.63550534764,161.195431335
2.57505353924,0.0834366,63.9331116214,113.654388695,2.59115049194,24,-2.78657,495.27057002,2.57293,0.168572515211,24,2.58829,164.200989407,297.782552956,188.521952922,0.935314,22.3373,18.3015,312.664394548,37.8763163654,90.0580930773
2.77355840202,0.0945279,189.937701156,85.0330016021,2.78997504529,25,-2.96947,731.803552354,2.77161,0.18112101505,25,2.78737,196.576557595,336.548289435,126.454084184,0.795943,22.7589,19.0015,324.481910022,48.4700706122,104.281147655
2.94048748143,0.0978601,95.3442716566,102.300206791,2.95724591271,26,-3.1361,422.084227813,2.93847,0.184863891062,26,2.95518,187.404393869,247.652369439,35.7654488014,0.91339,23.2608,19.6571,375.134319947,99.5956907317,101.894141737
3.11998776389,0.11924,121.290209738,111.870361717,3.13899471609,27,-3.31599,714.173037508,3.11793,0.198068188722,27,3.13723,225.559828145,363.444841438,-23.7542920094,0.812577,23.6497,20.3166,304.79943989,64.9835088427,78.2315507291
3.31271785235,0.1267,89.5510417256,94.3057126053,3.33194112273,28,-3.51283,445.962984116,3.31009,0.205226709178,28,3.3308,204.537585702,231.610144062,76.7814613668,0.91661,24.1919,20.8912,282.520449045,134.159299835,57.9698068288
3.4741009892,0.134031,127.795143182,102.392470136,3.49248807438,29,-3.67958,563.574944774,3.47183,0.21302931414,29,3.49096,266.611848705,278.764733079,51.8239402015,0.924566,24.7061,21.4847,409.000431734,13.9478603358,136.725904546
3.65838189246,0.146043,57.588984104,106.765022454,3.67614031197,30,-3.84275,500.999477367,3.65606,0.221712235474,30,3.6755,137.8337471,262.39370355,112.822346586,0.914828,25.1027,22.0277,203.107714494,43.6508998201,57.9205438718
3.80884190319,0.159606,73.7421304647,91.683248286,3.82639607717,31,-3.99715,403.65935096,3.80663,0.230401511749,31,3.82576,188.562374933,223.678606261,75.5270530982,0.905589,25.5721,22.6307,386.848699617,14.884123888,157.626788955
3.97637783979,0.16998,50.4740695408,85.7277411348,3.99181027729,32,-4.17241,316.258059273,3.97458,0.237845859154,32,3.99262,144.119927154,166.270079209,42.7561505875,0.940588,26.0763,23.1717,242.41393655,7.62732339549,99.250809842
