QFunRegParamNorm,AverageQLoss,StdReturn,AverageAction,AverageQ,AverageY,MaxEsReturn,MinEsReturn,Iteration,AverageAbsY,PolicyRegParamNorm,StdEsReturn,MaxReturn,Epoch,AverageAbsQ,AverageReturn,AverageEsReturn,MinReturn,AverageDiscountedReturn,AverageAbsQYDiff,AveragePolicySurr
11.1651,3.40488,0.266748832341,0.0393196,-0.780934,0.831886370974,223.384658943,0.681838973356,9,0.832437244417,11.1821,18.1193059726,12.8726248403,9,0.78256,12.1610260005,14.7560971306,11.3665007808,11.4181667477,1.61282031548,0.489882
11.2524,0.0385089,0.0804562875206,0.999929,0.448995,0.452397080764,5.15775471538,0.880451734894,10,0.455122014254,12.816,0.762947809568,1.90335121963,10,0.450515,1.70007254357,2.31749438885,1.49499451316,1.70556286709,0.10055949009,-0.559647
11.3682,0.00814378,0.0801527094661,1.0,0.440242,0.441158713472,4.27682909824,1.20025584564,11,0.444868850449,13.4865,0.562375903057,1.88299061826,11,0.443265,1.70021340114,2.28917701228,1.49397935838,1.70570864056,0.0542049990541,-0.52215
11.5117,0.00561006,0.488670820142,0.991881,0.524735,0.52527586361,4.83030953213,0.548703917004,12,0.530028972025,13.9859,0.653059391585,2.04113660496,12,0.531761,1.3790705387,2.37358731566,0.634515597728,1.42117700967,0.0456828765563,-0.584461
11.7143,0.00531295,0.838396266984,0.977655,0.568639,0.569052832672,107.842252739,-0.435015330032,13,0.577251852186,14.6177,22.1007209203,40.3791683039,13,0.579809,38.5491243883,11.5022944495,36.4001163287,34.2763282689,0.0435585558257,-0.633571
12.0888,0.00865425,0.478932837895,0.980934,0.662741,0.663262941037,80.5619499607,6.19879001899,14,0.679539644562,14.6836,11.5939523181,44.6748917065,14,0.679963,43.8885712915,44.1618989489,42.3040971075,38.482744182,0.0531295961927,-0.753729
12.4945,0.00975667,7.60737110693,0.97618,0.807071,0.807510290634,198.019464009,22.6244750313,15,0.821483049217,15.141,50.6525769664,121.565134634,15,0.821954,104.589123072,95.6745399766,76.2203753234,77.8608921943,0.0532404025599,-0.940424
12.9365,0.0101086,3.56865726568,0.983501,0.971547,0.972003474318,183.796014155,58.6293060107,16,0.983311850066,15.3864,35.6920324778,164.013391704,16,0.983542,156.111957897,133.76761355,146.093556512,99.0274579594,0.0519883190217,-1.1065
13.4551,0.0119959,8.98611695041,0.961921,1.12857,1.12893947761,203.023557975,60.9716831455,17,1.14065608556,16.0968,42.1157965978,141.382527097,17,1.14086,124.859733215,120.48414738,110.885111288,87.6936085225,0.0547081001119,-1.26048
13.9446,0.0136382,1.33584434731,0.967842,1.27893,1.27932547867,176.013629893,9.10152704485,18,1.29009566431,16.6169,33.1450321916,46.1022530818,18,1.29024,41.0640061106,90.8191690063,38.0751889605,36.0071987338,0.0561808817263,-1.41471
