AverageReturn,AverageQLoss,AverageY,AverageAbsQYDiff,MaxEsReturn,PolicyRegParamNorm,AverageQ,StdEsReturn,Epoch,MinEsReturn,MaxReturn,AverageEsReturn,AveragePolicySurr,AverageAbsY,StdReturn,AverageAction,AverageAbsQ,Iteration,MinReturn,AverageDiscountedReturn,QFunRegParamNorm
-8.18663475516,7.68633,2.820163945,2.54096488409,2.35850727548,11.7812,0.47082,3.33363267025,9,-17.6976774724,-8.0536640953,-9.67423480506,-1.00144,2.84145495503,0.0357591986937,0.561839,0.719809,9,-8.29611997208,-7.58792153066,11.5832
-8.31487123419,0.351275,1.60187750279,0.381689244096,-2.35204894058,12.5021,1.58962,1.65905985322,10,-18.0157126074,-8.09597447608,-7.72691972358,-2.39328,1.6310607132,0.0810600279372,0.998099,1.59946,10,-8.4928068259,-8.02638269257,11.849
-8.09101111172,0.0493868,1.1063786315,0.163407539035,0.370941864409,12.7222,1.10235,1.72084084768,11,-12.6101192869,-7.93349510572,-7.36358970582,-1.47201,1.13841568382,0.0653300917913,0.999997,1.12918,11,-8.25833838086,-7.81379650091,11.9853
45.960442681,0.0258743,1.04118862375,0.121879622181,78.8322499879,13.296,1.03952,7.78051817963,12,-14.8975092066,86.9599411501,-6.73347868761,-1.34679,1.08383277867,7.928922403,0.962548,1.08055,12,32.1007633893,31.3230970509,12.1117
70.4659315597,0.0207099,0.976628830964,0.105500248649,216.676761086,13.5728,0.975179,50.313279959,13,-24.8509732327,73.8748046086,28.8116111504,-1.42884,1.03481399832,1.34488703953,1.0,1.03116,13,67.5530870225,48.3447227387,12.2803
70.5018183287,0.0169627,1.06404742522,0.0935322721403,209.430671205,13.5774,1.06327,76.678755303,14,-30.1192892457,73.9086279466,77.3760332449,-1.33238,1.11569919547,1.16912955636,1.0,1.11331,14,67.258513552,48.3793803615,12.461
-8.81521499239,0.0183314,1.04876633783,0.0909682508486,75.2849447117,13.8229,1.04809,48.9447766551,15,-110.669319613,-5.95989733747,3.82665444645,-1.45668,1.11447085022,1.30946722421,0.999998,1.11231,15,-11.4068851167,-5.4232954914,12.7652
-8.57033713805,0.0225316,1.23869233303,0.102309086434,4.20072891779,13.8353,1.2373,12.8598809508,16,-41.8460917595,-5.81915121164,-16.646008654,-1.82792,1.29236373405,1.37201361886,0.999998,1.28944,16,-11.3406206164,-5.2488779443,13.1692
-8.92813556759,0.0243206,1.44125106718,0.103555626405,-0.575586894712,14.0128,1.44029,4.8179184815,17,-21.6940045141,-6.66680149423,-9.93779711197,-1.97637,1.48663531177,1.3288571646,0.996214,1.48413,17,-12.1966965599,-5.52199223968,13.5886
-12.1611590407,0.0263471,1.55274420773,0.106846082572,5.317543442,14.2446,1.55192,10.8071677963,18,-33.3055465595,-8.88317736456,-13.3393005974,-2.00285,1.59990291795,2.08559422327,0.93418,1.59675,18,-20.6411395039,-6.46033920749,14.0556
-8.66884285439,0.0252678,1.60713009256,0.105868733258,-4.71455872288,15.0794,1.60671,14.6249651056,19,-60.6215108206,-3.76672895894,-15.3062489081,-2.04183,1.66055498144,3.00030898999,0.985023,1.65718,19,-14.1238613554,-7.08275753611,14.4498
-32.3969118642,0.0277381,1.71679108129,0.109713033181,9.31578828565,16.403,1.71614,12.3445838151,20,-40.3286781527,-18.8645756197,-12.044859555,-2.17881,1.77571865601,9.3098670173,0.784604,1.77276,20,-58.3551222183,-9.92000451993,14.8537
-32.453767925,0.0333137,1.84658892691,0.11651677429,-11.208643307,17.0432,1.84601,8.41417764546,21,-36.4677261647,-9.03388691868,-26.1355678013,-2.3193,1.89851932451,11.9541749757,0.780298,1.89451,21,-69.5417202457,-11.969863838,15.2563
-33.6136934148,0.0362304,1.98692443855,0.121327766743,27.3735213931,17.6956,1.98614,26.9247116306,22,-65.6671049301,-11.4458196184,-28.8503740355,-2.42995,2.03582706328,10.8051337024,0.762178,2.03218,22,-70.0967212343,-9.17092454125,15.7867
-22.9670937462,0.0382603,2.10429286426,0.124518571055,206.911279963,18.2563,2.10345,64.8252935867,23,-48.4734242048,-6.13593114801,-3.49769014045,-2.53461,2.1519456343,11.5091289341,0.804563,2.1481,23,-61.7492320009,-7.89654975236,16.3065
-47.8007710827,0.041512,2.17804000394,0.129726500963,73.0889646095,18.8565,2.17732,30.6999326772,24,-49.4563880694,120.43122402,-10.5713772817,-2.60089,2.22614262012,25.7883756419,0.789055,2.22322,24,-87.5167399609,-13.5257191716,16.817
-18.3799014306,0.0415696,2.28251960545,0.130211863371,17.9288231485,19.3148,2.28179,20.8782497427,25,-40.3498566118,-14.3730448019,-15.2785622647,-2.70487,2.32833267129,1.7662961348,0.840295,2.32538,25,-24.3966844985,-5.53952126292,17.3185
154.627661005,0.0484519,2.40053125076,0.13744907771,147.122133231,19.7892,2.39963,55.2658560007,26,-70.3729336875,403.221483544,5.46867307811,-2.82315,2.44600473516,76.3194367943,0.795901,2.44248,26,-80.3264718318,65.4779917711,17.8945
459.645736631,0.0596148,2.53201391831,0.150144781456,301.611509671,20.3038,2.53064,111.628405393,27,-61.5827026844,1031.96985814,53.7485849586,-2.95396,2.57582116111,418.289718479,0.576646,2.57135,27,-44.056453407,50.7875991008,18.4297
32.0798454101,0.067406,2.65050777667,0.158389636293,376.276672696,20.8317,2.6497,134.171300703,28,-5.53452999083,433.078889745,81.4259284461,-3.07157,2.69367756719,113.933660696,0.779932,2.68943,28,-96.7538383247,23.4093507374,18.9526
