AverageAction,AverageReturn,MaxEsReturn,AveragePolicySurr,Epoch,PolicyRegParamNorm,AverageY,AverageAbsY,AverageAbsQYDiff,QFunRegParamNorm,Iteration,MinReturn,AverageQ,MaxReturn,StdReturn,MinEsReturn,StdEsReturn,AverageQLoss,AverageDiscountedReturn,AverageEsReturn,AverageAbsQ
0.203349,-3.41169155231,13.0471513234,0.733985,9,11.7098,2.52490055225,2.72700966455,3.99540752322,11.4917,9,-5.07203220358,-1.41783,4.41825251156,0.794559950758,-16.7425355006,3.97397315825,20.4982,-1.67759890928,-4.36213515874,1.49221
0.999871,-8.09238063855,1.05837701662,-1.54667,10,12.1904,1.25116031036,1.47792264851,0.400177116578,11.8242,10,-8.25762755092,1.21867,-7.94474729451,0.0640770836499,-17.3379919387,2.77190569275,0.422995,-7.81506692922,-7.83574469837,1.37942
0.99991,-5.38097178465,0.207461702517,-0.628633,11,12.5432,0.517634010014,1.34295611622,0.184860496203,12.061,11,-5.60614724136,0.515873,-4.81631903878,0.109794001765,-10.2466192259,1.18298487963,0.0609232,-5.2027029733,-6.89216894113,1.32805
0.999995,-8.61710131705,52.2232788196,-1.33624,12,12.7523,0.30934497504,1.77967906119,0.196654450005,12.7389,12,-11.1574607157,0.308323,-5.60940251916,1.24421866547,-20.0045984321,13.8282093509,0.0683945,-5.28050354435,-5.34457963382,1.77014
0.999994,-8.66647487733,4.43195349752,-1.99495,13,12.7494,0.712252864274,2.24237281582,0.235582557605,13.6434,13,-11.4388879051,0.710724,-6.00217735456,1.24832924324,-20.1248136243,4.76493516369,0.0992093,-5.31273940132,-8.84122012267,2.22947
0.668559,403.852529389,287.363026082,-2.69331,14,14.148,1.09516857719,2.66872097882,0.251114799914,14.5417,14,86.0220306652,1.09362,1264.08947168,214.457798647,-23.6014738217,114.357424635,0.122356,104.275582883,47.3586426652,2.65592
0.683791,361.589806041,557.735166597,-4.11304,15,15.5473,2.28094059715,3.47830132017,0.267446646158,15.3382,15,88.6931732027,2.27878,775.203350724,156.980471719,232.127505866,118.440330093,0.161479,98.8118813204,404.065913317,3.46385
0.820321,100.53524951,404.873460034,-5.49472,16,16.9059,3.67622745456,4.54159594097,0.304355509609,16.1174,16,66.5917873352,3.67359,424.194956922,44.9824911859,95.6567672956,104.803540034,0.230154,59.9604864464,260.662568418,4.52684
0.832838,339.877078444,77.0510292267,-6.64321,17,17.8245,4.80480188575,5.4823270793,0.338866564823,16.9383,17,106.322861038,4.80266,538.98938618,102.238800969,1.45523621895,28.0573592557,0.333195,101.389955978,40.086977062,5.46844
0.86097,83.9355042218,338.858576016,-7.75061,18,18.7175,5.94530709234,6.56257613868,0.368442357532,17.7541,18,47.9611874788,5.94324,137.293852215,20.1002598423,98.1089308783,83.8656874092,0.390474,58.5394069909,261.775645663,6.55221
0.837572,270.993686116,402.066079776,-8.95281,19,19.5212,7.13560779943,7.67566169912,0.413725092021,18.7208,19,64.7798586589,7.13219,470.753597935,92.5771321007,58.0974672549,139.129620547,0.54221,103.211468105,161.924009395,7.66555
0.824585,262.210611312,234.220342046,-10.0044,20,20.2601,8.17708169635,8.67383516971,0.453473469341,19.5014,20,70.5033764855,8.17376,403.936558921,109.565057333,35.427970272,77.8792388861,0.677218,95.4485309802,110.737115672,8.66058
0.818263,316.909237913,269.890646833,-11.0516,21,21.0669,9.16166839056,9.63985121769,0.485775013863,20.2704,21,91.9103602354,9.15868,454.627833744,94.6413325736,10.9637403569,85.3439978842,0.779566,102.586622918,85.2942496095,9.62752
0.818878,252.090912568,432.008284998,-12.1636,22,21.8114,10.2919632001,10.772249994,0.525059159823,21.06,22,158.986256732,10.2897,299.089337791,30.3170846196,41.9837807777,137.864762023,0.97054,117.952789283,288.705598627,10.7617
0.84292,291.866531356,399.407903104,-13.5064,23,22.4445,11.5926972677,12.0760872644,0.567415321391,21.7948,23,253.252786838,11.5888,395.251583095,23.0394346429,62.2536431921,125.515554071,1.20255,116.466085023,235.208645189,12.0627
0.753391,251.676478922,358.520922938,-14.7229,24,23.0455,12.8675982975,13.3684313343,0.607112481804,22.4905,24,210.515638141,12.8641,316.886911301,23.0054355555,77.8403072122,102.68131104,1.37665,118.760647822,221.438519394,13.3556
0.784546,259.583495667,383.830289456,-16.0563,25,23.6513,14.199228111,14.7149691123,0.662493884849,23.2485,25,66.0865249777,14.1956,439.821748658,83.1373356941,191.585099452,59.9855810034,1.69066,102.656022501,282.882390703,14.704
