AverageAbsY,AverageQLoss,PolicyRegParamNorm,StdReturn,AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageAction,MinEsReturn,AverageAbsQ,AverageReturn,Iteration,MaxReturn,AveragePolicySurr,QFunRegParamNorm,Epoch,AverageEsReturn,StdEsReturn,AverageDiscountedReturn,MinReturn,AverageY
56.137097831,8.8633,31.9655,75.9646526515,1.29404574206,364.20027021,56.0964,0.665508,11.9081885389,56.1654,196.616372037,48,337.322657318,-59.045,48.5273,48,198.413999614,110.373785747,117.328951364,115.03741766,56.1037173215
57.9973482332,9.02344,32.3336,12.568871723,1.33184681708,300.54313842,57.9695,0.554175,229.650560434,58.0362,309.572024188,49,337.504071054,-60.9513,49.2994,49,268.137110309,28.2508253167,159.496034781,273.22551817,57.9717958222
59.7856213372,9.63271,32.7314,13.4364355565,1.36855212914,318.71651521,59.7519,0.540608,129.308952083,59.8191,280.458047984,50,289.338312175,-62.7955,50.0457,50,230.561350148,64.014939066,151.61539452,210.870045533,59.7599510743
61.5061811745,9.68955,33.1151,62.9866430977,1.39762907072,354.887915113,61.4739,0.57774,65.0991472644,61.548,187.072858486,51,381.157479586,-64.5717,50.8274,51,263.365092951,95.3917561577,114.928603055,131.340639883,61.4795629367
63.2161763832,9.89635,33.4822,43.5917407932,1.41599318467,428.820167042,63.1871,0.547419,13.095859192,63.2576,299.71107435,52,409.557293194,-66.2601,51.5532,52,224.008877792,114.111568778,152.864011701,234.931962859,63.1915544773
65.0035892011,10.3906,33.8629,19.3581431965,1.46347248553,437.570210523,64.9636,0.456519,68.1980958103,65.046,327.22917971,53,384.63314868,-68.0115,52.3179,53,271.45268792,110.628429102,159.265039119,293.664117237,64.9707827439
66.6855957516,11.9966,34.193,37.1546675186,1.53671780018,382.509510485,66.6406,0.539578,12.3150743649,66.7279,361.276196482,54,457.254916984,-69.7868,53.0485,54,222.791292695,133.273032146,170.189355547,279.519716917,66.6490587619
68.3316606333,12.2568,34.5667,94.9480779166,1.55770904117,473.062450876,68.2943,0.557446,5.8699165479,68.3794,382.567217355,55,652.001183082,-71.4349,53.7447,55,241.899377891,151.100580713,176.559690975,291.634566075,68.2975308568
70.1942252247,13.4198,34.9086,57.7883746483,1.61387715273,370.156005066,70.1564,0.51899,186.578882831,70.2363,370.811253707,56,569.979635233,-73.3435,54.4423,56,278.007809073,63.5646419939,177.413248045,325.166020337,70.1664542061
71.921704246,13.2701,35.2417,12.9588847089,1.62237570117,348.515985188,71.8825,0.607945,11.3848051095,71.9701,349.397617654,57,397.96092596,-75.069,55.1167,57,147.776121216,121.71595365,173.629781408,326.743020265,71.887356217
73.5832437945,14.805,35.6042,67.2772072052,1.70686789532,360.48751654,73.5448,0.684873,104.130332608,73.6324,414.294726497,58,674.592576291,-76.823,55.7454,58,272.89008528,82.3810341469,183.900811769,354.108982981,73.5538702911
