Epoch,PolicyRegParamNorm,AverageEsReturn,AverageDiscountedReturn,MaxReturn,StdForwardProgress,MaxEsReturn,AverageAction,MinEsReturn,AverageReturn,AverageAbsY,AverageForwardProgress,AverageQLoss,QFunRegParamNorm,AverageY,MaxForwardProgress,StdReturn,StdEsReturn,AverageQ,MinReturn,AveragePolicySurr,AverageAbsQYDiff,AverageAbsQ,MinForwardProgress
9,17.7659,31.0171865581,9.84486257391,146.626093445,0.398947342723,109.925702253,0.949819,-50.300317591,15.6224749548,0.0386653699263,-0.0332263819863,0.490226,10.2259,0.0318065983442,1.11264257905,44.100172544,37.0291808673,0.525841,-34.3275859289,-0.608141,0.555896657274,0.591591,-0.514016525446
10,18.1126,14.1243860142,6.17327839939,69.9207284607,0.160709055669,80.5624425044,0.930319,-27.7913185793,8.61402017159,0.0750204937393,-0.0144569630717,0.00891174,10.1708,0.0644412572151,0.481119715285,18.1912010344,32.9738824284,0.0665708,-29.6506914541,-0.0829527,0.0483520730616,0.0928721,-0.410033217791
11,18.3808,49.7612255785,30.0415194581,143.965242571,0.369856925004,130.207615511,0.947474,-0.761085154588,59.7899012978,0.117851672548,0.36886349944,0.000664175,10.3827,0.104829141097,1.00438059918,41.2181269205,44.3518746167,0.104814,-52.673899864,-0.114488,0.0177529337345,0.117151,-0.740057149611
12,18.4037,67.5610727184,27.1893822896,141.553184255,0.546046957395,124.861543454,0.954838,19.9187917764,58.2436848079,0.156188313899,0.313612770227,0.000606667,10.5879,0.135660382391,1.02310513808,58.4230873355,35.7605356375,0.135572,-53.7460468863,-0.14106,0.0160378631343,0.155378,-0.735411430636
13,18.4726,44.4395778185,37.0812893984,101.128840244,0.287896081428,98.1586460136,0.964995,-2.77289820903,72.5265702141,0.195280984842,0.489576233699,0.000794752,10.8416,0.168882671134,0.729190280287,30.0537303544,37.7527256319,0.168827,-34.7303525441,-0.178128,0.0171646720392,0.194461,-0.527103299187
14,18.7155,39.566287388,39.278782153,106.387630208,0.19542416401,92.6970443756,0.954142,-15.0876737389,78.152104272,0.23711966148,0.546435118965,0.00103808,11.1321,0.204336516579,0.739570771443,22.2506374586,40.462898731,0.204353,13.7659727981,-0.216474,0.0189611925795,0.236417,-0.108822839498
15,18.9564,53.473921389,34.094101368,108.471597272,0.355598871161,130.702217956,0.943423,-29.4312360103,66.2206252956,0.284256276749,0.423280348091,0.00134491,11.5513,0.244700819464,0.763489893289,36.2840504978,53.0910618294,0.244683,-50.8055994684,-0.257669,0.0215300815215,0.283594,-0.750807726737
16,19.1668,46.9472973864,36.7792349579,105.294667098,0.321989291409,101.630337828,0.916164,-34.4588142066,68.9119763553,0.330937089854,0.464636880574,0.00166793,11.9534,0.285216071611,0.759940995112,33.525665182,38.033129593,0.285231,-57.4313024555,-0.296389,0.0233023807445,0.330309,-0.775952765382
17,19.3443,65.2494588469,37.655414143,113.564176445,0.292247924678,114.922858727,0.95788,-14.1872252055,70.2012345561,0.379862169547,0.482051671224,0.00195922,12.3583,0.32579640975,0.775307170243,31.1294240388,45.3160404169,0.325866,-41.6022068604,-0.336764,0.0254447100604,0.379307,-0.612472007112
18,19.5637,45.6638777957,30.8704476954,118.09235054,0.54693285074,85.6975164342,0.943165,-3.33717382114,62.4341707805,0.426068646799,0.351860474361,0.00217866,12.7051,0.364067977687,0.866367956385,56.5310003884,34.7998286265,0.364114,-56.7973121883,-0.379872,0.0271154450358,0.425433,-0.820002142391
