AverageEsReturn,MaxEsReturn,StdEsReturn,AverageY,AverageQLoss,Epoch,MaxReturn,Iteration,AverageDiscountedReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsY,MinEsReturn,AverageAction,StdReturn,AverageReturn,MinReturn,QFunRegParamNorm,AveragePolicySurr,AverageQ,AverageAbsQ
15.3592838436,224.935092668,19.5881800347,0.843472796967,3.60736,9,12.9242061523,9,11.4997615684,11.1824,1.66544486374,0.843511650302,1.36920571219,0.0383043,0.259672841592,12.2545022535,11.4595937512,11.1653,0.529539,-0.821972,0.823635
2.27359271673,5.40846993685,0.843731276472,0.469865852273,0.0398287,10,2.22796752876,10,2.0275046764,12.1396,0.10314214835,0.4725711307,0.544382111473,0.94534,0.115353919609,2.03078473346,1.00822641985,11.2933,-0.562126,0.466606,0.468138
2.20886058942,3.82201743709,0.567371298734,0.456753923786,0.00905501,11,2.07116268635,11,1.88450905827,12.7447,0.0555789388262,0.460616313757,0.0848058415124,0.959788,0.0771638280114,1.88402127986,1.6754321674,11.43,-0.496203,0.45593,0.458936
1.77513679631,4.54847932142,1.08804878664,0.514400222731,0.00522564,12,0.604477348361,12,0.463172013036,13.6008,0.0433328448986,0.519471404392,-0.541241746011,0.945016,0.110719904703,0.317157498621,0.0580737566493,11.542,-0.536515,0.513968,0.520793
0.845423986867,7.06350798915,1.29455948296,0.52662956469,0.00424084,13,-0.584235734179,13,-0.667615407519,14.565,0.0399289307951,0.537685967189,-1.38110648724,0.975546,0.311845528126,-1.42406397324,-2.07415845991,11.7055,-0.549849,0.526475,0.539893
16.9662259077,82.7697982153,25.5334111321,0.555255897303,0.00552191,14,95.8258390514,14,39.5012512306,15.3339,0.0449193165416,0.573191915459,-1.56614482672,0.946268,3.27630043342,48.2041108776,45.5098137599,12.001,-0.63741,0.554932,0.5735
55.5649799761,109.750870927,20.9366546576,0.657037850561,0.00736543,15,137.244504387,15,42.0707168204,15.7821,0.046456632024,0.673385707165,4.26715000311,0.900186,14.1749988878,51.1323886281,39.9423280516,12.4428,-0.7427,0.656657,0.673418
97.1292920619,235.96541929,45.4600753465,0.78650794799,0.0100215,16,84.7234573593,16,65.2154119552,15.9591,0.0510974503277,0.801462286456,37.8312759428,0.934554,0.514352820985,83.4448185839,82.1553713323,12.9932,-0.907535,0.785752,0.801275
106.265246253,187.977790062,47.7784413989,0.950867590506,0.0118293,17,78.5919065836,17,61.1877129516,16.2774,0.0534056333537,0.965125752256,5.7273322888,0.89451,0.896771137512,76.3045028137,74.7958544541,13.6496,-1.08615,0.950465,0.965277
103.762067796,176.366932911,39.6078117477,1.11480874569,0.0132828,18,101.339985556,18,73.5157078971,16.683,0.0554679799611,1.12627718549,34.6606065008,0.887457,1.41193203902,97.6968444563,93.4285792127,14.2388,-1.26677,1.11415,1.12604
