MaxEsReturn,AverageForwardProgress,Epoch,AverageReturn,AverageAbsQ,AverageAbsQYDiff,MinForwardProgress,MaxReturn,StdForwardProgress,MinEsReturn,AverageY,QFunRegParamNorm,StdEsReturn,StdReturn,MaxForwardProgress,PolicyRegParamNorm,AverageEsReturn,MinReturn,AverageAbsY,AverageDiscountedReturn,AverageQ,AverageQLoss,AveragePolicySurr,AverageAction
93.3538474751,0.0616681136671,10,-62.0341301514,0.0862428,0.0194550906873,-0.221323812136,-39.3120557345,0.109718983854,-135.969793195,0.070056643958,18.3471,29.4538009448,10.620977046,0.301933660031,18.9212,-3.53435473616,-88.0203491503,0.0732101445156,-22.381973648,0.0761594,0.00526733,-0.410402,0.927091
-60.2789087573,0.0930531784402,11,-55.2691703919,0.148487,0.00560302310743,-0.00727608500408,-46.7794080613,0.044706394052,-163.146122733,0.140876500685,18.5471,42.9163200841,4.65282996463,0.178193173947,18.8877,-89.2623147252,-65.70220355,0.148751761304,-15.6503406453,0.140925,0.000195198,-0.111226,0.869463
24.1148744181,0.2795546655,12,-38.6530458318,0.127402,0.00616419905776,-0.21490807791,-8.0774424786,0.151884509035,-69.8231774575,0.113051955243,18.8482,40.53095346,15.0488462601,0.587575423613,19.1232,-28.3463004326,-87.6930881356,0.127836907573,-10.2508425401,0.113032,0.000216589,-0.116827,0.946815
-11.5620198544,0.0555492081467,13,-63.2447110667,0.120682,0.00679102800523,-0.0326261118672,-38.6861915118,0.0608611052772,-50.8555131393,0.0999851051834,19.2495,14.1481031801,5.55636433669,0.341361636028,19.1753,-33.4841522731,-71.3221507944,0.121226686965,-20.655603362,0.0999722,0.000233309,-0.0830827,0.920845
-8.43646494025,0.362634854777,14,-27.7387119537,0.0954154,0.00763389455498,-0.0276642571606,-7.30278225315,0.149194938407,-72.6612972336,0.0634591717522,19.6868,23.7730793692,14.9813156206,0.567018181524,19.0045,-37.5713290323,-67.4082596557,0.0958138717886,-11.934523415,0.0634451,0.000257821,-0.0523065,0.968259
-16.1539792577,0.249672439609,15,-42.8005603802,0.0715365,0.00863495677785,-0.0690609283775,-13.7449806264,0.176802976162,-59.4292483699,0.0295323470293,20.2021,16.2521600617,18.2317282924,0.537758697689,19.1753,-39.3572365751,-74.4930240335,0.0720781842685,-10.9331649874,0.0295397,0.000342161,-0.0152057,0.921472
-36.0417757542,0.0634080282958,16,-61.8551742609,0.0652211,0.0097496237411,-0.057402261194,-28.6486998732,0.111439398378,-75.6067966078,0.0119430806174,20.739,15.6062873158,11.3816411785,0.38961352871,19.489,-53.9663181927,-73.8986868088,0.0659580498808,-19.5592594423,0.0119471,0.000405385,-0.0110244,0.910712
-23.2390980586,0.089594406486,17,-59.5200097936,0.0818323,0.0111127980728,-0.00220638754337,-36.8521502991,0.0641135397021,-70.0878762643,-0.00308571162502,21.2994,19.1659330364,6.19910541216,0.319193039262,19.6563,-56.2545366739,-68.2258862425,0.0826590702242,-16.7616511978,-0.00309129,0.00049581,-0.000373755,0.915044
-47.4407831888,0.261103461693,18,-46.6675386613,0.0995576,0.0119758268314,0.183163157554,-38.8211765131,0.0380240653781,-60.46778291,-0.017061221585,21.8722,5.15781052433,3.56286985581,0.346263023914,19.9054,-56.1918686772,-54.0845674229,0.100359794212,-8.11148289351,-0.0170533,0.000559072,0.0138729,0.971769
-25.1019990223,0.208469389051,19,-49.7009587288,0.119373,0.0129210819972,0.0677513231879,-41.4269177011,0.0433957592249,-67.0564724445,-0.0294450101095,22.4186,14.9208350565,3.37977835369,0.302048310906,20.1973,-44.4840738904,-59.4702918367,0.120255221211,-11.002792544,-0.0294152,0.00066817,0.032769,0.942529
