AverageY,StdReturn,AverageQ,Iteration,MaxReturn,StdEsReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageAbsQ,AverageDiscountedReturn,AveragePolicySurr,AverageAbsQYDiff,QFunRegParamNorm,AverageAction,MaxEsReturn,AverageQLoss,MinReturn,AverageAbsY,AverageReturn
10.76013568,10.3141731902,10.7571,30,15.6697598055,0.0,48.292082063,48.292082063,30,20.8323,10.7613,4.32687021593,-11.4721,0.41915337877,25.7645,0.753963,48.292082063,0.75991,-10.3784673514,10.765060354,3.98059732657
11.7263830341,1.11543226212,11.7252,31,-8.73972099739,0.0,33.3115779062,33.3115779062,31,21.2427,11.7302,-8.32969596133,-12.5517,0.453496147591,26.1702,0.998329,33.3115779062,0.881084,-12.9117083854,11.7317750999,-10.9202384306
12.7497544479,15.3360817324,12.7468,32,29.2809165994,0.0,39.7990137484,39.7990137484,32,21.5036,12.7504,-1.93583464603,-13.5708,0.452727596609,26.5003,0.919263,39.7990137484,0.893719,-13.3392160199,12.7529851321,-1.58004092674
13.7836091109,15.7761513103,13.7808,33,38.3132261699,0.0,38.0539818499,38.0539818499,33,21.8494,13.7819,10.8200423784,-14.6999,0.428918715705,26.7276,0.705337,38.0539818499,0.789452,-8.52121975954,13.7856824827,23.4341028926
14.6994311932,1.58300671112,14.6972,34,-4.09014132655,0.0,58.1171647055,58.1171647055,34,22.2019,14.6974,-5.94011205782,-15.5946,0.430146719694,26.9289,0.997584,58.1171647055,0.890284,-9.19486987382,14.700336465,-6.02859153456
15.5903319599,21.470882611,15.5881,35,42.6662010958,0.0,18.1895788276,18.1895788276,35,22.5461,15.5881,5.64927253774,-16.4475,0.433827421119,27.1543,0.938766,18.1895788276,0.899827,-9.26546902019,15.5906445144,10.0979653479
16.2914605784,15.2670788574,16.2889,36,29.8232971371,0.0,35.9362183041,35.9362183041,36,22.8417,16.2889,12.6715526039,-17.0612,0.453169993006,27.3202,0.963808,35.9362183041,1.11293,-6.2226941028,16.2920756774,16.2272386515
16.7875927552,14.7196828232,16.7843,37,35.0753525321,0.0,73.1528118354,73.1528118354,37,23.0811,16.7843,8.10257189634,-17.527,0.442358858945,27.5871,0.986247,73.1528118354,1.01966,-2.42315410808,16.7879788521,12.2573946599
17.4518650207,13.3072945927,17.4498,38,39.8406901153,0.0,7.28734710621,7.28734710621,38,23.375,17.4498,23.0785055136,-18.1358,0.4439433091,27.8334,0.981383,7.28734710621,1.03237,-6.86216587088,17.4522962603,32.7271017027
18.4393074797,11.0414898498,18.4365,39,36.78887513,0.0,27.2845153305,27.2845153305,39,23.6068,18.4365,22.2100186493,-19.068,0.405600560164,27.9966,0.915249,27.2845153305,0.841403,-1.86009886709,18.439426497,31.0395410419
