StdReturn,AverageDiscountedReturn,AverageQ,AveragePolicySurr,AverageAbsQ,AverageEsReturn,QFunRegParamNorm,Iteration,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,MinReturn,MinEsReturn,PolicyRegParamNorm,StdEsReturn,AverageQLoss,MaxReturn,AverageY,Epoch,AverageAction,AverageReturn
0.257004540183,11.4406988944,-0.703982,0.458291,0.705331,14.5747977153,11.1654,9,211.437002706,1.43504445915,2.13847874004,11.4957240457,0.481779738395,11.1815,18.2704749011,5.38453,12.8237060537,1.43449629521,9,0.039051,12.1871914099
0.548681226662,0.15588915457,1.16648,-1.2311,1.1848,2.46318107628,11.4823,10,11.9736187572,1.20644774501,0.124183971833,-1.02849459931,-0.69011810137,12.9551,2.6177576648,0.0648118,1.24474997715,1.17821688409,10,0.905257,-0.271315264489
0.895948480924,34.3174510091,1.46481,-1.58154,1.52822,9.67077290151,11.9515,11,59.3620746797,1.5304943981,0.0844241205329,36.4883866949,-1.40996468423,14.4618,16.8387921611,0.0222225,40.3910953699,1.46544200827,11,0.991023,38.6024342115
0.910755308893,34.3223178106,2.13215,-2.3634,2.25313,41.2458411994,12.8421,12,55.6447547305,2.25603916401,0.125003948176,36.4280200103,36.4813422693,14.8518,4.01007822934,0.062459,40.4991845824,2.13312110882,12,0.996037,38.6078906545
1.1888141222,43.0376717364,3.06238,-3.40747,3.21344,42.2371189022,14.4,13,86.3211831376,3.21640713834,0.175722271922,46.9482802127,24.7915426567,15.4374,9.11021050457,0.13905,52.8640641804,3.06296881878,13,0.964818,49.8893812696
3.554609112,85.1220646887,4.15528,-4.61942,4.31007,76.5278941419,16.1651,14,171.77637919,4.3128262413,0.217377673333,107.891568881,38.7125391434,16.1732,32.6942142506,0.218041,123.682694885,4.15618307711,14,0.879359,115.699192264
2.19744778124,109.526424141,5.4105,-6.03176,5.55623,115.354194492,17.8526,15,193.284233103,5.55831775005,0.26185749582,161.777604615,16.050985819,17.1041,54.5384043226,0.327704,171.384278942,5.41158307775,15,0.67986,167.538012351
34.216585326,72.423811145,6.90039,-7.63574,7.02226,112.987370428,19.4,16,223.586888454,7.02413817019,0.308677748733,37.039790867,13.0974132975,18.536,70.079630798,0.509379,118.121219368,6.9020488677,16,0.606268,96.6460458441
9.75039714458,128.134833616,8.50484,-9.35412,8.60605,146.335938899,21.008,17,251.061459308,8.60812798078,0.358613352429,189.48355148,36.4868654826,19.6941,79.9560687425,0.698425,230.581830289,8.50793110447,17,0.618591,214.201652719
87.0189168272,86.8429584219,10.2349,-11.2105,10.3236,179.396566408,22.7006,18,303.532708892,10.3245039057,0.41855081351,61.1596948852,62.0929766618,20.6749,67.3186184345,0.974779,251.157347488,10.2384574231,18,0.677098,134.610859802
