Epoch,StdReturn,PolicyRegParamNorm,AverageReturn,AverageQLoss,MinEsReturn,QFunRegParamNorm,AverageAbsY,AverageAbsQ,MaxEsReturn,AverageQ,AverageDiscountedReturn,StdEsReturn,AverageEsReturn,MaxReturn,AverageAbsQYDiff,AverageY,MinReturn,AveragePolicySurr,Iteration,AverageAction
9,0.00194323379269,10.2751,-0.307812115129,0.00107064,-31.3346501611,10.2526,0.0262187064382,0.0101883,93.9015663092,-0.00238135,-0.0307513446891,57.567134831,38.0968104916,-0.306319747782,0.0272789665468,0.00863944159891,-0.312123836697,-0.0385543,9,0.0030812
10,0.000535598922346,11.8697,-0.470264134496,7.56686,-19.0582950347,13.6119,0.118757115492,0.0825403,88.3904486068,0.0598818,-0.0470623223751,50.4747955351,52.3225142234,-0.468837487104,0.13418065372,0.0985014850839,-0.471064269223,-0.0925924,10,0.00470735
11,3.85079765985e-07,12.7301,-0.432470365502,6.59964,-5.654452626,17.1145,0.208999556444,0.203016,71.8280823217,0.200352,-0.0432884402031,38.7412674739,33.0868148479,-0.432469426133,0.16427057858,0.208910805025,-0.432470723159,-0.242108,11,0.00432903
12,0.0330164163601,13.0525,-2.93672888024,7.25078,-3.02307546928,21.7272,0.29402519404,0.300497,93.4456359996,0.284827,-0.293745797494,44.0197790236,59.1164153455,-2.91719480727,0.2113945254,0.291487637719,-3.01877073774,-0.350259,12,0.0293967
13,4.4408920985e-16,14.2286,-2.76637929091,5.30097,-13.0969073785,25.8336,0.350094976278,0.365477,77.7678764363,0.314104,-0.27690276842,45.4323919074,32.3354845289,-2.76637929091,0.191989399202,0.321535229925,-2.76637929091,-0.387639,13,0.0276915
14,0.000410382357612,15.1447,-3.02096721532,4.55785,-8.97404723315,31.1742,0.486434979704,0.511316,94.2681808487,0.431209,-0.302385867181,47.0349476202,57.4083905021,-3.02013935543,0.213858456669,0.440257245206,-3.02141170946,-0.504148,14,0.0302399
15,2.22044604925e-16,15.7784,-1.36118162768,2.02171,-13.0800788153,33.1787,0.556742645746,0.574463,-13.0800788153,0.482669,-0.136248475495,0.0,-13.0800788153,-1.36118162768,0.152753056218,0.485425973899,-1.36118162768,-0.548368,15,0.0136255
16,6.93889390391e-18,16.2346,-0.0431434628838,2.42159,-28.0606788187,37.4953,0.664080680308,0.680684,-22.8062170974,0.580338,-0.00431847662792,2.62723086064,-25.433447958,-0.0431434628838,0.185876002389,0.585719946505,-0.0431434628838,-0.641845,16,0.000431867
17,0.0,16.3735,-0.993123711436,1.26724,-0.0525258341172,40.2666,0.787667462014,0.808277,-0.0525258341172,0.704047,-0.099407447845,0.0,-0.0525258341172,-0.993123711436,0.161462126973,0.707374602832,-0.993123711436,-0.765328,17,0.00994117
18,5.55111512313e-17,16.9273,-0.287509509337,0.514471,-22.9992543339,41.6234,0.82117219978,0.840173,83.1922196819,0.738106,-0.0287784756574,53.0957370079,30.096482674,-0.287509509337,0.113704118446,0.739387321266,-0.287509509337,-0.795263,18,0.00287798
19,5.29395592034e-23,17.3069,-3.29822108824e-07,0.329755,-9.21578660344,43.1638,0.897034695257,0.915169,86.7294914949,0.812486,-3.3013786403e-08,47.9726390492,38.7568524457,-3.29822108824e-07,0.10169322294,0.813321696949,-3.29822108824e-07,-0.868058,19,3.30491e-09
20,0.0,17.8268,-1.32387708251,0.180509,-15.9922415702,44.4029,1.07360929333,1.0884,-15.9922415702,0.984451,-0.132514449628,0.0,-15.9922415702,-1.32387708251,0.0768185296544,0.984977018044,-1.32387708251,-1.03826,20,0.013252
21,0.00119980834457,18.4949,-4.09869360918,0.217671,-26.3144797977,45.7539,1.09072046398,1.10418,79.274313876,0.992339,-0.410227200632,52.7943968368,26.4799170392,-4.09741032863,0.0733579595099,0.992610346725,-4.1004536591,-1.03777,21,0.041028
