StdEsReturn,MinEsReturn,QFunRegParamNorm,AverageEsReturn,PolicyRegParamNorm,MaxEsReturn,AverageY,AverageAction,AverageAbsQYDiff,AverageAbsY,AverageReturn,AverageDiscountedReturn,StdReturn,Iteration,AveragePolicySurr,MinReturn,AverageAbsQ,AverageQLoss,MaxReturn,AverageQ,Epoch
4.19359838342,-17.3766447284,11.4911,-4.23431445255,11.7112,26.9185851878,2.94784470503,0.205364,4.0557744754,2.95807392723,-3.63974267153,-1.87606629631,0.515632242122,9,0.481047,-4.92621077498,1.28855,22.1732,-1.75468975867,-1.10793,9
2.91624215402,-18.1913559802,11.6772,-8.06150904671,12.1734,1.63847302908,1.52228013794,0.999947,0.394434861036,1.54132567747,-8.0897721507,-7.81257468998,0.0649619592562,10,-2.02694,-8.25157193884,1.50831,0.437139,-7.93872221674,1.49626,10
1.76149786953,-12.8321406368,11.7479,-7.30780370449,12.1858,-1.3109245801,1.19677441058,0.999912,0.162734432075,1.21771394436,-8.09347628262,-7.81616199682,0.0631665654878,11,-1.39601,-8.25535923052,1.21452,0.0503623,-7.9383023125,1.19237,11
1.89030104673,-19.2804739133,11.8136,-7.81775492063,12.2718,-4.36120089538,1.0876946024,0.999971,0.114933241829,1.11793419177,-8.2543063083,-7.97087000419,0.064992683303,12,-1.18632,-8.44557485248,1.1186,0.023743,-8.07605195488,1.08601,12
1.41078434652,-16.647940353,11.8929,-7.77716345431,12.2879,-4.44802335839,0.898705337397,0.999974,0.101523539482,0.965187220944,-8.25599556546,-7.97252909497,0.0654205287156,13,-0.945226,-8.42770659724,0.965602,0.0177175,-8.05862514309,0.897987,13
14.5066259708,-122.875994608,12.0282,-10.2976894875,12.7711,0.807298474309,0.653994136384,0.999996,0.0927538616917,0.776768988428,-8.59423905277,-5.25992487892,1.37184042614,14,-0.948109,-11.5393671216,0.77586,0.0146364,-5.97371737691,0.653363,14
5.95109738064,-29.9736753026,12.2541,-9.45177921999,13.3631,-4.99394367532,0.903490453377,0.608176,0.0938928862652,0.960487446163,130.223619529,64.7643423626,128.057558106,15,-1.34853,-14.118532706,0.958213,0.0158357,434.139826482,0.90229,15
88.8837206585,-28.928029468,12.5194,51.7009755947,14.4524,269.765149899,1.07222553647,0.50596,0.0901799064721,1.12990813306,276.89419612,118.232578557,9.27634911005,16,-1.53683,252.863145597,1.12843,0.0163365,295.746409372,1.07143,16
120.29935467,11.6843650416,12.7936,113.813327141,15.3514,335.802205808,1.27068132443,0.782116,0.0828469794723,1.3225268838,351.711624583,113.10278985,49.4781606453,17,-1.70443,165.811558641,1.32094,0.0157785,487.163323022,1.26987,17
114.355350428,23.9719174143,13.0946,185.795323933,16.0718,372.148036557,1.45207759189,0.82492,0.0809449601502,1.49919630843,455.142971754,118.50935062,136.606570486,18,-1.8775,66.0537046748,1.49772,0.0147853,580.897900203,1.45159,18
227.65251599,48.1297283451,13.5271,232.652054721,16.8396,620.180797041,1.65207667382,0.928235,0.0855192140227,1.69470860886,393.023948208,112.838576169,126.189144421,19,-2.0796,75.9110699621,1.69258,0.0182356,617.944566582,1.65142,19
86.976313923,-53.4992316482,13.9855,54.2411817551,17.6879,156.170069845,1.83548198026,0.876706,0.0895990610423,1.87369117622,296.065118129,87.95096523,156.253668953,20,-2.26566,46.2098979298,1.87165,0.0205137,561.515581494,1.83483,20
