Iteration,StdEsReturn,AveragePolicySurr,AverageAbsQ,AverageAction,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageReturn,QFunRegParamNorm,PolicyRegParamNorm,MaxEsReturn,AverageY,MinEsReturn,Epoch,MaxReturn,MinReturn,AverageQ,AverageAbsQYDiff,AverageAbsY,AverageEsReturn
9,2.91008632651,1.69179,1.88222,0.542985,-12.4656573656,2.15098,0.367789151689,-13.6319514493,9.72436,10.1066,-1.9768210763,-2.09661242557,-18.815481043,9,-10.3829942222,-14.2705807627,-1.87474,1.11104204429,2.09661242557,-13.1670178705
10,4.09874663661,1.01267,1.33076,0.985209,-14.5469166204,0.202884,0.669452183416,-16.378849918,9.9564,10.8314,-1.2876249112,-1.33685176517,-17.7915944531,10,-15.3929933574,-17.5446794007,-1.32985,0.309281614167,1.33842218875,-12.3315490305
11,10.1671862394,0.522134,0.747382,0.890339,-19.7671708601,0.0437118,12.2884857717,-51.7424084992,10.0859,11.6695,-8.92661419142,-0.73371977274,-60.6650235561,11,-29.643037424,-78.3194298627,-0.734688,0.15194078697,0.752711780603,-18.5593259405
12,15.8278056531,0.302609,0.598379,0.830467,-13.4720535125,0.0220708,1.57677139422,-30.153075045,10.132,12.3397,3.10283265058,-0.532656128177,-42.7066477465,12,-26.6305566407,-33.8473538713,-0.534206,0.111371820998,0.600477754524,-19.6976140342
13,13.4896903018,0.147731,0.518872,0.842528,24.7591852351,0.0179187,9.55216189329,33.834476454,10.2651,12.6991,12.2744975638,-0.377786011633,-32.6263485329,13,65.4248891686,-6.34012273483,-0.379001,0.100477487784,0.520986252265,-9.68725589205
14,72.9894319632,0.0125349,0.479557,0.9292,30.3373894545,0.0148056,6.6850185875,24.8778457108,10.4583,13.0333,248.13955796,-0.240688749035,-11.9901565193,14,44.0028950557,14.6122834523,-0.24141,0.0904877839117,0.484977402992,39.4383350079
15,109.847447709,-0.116795,0.472465,0.820897,133.497867631,0.0126658,5.71162336548,378.019621044,10.7093,13.4243,333.297818746,-0.11572662145,-5.61181513522,15,394.74834622,366.664175687,-0.116528,0.0829798457059,0.479273956764,71.2257301595
16,144.671682176,-0.261504,0.514153,0.822584,120.842625461,0.0114839,87.4003901086,435.548833594,11.0193,13.8259,423.004036091,0.0330608313402,39.7469104015,16,546.725945752,97.5357131249,0.0324181,0.0777729092718,0.520337223961,327.557720983
17,166.31903861,-0.412805,0.598312,0.759969,90.6557502644,0.0110047,166.488750369,268.749254242,11.3893,14.1244,482.786267149,0.200685013607,37.5716606222,17,622.925011132,86.6116565359,0.200269,0.0726931850549,0.60359451443,362.582447087
18,167.377729865,-0.547694,0.680968,0.765343,124.657900908,0.0122372,18.5326132512,416.080516405,11.7037,14.5777,435.254728836,0.340929755429,3.61447322423,18,461.370622281,373.778231149,0.340379,0.0723884890739,0.685281224355,211.496387165
19,123.973534684,-0.686859,0.778516,0.676084,127.819725113,0.0109408,9.53458872485,400.453670898,11.9781,15.1031,497.217184998,0.492844412936,206.652468986,19,419.272963971,381.529902103,0.49229,0.0699703420867,0.782819568947,377.411564128
20,97.0222196446,-0.806405,0.851499,0.8113,-5.24613960266,0.0149984,1.23843153047,-8.41387515237,12.3223,15.9044,361.170543941,0.601094621287,-38.3694592876,20,-5.90245927037,-10.7218808089,0.600728,0.0757075709037,0.856076087335,13.4579957319
21,18.7080771998,-0.904978,0.912271,0.810396,-0.747661995254,0.0154828,45.0697374871,-29.2568142107,12.6329,16.5944,5.81173888149,0.699718309832,-57.6833648521,21,320.206426734,-102.142000812,0.699214,0.0776036636468,0.917635928004,-17.2393513426
22,24.8158984549,-0.998644,0.977762,0.643701,79.57590042,0.0182145,178.041967158,240.150647254,13.0083,17.1317,35.9676084095,0.796212073569,-36.7597044887,22,568.077972327,13.5213452172,0.79592,0.0824106886449,0.983597043822,-6.34764638762
