AverageReturn,StdReturn,AverageAction,Epoch,AverageAbsQYDiff,MinEsReturn,AverageAbsQ,AverageEsReturn,Iteration,AveragePolicySurr,AverageY,AverageQLoss,AverageDiscountedReturn,AverageAbsY,MinReturn,StdEsReturn,QFunRegParamNorm,MaxReturn,AverageQ,MaxEsReturn,PolicyRegParamNorm
12.2534191653,0.257168290032,0.038722,9,1.48326154082,0.514220158762,0.788779,14.5685211416,9,0.502983,0.69448303134,2.74422,11.4989346996,0.695443311563,11.4165891179,15.7746362366,11.1661,12.9219632925,-0.788779,158.556482892,11.1821
1.7015836356,0.0814800851297,0.999826,10,0.10052785721,0.727952261682,0.455611,2.22971392336,10,-0.542591,0.457419637341,0.0395365,1.70702971263,0.460220424433,1.49008918576,0.83612925088,11.2521,1.90998543854,0.453991,5.62055988069,12.2697
1.70164825407,0.0824019081811,0.999989,11,0.0510768826913,1.08072633782,0.43271,2.29873573571,11,-0.485101,0.430709192922,0.00735998,1.70707552569,0.434169837655,1.50050956492,0.566733261691,11.3611,1.91109931008,0.430037,4.27935022546,12.6152
1.53148616634,0.0939711347045,0.999146,12,0.0399622913061,-0.0330231481912,0.496898,2.27655645661,12,-0.516602,0.490424389726,0.00433271,1.55379555652,0.495484948651,1.31324220967,0.722476828541,11.4642,1.77414257545,0.489987,4.85512946091,13.1296
0.348351559271,0.114051891045,0.998555,13,0.0369640799275,-1.62453963058,0.511264,1.07685107392,13,-0.512189,0.499308539899,0.00351779,0.490397725179,0.509096319011,0.0407452345632,1.01187962651,11.6271,0.61760744271,0.499187,3.90193446483,13.6489
0.283613972412,0.119157319572,0.999876,14,0.0355237229151,-0.614994953656,0.501519,0.97283809686,14,-0.471382,0.481809452803,0.00313782,0.432867871228,0.500718831672,-0.0129804594669,0.801850340291,11.8003,0.561446581297,0.481669,3.34674941473,14.1643
38.7839346994,0.961464617965,0.999998,15,0.0421129517155,0.168392553653,0.53903,33.3812197569,15,-0.595453,0.511062660527,0.00549479,34.4665802366,0.538709323866,36.6845178263,17.8298720959,12.1406,41.7898557861,0.511049,66.8871980733,14.5436
38.7542213811,0.904823840164,0.999999,16,0.0452153833647,16.4466122433,0.685669,41.2781886,16,-0.775158,0.663727164852,0.00785047,34.4457111892,0.685536559885,36.734022954,5.03113858817,12.6533,40.7088603919,0.663369,52.7181412296,14.546
38.7226127383,1.00365586596,0.999999,17,0.0495800619954,5.24838403749,0.83452,40.4198265099,17,-0.94395,0.814857743263,0.00945313,34.4198771246,0.834292074211,36.6754333024,7.17519013232,13.2252,41.7724702514,0.81462,55.9492065795,14.5502
38.8186874066,0.930855520395,1.0,18,0.0541105862961,27.8831867324,0.975904,41.4506683088,18,-1.09465,0.958447873461,0.0106848,34.4953627748,0.975461398842,36.6753240975,4.89508788234,13.8097,40.8317987884,0.958111,58.8506217481,14.5544
