StdEsReturn,AverageQLoss,AverageEsReturn,Epoch,AverageDiscountedReturn,AveragePolicySurr,MinEsReturn,AverageAbsQYDiff,AverageAbsQ,Iteration,MinReturn,AverageAbsY,AverageAction,MaxEsReturn,MaxReturn,StdReturn,AverageY,PolicyRegParamNorm,AverageQ,AverageReturn,QFunRegParamNorm
4.19351569149,20.9563,-4.25595973012,9,-1.96106240865,0.75209,-18.1901961855,4.03713617854,1.56519,9,-5.47179266711,2.72527862827,0.208073,34.864740045,3.75819333713,0.828200092055,2.57631599524,11.7098,-1.44927,-3.72044903271,11.4913
2.72126499115,0.413027,-7.94448684936,10,-7.8133200942,-1.53062,-18.6026645573,0.385453589607,1.36207,10,-8.24734893549,1.45755938624,0.99313,1.35181148728,-7.93224977231,0.0649506316997,1.22753430841,12.1693,1.19637,-8.09092851657,11.8834
1.66922472872,0.0534901,-7.4085434381,11,-5.20701003126,-0.609599,-17.6647981032,0.172647667127,1.32483,11,-5.6036475488,1.33805954616,0.999921,0.120820187716,-4.80795526005,0.104276531483,0.521125009627,12.6372,0.520146,-5.38549688631,12.2127
9.09332555061,0.0606868,-7.39125205642,12,-5.44987541803,-1.30564,-36.4709010165,0.182303462324,1.81056,12,-11.7256957347,1.81828876295,0.999999,4.47053259113,-5.9841149628,1.3443846385,0.228364850518,12.8295,0.227708,-8.84828025975,12.9273
3.10073946787,0.084925,-11.005847493,13,-5.33490667623,-2.1873,-16.5397737432,0.214599374821,2.28886,13,-11.7491391676,2.3018172385,0.990968,-4.9556046083,-6.22246795001,1.27746498437,0.831413799889,12.7479,0.830016,-8.70637685474,13.9317
14.5767711563,0.102582,-18.7023565959,14,-15.5218091594,-2.64837,-43.3862130892,0.229467046782,2.67754,14,-41.9698316879,2.69246059613,0.723721,12.5901500959,-15.4755342997,6.29943558806,1.23837167644,14.7781,1.23759,-31.0865230788,14.9366
11.4652529997,0.14055,-20.6643930044,15,116.443511141,-2.92704,-36.7660977538,0.259026013524,3.03424,15,324.949990603,3.05115931712,0.792575,1.53035475259,381.622838539,13.2093420168,1.49303059724,16.4999,1.49238,345.639430099,15.9939
175.170775274,0.194759,235.312455291,16,115.840356537,-3.99253,9.53025780709,0.294199232376,3.58928,16,237.418653191,3.60693376387,0.667045,462.471368196,1059.18558884,250.308021005,2.00566050504,17.5498,2.00507,531.377660765,16.9421
152.345849942,0.243166,198.276786762,17,122.213501767,-5.48956,53.0021809277,0.315270016481,4.73249,17,314.144281698,4.74707699257,0.747736,425.787292327,615.174778257,61.2333284363,3.56010846091,18.6764,3.5583,421.888615399,17.7732
161.401026461,0.317296,231.478970636,18,55.9857270751,-6.73795,19.8211377265,0.344875827677,5.79024,18,46.6155333644,5.80085336518,0.667952,437.851832249,602.815513724,105.884172383,4.81525044661,19.8069,4.81362,97.906410107,18.6381
