Epoch,MinForwardProgress,StdEsReturn,MaxEsReturn,AverageAction,AverageQLoss,StdReturn,AverageQ,AverageAbsQ,AverageAbsQYDiff,AverageForwardProgress,AveragePolicySurr,MinEsReturn,AverageY,MaxReturn,AverageEsReturn,MaxForwardProgress,StdForwardProgress,PolicyRegParamNorm,QFunRegParamNorm,AverageDiscountedReturn,AverageAbsY,MinReturn,AveragePolicyStd,AverageReturn
9,-0.0217493487098,0.711472148642,4.78568321761,10878795.02,0.000303439,0.407842489706,-0.00091723,0.00610851,0.0138948429783,0.00248569356817,-16.8224,-3.36127019636,0.0108961534853,6.12991262626,0.962380525192,0.0281914650139,0.00705857544239,1807.0,7.79976,4.34054742357,0.0118531698678,3.012043818,1e-06,4.41067599976
10,-0.0239800367295,0.082713195921,2.70687210572,15592835.4744,0.00409055,0.505549113298,0.0105523,0.0107707,0.00877168131604,0.00248276158355,6.80298,0.170272623564,0.0105439498249,9.83539215407,0.988035657736,0.0319021357938,0.00718352657026,1913.86,7.74908,4.36609379762,0.0128522785593,2.98607080484,1e-06,4.43767500609
11,-0.0267197282742,0.047823508777,2.00161003515,14521033.1775,0.00572029,0.544349992303,0.00822404,0.00855268,0.00760012790539,0.00270493692941,10.7917,0.505986906396,0.00788561963822,9.68787630836,0.986220451063,0.0282608899693,0.00721570420013,2014.99,7.78376,4.39795569114,0.012523021402,3.00154853902,1e-06,4.47075452019
12,-0.0331274752569,0.0595174313243,1.99708603891,9742932.61224,0.0342654,0.775805142047,0.00282987,0.0077558,0.0164743044265,0.00155718516036,2.14856,0.418569135736,0.00296431553889,9.22503658055,0.98770669424,0.0451203481573,0.0102355946369,2162.64,7.83419,5.78640625818,0.0169104010847,3.10518520798,1e-06,5.93196737773
13,-0.0412161309289,0.0794973462039,1.98823897142,10702645.3593,0.0151288,0.687276374581,0.00668926,0.00708741,0.00889757652535,0.0018050980331,-9.46233,0.110849088109,0.00717983302076,10.067590201,0.98805094455,0.0419363326413,0.0110039049421,2236.53,7.85137,5.97031565687,0.0131682732418,3.28867679549,1e-06,6.1250287627
14,-0.0393487575264,0.0629261258297,1.97813240564,14721408.1518,0.0179076,0.800817907216,0.00675516,0.00725918,0.00935831020646,0.0014968573379,5.01722,0.189373447155,0.00666200229842,8.06843460702,0.985134413136,0.0385363556304,0.0106917800407,2330.14,7.86522,5.77469203388,0.0137557222215,3.13782081343,1e-06,5.9195015074
15,-0.0201505460398,0.0440318647285,1.76527193082,8860149.68047,0.0235314,0.51525205851,0.00551078,0.00711897,0.0111843604731,0.00265328568608,-2.76473,0.174265103771,0.00547607944697,7.69724490926,0.98447756791,0.0321817877262,0.00717049253589,2424.63,7.92043,4.39502257741,0.0145711661298,3.11957536989,1e-06,4.46764239993
16,-0.0422477627863,0.0561375425703,1.86121067274,10650436.3141,0.0527256,0.835225992857,0.00432965,0.00753862,0.0139716648317,0.00166570233775,3.20183,0.111434579013,0.00389788641712,9.28258133702,0.981903401643,0.047561141638,0.0109820913542,2477.44,7.93185,5.94271440669,0.0163027714849,2.59230008232,1e-06,6.09721158898
17,-0.0215413320855,0.0574049850404,2.00332120493,8873675.57484,0.616481,0.435844277547,-0.00770069,0.0198089,0.0504494621932,0.00266501376439,3.54924,0.292608663427,-0.0182257629385,7.7640964052,0.986125077879,0.0291597824058,0.00713747712851,2553.81,8.02338,4.35659437198,0.0380643977448,3.14119084459,1e-06,4.42720305844
18,-0.0343953702173,0.0683307320583,1.97629075412,9019526.10088,0.429809,0.688405178202,-0.0122523,0.0278954,0.0518453150576,0.00164789403009,-32.5087,0.226540701293,-0.0110283316796,9.32463609234,0.987883757251,0.0361260705398,0.0109509563583,2625.09,8.14219,5.99813698946,0.0314783684208,3.79478373513,1e-06,6.15497383868
