2017-05-05 00:40:49.570288 EDT | AverageForwardProgress      0.00270494
2017-05-05 00:40:49.570627 EDT | MaxForwardProgress          0.0282609
2017-05-05 00:40:49.570963 EDT | MinForwardProgress         -0.0267197
2017-05-05 00:40:49.571302 EDT | StdForwardProgress          0.0072157
2017-05-05 00:40:49.571652 EDT | AveragePolicyStd            1e-06
2017-05-05 00:40:49.571992 EDT | -----------------------  -------------
2017-05-05 00:40:49.572649 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #12 | Training started
2017-05-05 00:44:43.568932 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #12 | Training finished
2017-05-05 00:44:43.575412 EDT | [Unified_Policy_Gradients/Unified_SPG_DDPG_Hopper] epoch #12 | Collecting samples for evaluation
2017-05-05 00:45:03.788746 EDT | -----------------------  --------------
2017-05-05 00:45:03.789769 EDT | Epoch                      12
2017-05-05 00:45:03.790203 EDT | AverageReturn               5.93197
2017-05-05 00:45:03.790623 EDT | StdReturn                   0.775805
2017-05-05 00:45:03.791037 EDT | MaxReturn                   9.22504
2017-05-05 00:45:03.791452 EDT | MinReturn                   3.10519
2017-05-05 00:45:03.791865 EDT | AverageEsReturn             0.987707
2017-05-05 00:45:03.792276 EDT | StdEsReturn                 0.0595174
2017-05-05 00:45:03.792681 EDT | MaxEsReturn                 1.99709
2017-05-05 00:45:03.793086 EDT | MinEsReturn                 0.418569
2017-05-05 00:45:03.793491 EDT | AverageDiscountedReturn     5.78641
2017-05-05 00:45:03.793895 EDT | AverageQLoss                0.0342654
2017-05-05 00:45:03.794301 EDT | AveragePolicySurr           2.14856
2017-05-05 00:45:03.794707 EDT | AverageQ                    0.00282987
2017-05-05 00:45:03.795112 EDT | AverageAbsQ                 0.0077558
2017-05-05 00:45:03.795526 EDT | AverageY                    0.00296432
2017-05-05 00:45:03.795933 EDT | AverageAbsY                 0.0169104
2017-05-05 00:45:03.796337 EDT | AverageAbsQYDiff            0.0164743
2017-05-05 00:45:03.796742 EDT | AverageAction               9.74293e+06
2017-05-05 00:45:03.797147 EDT | PolicyRegParamNorm       2162.64
2017-05-05 00:45:03.797550 EDT | QFunRegParamNorm            7.83419
2017-05-05 00:45:03.797951 EDT | AverageForwardProgress      0.00155719
2017-05-05 00:45:03.798356 EDT | MaxForwardProgress          0.0451203
2017-05-05 00:45:03.798761 EDT | MinForwardProgress         -0.0331275
2017-05-05 00:45:03.799167 EDT | StdForwardProgress          0.0102356
