StdReturn,AverageDiscountedReturn,AverageEsReturn,AverageReturn,AverageQ,QFunRegParamNorm,Iteration,MinEsReturn,MaxReturn,AverageAbsQYDiff,AveragePolicySurr,MaxEsReturn,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,MinReturn,AverageAction,AverageAbsY,AverageY,StdEsReturn
0.829235976893,33.9227266065,12.5375,41.2304526749,1.79421,30.5707,32,3.0,46.0,0.0539345334608,-2.02331,45.0,32,0.0158291,24.2546,1.79698,40.0,0.298044,1.79571294495,1.79452429045,10.2310113747
1.17748656441,32.4966129404,14.9846153846,39.109375,1.86609,31.1288,33,3.0,43.0,0.0532154462679,-2.10311,62.0,33,0.0154774,24.6182,1.86835,37.0,0.404279,1.86710603831,1.86624968613,12.7418055811
0.654597858992,32.6951485257,15.5373134328,39.3976377953,1.94028,31.6378,34,3.0,41.0,0.058572293023,-2.17827,64.0,34,0.0185246,24.8266,1.94334,38.0,0.429356,1.94134257913,1.94058462335,14.0673522296
319.809877935,96.1189569005,16.4262295082,582.555555556,2.0073,32.2489,35,3.0,1000.0,0.0610082250923,-2.25288,62.0,35,0.021058,25.0926,2.01022,178.0,0.0549362,2.00771900353,2.00737721061,16.0801873984
3.71979009815,42.1283917599,16.6779661017,54.4891304348,2.07402,32.8398,36,3.0,68.0,0.0648331870718,-2.31593,65.0,36,0.0244998,25.4155,2.07692,48.0,0.441808,2.07466241061,2.07426652193,16.8748541015
450.169881817,71.0246963053,14.2463768116,439.652173913,2.12749,33.6416,37,3.0,1000.0,0.0648033222377,-2.38472,66.0,37,0.0239399,25.785,2.13217,45.0,0.0456398,2.13031337914,2.1276666409,13.5104959704
0.0,99.9956828753,15.6615384615,1000.0,2.20318,34.1519,38,3.0,1000.0,0.0673039961428,-2.4717,98.0,38,0.0257386,26.0672,2.2093,1000.0,0.116803,2.20858907865,2.20345432978,15.4713401767
62.6705936288,99.9925651603,24.512195122,980.181818182,2.26563,34.6132,39,4.0,1000.0,0.06793081894,-2.54723,103.0,39,0.0257587,26.4897,2.27117,782.0,0.429491,2.26970338682,2.26578686667,20.6647124123
0.0,99.9956828753,24.9487179487,1000.0,2.35214,35.0595,40,3.0,1000.0,0.0703682679352,-2.63585,87.0,40,0.0293382,26.8089,2.35782,1000.0,0.608433,2.35623065993,2.35240847799,18.5954898281
0.0,99.9956828753,24.9024390244,1000.0,2.43508,35.6104,41,4.0,1000.0,0.0700456268683,-2.72357,76.0,41,0.0292556,27.1471,2.44053,1000.0,0.371635,2.43796100348,2.43537721996,18.4335389957
