AverageQLoss,AverageAbsQ,AverageAbsQYDiff,AverageY,MinEsReturn,AverageDiscountedReturn,Epoch,AveragePolicySurr,StdEsReturn,AverageEsReturn,StdReturn,QFunRegParamNorm,AverageAbsY,AverageReturn,AverageQ,PolicyRegParamNorm,Iteration,MaxEsReturn,AverageAction,MinReturn,MaxReturn
0.0164916,0.261097,0.0160519421781,0.246103360333,-14.7952574713,-0.176934767755,28,-0.262115,48.1035737599,33.3083162886,0.00329640507582,41.1911,0.260367129998,-1.76602261788,0.245936,46.1144,28,81.4118900486,0.0176779,-1.77296429344,-1.76330436306
0.00897014,0.291286,0.016502012255,0.276728891411,-9.39484461806,-0.0671480448883,29,-0.294256,40.2598542885,71.1095132612,0.0420668202478,42.1329,0.289600168558,-0.705846119922,0.276817,46.6168,29,92.5377542669,0.00706553,-0.77229817532,-0.661339953052
0.0167535,0.329136,0.0223757226199,0.316607122659,-0.676123876649,-0.0110653368687,30,-0.338063,36.6037758623,72.3932860982,0.186137243531,42.8297,0.326710049122,-0.264218374334,0.316899,46.7312,30,94.4338861356,0.00264483,-0.57379744848,-0.040494475175
0.00789022,0.322919,0.01559736816,0.3135473484,-1.72945466164,-0.0800405532134,31,-0.334708,34.9441522106,76.2165946275,0.0158841130329,43.5992,0.321959746862,-0.806140254752,0.31354,46.7567,31,94.3213793462,0.00806947,-0.83145853821,-0.786756315032
0.00729559,0.383211,0.0180518234831,0.373908128724,-0.142397017342,-0.0343167268539,32,-0.399741,38.1637044554,65.7792876855,0.0796260444177,44.6979,0.38216749843,-0.377217040214,0.373983,46.8404,32,92.0487399766,0.00377595,-0.580537322191,-0.309932329618
0.00996729,0.433793,0.0222013250908,0.425620243573,-0.541325480374,-0.0843662621506,33,-0.45584,43.0810912348,60.2460101976,27.8545885375,45.7408,0.432394904196,7.86879198388,0.425741,46.9313,33,94.1957290563,0.0123175,-1.27466782041,95.9509471736
0.015887,0.451354,0.0206478014501,0.445588877113,-16.9718267098,-0.115760164988,34,-0.478774,47.0477306597,64.4613758058,47.8146797592,46.4728,0.450557481127,38.8703917675,0.445674,47.031,34,93.8876211968,0.03141,-1.58676013129,95.7788929008
0.00550487,0.500676,0.0173506718454,0.495384311876,85.1879966851,-0.1549364527,35,-0.529926,3.41132385763,91.0313023673,0.00572624409583,47.1903,0.499622321205,-1.5425237168,0.495537,46.7423,35,95.4094261697,0.0154407,-1.55023757161,-1.53577596119
0.0242079,0.543232,0.0261848274331,0.538801169983,-1.95238961479,-0.0944159171221,36,-0.580218,39.587166883,66.3791094184,42.9294755393,48.1898,0.541967403181,25.1542187683,0.538995,47.0001,36,93.9686941624,0.0226183,-1.4248276522,95.7408176701
0.0158064,0.615453,0.0243958867603,0.61193132592,-1.05497173515,0.36420662744,37,-0.658496,37.0265291042,72.8255170451,45.7307672309,49.0442,0.614680007835,61.0309355549,0.611979,46.9287,37,95.3444850681,0.0433888,-0.365101300008,95.8867531086
0.00979472,0.674788,0.0244678728271,0.671428393028,-4.53433788366,-0.222448809584,38,-0.7229,38.5125898239,72.1933595686,48.6932532559,49.9013,0.67390798673,46.189555447,0.671444,46.697,38,94.6822583848,0.0435106,-2.52882525006,95.1400179422
0.0174244,0.740596,0.0286576691663,0.736743485478,-1.97570093079,-0.516508803525,39,-0.794283,33.2293667315,79.3911028856,0.0530694746566,50.4352,0.739838199818,-5.1153728459,0.736687,47.0015,39,94.5740494751,0.0512049,-5.25567557304,-5.07730264062
0.0125572,0.785697,0.0288881801933,0.779401543749,-0.74775014,-1.25084317945,40,-0.841257,40.5626904775,69.4726125922,0.0271902705482,51.2391,0.784689175569,-12.6679748206,0.779259,47.3326,40,94.6762643018,0.126807,-12.7047049527,-12.6323395213
0.0129076,0.848045,0.0334221808766,0.839303543745,-19.9515864737,-5.05989352882,41,-0.909049,37.8482246754,17.8966382017,0.102834491979,52.6976,0.846785529466,-52.2586167484,0.839187,47.4783,41,55.7448628771,0.523109,-52.4270516872,-52.1030075508
0.0163855,0.913032,0.0348343966648,0.899250720538,-9.2973325557,-5.540067047,42,-0.971065,40.1611752546,30.8638426989,0.2018854252,53.9195,0.911739342256,-58.9289452278,0.898896,47.8283,42,71.0250179534,0.589879,-59.2215727932,-58.682230667
0.0144689,0.98228,0.0363608036088,0.962559335671,-18.1769543511,-6.82258766983,43,-1.037,43.4419548537,25.2650005027,0.387471824556,55.1978,0.980906368457,-74.5122421733,0.962275,48.1467,43,68.7069553564,0.745868,-75.2493025843,-73.9548762719
0.0219018,1.02538,0.0370697102127,0.999622136219,-30.762860941,-5.75253211764,44,-1.07789,47.6177609662,36.1874826048,0.159933051113,56.6569,1.02390757237,-60.3882126607,0.999134,48.4075,44,75.9408199922,0.604487,-60.6712365453,-60.1942472181
0.0201469,1.1209,0.043444184868,1.09046975387,-3.43541016792,-8.02605677601,45,-1.175,28.8150094055,25.3795992376,1.04571532582,58.2043,1.11894606799,-88.0889736877,1.09005,48.5327,45,54.1946086431,0.881772,-89.590025084,-86.3121566506
0.0229315,1.20834,0.0432449995674,1.17427656776,-14.8305765297,14.813953934,46,-1.26403,41.0257075999,66.6936787569,58.6217584695,59.3518,1.20671649097,24.8113264973,1.17357,49.0244,46,94.9076193731,0.262485,-24.3734227128,95.2048227522
0.0204935,1.30587,0.0429668652454,1.26772540509,-4.26328924823,37.6357972771,47,-1.35777,30.5908778983,82.0016062616,2.2426182688,60.6431,1.30362131547,92.5856129634,1.26692,49.4966,47,94.8367017155,0.8216,89.1202821723,94.4538923314
0.0386113,1.43293,0.0612681605723,1.39214407263,89.0401508203,45.3500543335,48,-1.48541,2.51208048227,92.3404490744,0.0585155902639,62.0131,1.43017064867,93.176208617,1.39104,49.6559,48,97.809413615,0.983158,93.0229011347,93.2189318586
0.0418686,1.54805,0.0630106330568,1.501703297,89.5624642379,45.931870929,49,-1.59639,1.56765851728,92.6062674946,0.0441066593322,63.1637,1.5420265569,93.2606400648,1.50145,50.3721,49,94.9194160011,0.986248,93.1769425114,93.317508837
0.0398808,1.71633,0.061736897212,1.6645583878,86.5327115672,34.4621234607,50,-1.75888,2.71473429917,91.2807149307,1.64859445369,64.6613,1.71086089267,91.2898767735,1.66447,50.9736,50,94.8261108705,0.923304,89.2980082173,93.6262474668
0.0517878,1.84216,0.0728078028137,1.78321224518,87.8578487883,38.3078210441,51,-1.87911,1.99149184438,92.6633594316,1.17597583579,66.3852,1.83450518976,92.0685604579,1.78337,50.7662,51,94.896644537,0.93246,90.5366422493,93.5005868775
0.0700534,1.98488,0.0786886664508,1.92577589248,90.334562703,46.859586412,52,-2.02263,2.8010667721,92.9671607034,0.136154653069,67.8038,1.97919351299,93.4099110797,1.92552,51.2328,52,99.5615789188,0.988019,92.9223466726,93.5937049402
0.0831818,2.09091,0.0889361274707,2.03177035953,87.1773005224,47.0657850508,53,-2.13037,2.82758748877,91.8576263777,0.104614463723,69.5033,2.0860745381,93.4540481398,2.03144,51.6707,53,95.7456361491,0.986663,93.2299153245,93.6006771977
0.0703731,2.22678,0.0777086630092,2.17246837491,89.1904119338,45.0566151548,54,-2.26973,3.09659360326,92.5833424195,0.923717669029,71.0606,2.22241310882,93.0551756277,2.17228,51.6949,54,99.4311465934,0.987383,86.9518512923,93.5999978686
0.0811846,2.32991,0.0937640174094,2.28178166283,88.9684212629,45.9436160308,55,-2.38299,2.11901510719,91.2898050435,0.302539292907,72.605,2.325472662,93.2378232474,2.28123,51.9705,55,94.8225084921,0.98939,92.0581747471,93.60016156
0.0781807,2.46118,0.0896381543641,2.42324096833,88.2669170565,37.1818693228,56,-2.52165,1.84569664692,92.5062402521,2.06117341886,73.9094,2.45628398523,91.6133481885,2.42238,52.5762,56,94.4067442675,0.944669,82.8187502085,93.3681184649
0.0570801,2.57733,0.0813235543994,2.54401258751,90.2219444681,40.0621926743,57,-2.63207,2.73468686792,92.7062098809,1.68235469054,74.9106,2.57264041066,92.1659774308,2.54279,52.8049,57,99.7624689933,0.9599,86.6648338925,93.5003985246
0.0381897,2.68093,0.0739369300717,2.65147773004,89.9972219145,41.2442779983,58,-2.73208,2.14168459372,92.2726717921,1.90326441094,75.9902,2.67602765022,92.283166055,2.6512,53.2468,58,97.1680770383,0.971835,84.7764811259,93.4998977821
