StdReturn,MinReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageQ,PolicyRegParamNorm,AverageAction,AverageY,AverageEsReturn,Epoch,StdEsReturn,Iteration,MaxReturn,AverageQLoss
276.196843308,-529.862587177,-25.0551398255,18.2295,170.202398757,-1.38824,1.30358580933,0.0580924323803,170.202398757,7.58666992224,1.3032,1.3032,21.9642,0.661596,1.30352222715,170.202398757,30,0.0,30,472.481316382,0.00700607
318.558370195,392.367215839,842.502102819,18.7519,-5.70185420679,-1.43991,1.34871666908,0.0621778402659,-5.70185420679,79.842695396,1.34827,1.34827,22.4885,0.755455,1.34867072651,-5.70185420679,31,0.0,31,1224.03010739,0.00889993
164.71966155,-25.6251558895,207.601329704,19.2752,136.372762445,-1.50675,1.40580921044,0.0642120887852,136.372762445,9.81513154953,1.40535,1.40535,22.9516,0.707343,1.40575152747,136.372762445,32,0.0,32,383.953410237,0.00918651
219.033566843,-545.806034724,62.0859998294,19.7273,68.9616328367,-1.5551,1.45690777799,0.0661424281553,68.9616328367,-8.81385572427,1.45652,1.45652,23.3267,0.796936,1.45681973535,68.9616328367,33,0.0,33,271.163821277,0.0097743
349.135140343,-413.81742452,301.537563293,20.1291,325.429911202,-1.59598,1.50738101137,0.0663862912439,325.429911202,20.6719968203,1.50684,1.50684,23.6513,0.778904,1.50731667111,325.429911202,34,0.0,34,725.374133838,0.00960432
283.358190427,102.802454693,369.91307883,20.5261,336.061958109,-1.62508,1.54241863216,0.0656708008115,336.061958109,16.4561715034,1.54203,1.54203,24.0427,0.763695,1.54239031281,336.061958109,35,0.0,35,1001.23609715,0.00898185
109.44074655,834.132578109,1069.03101328,20.9592,367.791982603,-1.6701,1.58774145671,0.0673287242602,367.791982603,97.7735635556,1.5872,1.5872,24.3128,0.813575,1.58768824288,367.791982603,36,0.0,36,1198.95440388,0.0107453
94.8250146399,986.892310124,1176.55007136,21.3259,399.996124514,-1.72946,1.64723664448,0.0691240995477,399.996124514,110.660340913,1.64673,1.64673,24.6885,0.835662,1.64714401715,399.996124514,37,0.0,37,1291.74252478,0.011566
95.7963025389,603.641575694,713.354258105,21.7328,412.66086629,-1.77514,1.69084760811,0.0687937440216,412.66086629,71.1429818583,1.69034,1.69034,25.1054,0.835438,1.69078438114,412.66086629,38,0.0,38,941.857268113,0.0107804
63.3700513893,618.322371955,706.932011846,22.1344,486.654763149,-1.84326,1.75432671347,0.0692392732234,486.654763149,58.0924280084,1.75376,1.75376,25.4949,0.876726,1.7542540657,486.654763149,39,0.0,39,834.717643039,0.0104839
95.4644443055,592.744097428,692.736699413,22.4529,495.525627349,-1.91227,1.81963626806,0.0707953820339,495.525627349,91.2819928475,1.81911,1.81911,25.878,0.844137,1.81957845084,495.525627349,40,0.0,40,919.916271976,0.0108943
112.526412611,532.122643284,838.065862708,22.8303,444.269209626,-1.98602,1.89169927683,0.071621491935,444.269209626,78.2150090021,1.8911,1.8911,26.1932,0.874307,1.89161233206,444.269209626,41,0.0,41,953.955118546,0.0114914
533.053583322,-1048.31261649,533.91750094,23.1927,449.485010416,-2.03713,1.945285402,0.0715356215833,449.485010416,74.614490232,1.94471,1.94471,26.5389,0.843578,1.94524451497,449.485010416,42,0.0,42,916.805036671,0.0107148
293.398831708,97.6835814175,898.147175495,23.5679,452.267365596,-2.11157,2.01609809729,0.0740478334656,452.267365596,86.9054095772,2.01551,2.01551,26.8998,0.82752,2.0160105099,452.267365596,43,0.0,43,1220.59774707,0.012898
229.312390522,551.804217722,1015.06181022,23.9363,502.80093085,-2.17991,2.08403878924,0.0740189622293,502.80093085,96.0370969393,2.08341,2.08341,27.2118,0.811254,2.08398532527,502.80093085,44,0.0,44,1236.4618696,0.0116283
225.977209795,801.837201035,1132.16252341,24.2869,559.23830825,-2.24224,2.14705946078,0.077303393483,559.23830825,121.38962068,2.14647,2.14647,27.5865,0.827444,2.1470154888,559.23830825,45,0.0,45,1674.61115863,0.0150551
24.761590084,1254.22018766,1293.97415632,24.6798,473.446785308,-2.31563,2.2180373542,0.0787448786215,473.446785308,113.962579359,2.21753,2.21753,27.8433,0.799084,2.2179686272,473.446785308,46,0.0,46,1330.68010181,0.0146776
