AverageDiscountedReturn,QFunRegParamNorm,AverageAbsQYDiff,MaxReturn,StdReturn,AverageAction,AverageQLoss,AverageReturn,AverageQ,StdEsReturn,MaxEsReturn,MinReturn,AverageEsReturn,AverageAbsQ,PolicyRegParamNorm,Epoch,AveragePolicySurr,Iteration,AverageY,AverageAbsY,MinEsReturn
15.5284227222,10.5018,0.119972105733,23.0,2.03784267503,0.0013665,0.019662,16.8117647059,-0.0262231,2.18351396363,22.0,14.0,5.13933161954,0.0287377,10.4332,9,-0.00881801,9,0.0521487594591,0.109350767211,3.0
2.37589384873,10.7846,0.0169947482564,3.0,0.488575978397,0.999927,0.000940597,2.39372905697,0.123758,0.750769018619,11.0,2.0,2.84375,0.126076,10.9854,10,-0.173944,10,0.123904603358,0.128182567274,2.0
2.3649501191,11.1246,0.0165716717245,3.0,0.486012942688,0.999967,0.000784119,2.3825631253,0.19671,0.493512766023,5.0,2.0,2.81971830986,0.196734,11.0177,11,-0.224375,11,0.196745166351,0.196745166351,2.0
16.8930278749,11.7425,0.0127753520145,29.0,2.38851024569,0.553321,0.000417082,18.4401473297,0.230502,4.82527235402,57.0,13.0,4.01214574899,0.230502,12.418,12,-0.254071,12,0.230476009754,0.230476009754,2.0
38.3865888199,12.5616,0.018005656676,53.0,1.7507130838,0.218111,0.000849625,48.2019230769,0.298229,13.9276921785,58.0,44.0,26.4210526316,0.298229,13.7599,13,-0.369132,13,0.298281363478,0.298281363478,3.0
42.3648614613,13.4765,0.0194260545766,58.0,1.28267558308,0.177784,0.00103086,54.8360655738,0.383959,15.6112751355,64.0,52.0,26.1578947368,0.383961,14.95,14,-0.46528,14,0.384084444663,0.384084444663,3.0
67.5751438496,14.3761,0.0206343703324,224.0,25.5031699837,0.307471,0.0012325,115.045977011,0.459939,15.4223052752,64.0,73.0,25.05,0.459951,16.4867,15,-0.559939,15,0.459993027177,0.459993027177,4.0
46.0282743959,15.4074,0.021457835232,64.0,1.09071404098,0.689898,0.00141729,61.3680981595,0.532775,33.3595708813,171.0,59.0,34.6785714286,0.532857,17.5585,16,-0.64677,16,0.532857634321,0.532857634321,5.0
39.6811090415,16.4057,0.0227593890221,56.0,2.33798526441,0.735195,0.00179006,50.3266331658,0.614564,21.5656035181,87.0,47.0,36.6785714286,0.614644,18.4129,17,-0.740379,17,0.614703924733,0.614703924733,5.0
37.8462735498,17.4191,0.0251685118253,49.0,0.771511256614,0.260283,0.00227663,47.320754717,0.699576,19.8918563843,62.0,46.0,29.3636363636,0.699692,19.0102,18,-0.833495,18,0.69969101538,0.69969101538,3.0
36.3141062653,18.4366,0.0269067657607,47.0,0.651413787373,0.433751,0.00275373,44.8968609865,0.778481,21.0000674872,91.0,43.0,24.7380952381,0.778653,19.6164,19,-0.923355,19,0.778693984689,0.778693984689,3.0
32.6125893427,19.4391,0.0294297360944,40.0,0.4462669285,0.136703,0.00338472,39.2745098039,0.860791,17.9603243684,69.0,39.0,21.7608695652,0.861015,20.228,20,-1.01348,20,0.860910694428,0.860910694428,3.0
33.5306952297,20.4818,0.0341300753813,42.0,0.49667385208,0.106936,0.0046197,40.6396761134,0.942758,17.3848370179,60.0,40.0,23.0,0.943202,20.7644,21,-1.10513,21,0.942964784688,0.942970177471,3.0
32.5643525571,21.4139,0.0340920304936,40.0,0.402324787174,0.0882263,0.0048091,39.203125,1.02536,13.8242942356,47.0,39.0,22.3333333333,1.02593,21.1963,22,-1.19598,22,1.02541360313,1.02546606797,4.0
31.2737599664,22.3281,0.0373308800824,38.0,0.465371961551,0.082275,0.0057017,37.3171641791,1.09599,14.6550332651,57.0,37.0,19.9,1.09704,21.565,23,-1.28188,23,1.09610591207,1.0963191235,3.0
30.7974440321,23.2931,0.0424886259643,37.0,0.48279444368,0.0417056,0.0071969,36.63003663,1.18243,16.6186289963,65.0,36.0,25.641025641,1.18418,21.8328,24,-1.36873,24,1.1826794525,1.18381881613,4.0
29.8290883357,24.112,0.0443852415469,37.0,0.866533485614,0.0730338,0.00812973,35.25,1.26071,13.7018810765,53.0,33.0,18.7358490566,1.26324,22.2706,25,-1.45666,25,1.26091169878,1.26255386585,3.0
29.6465349186,25.0842,0.0462660829751,36.0,0.600024858076,0.342234,0.00925971,34.9895104895,1.33655,13.6201115273,50.0,34.0,17.7272727273,1.33843,22.6101,26,-1.54581,26,1.33673873871,1.33707865378,3.0
28.5651442477,25.8115,0.047351463538,35.0,0.568128892778,0.158167,0.01029,33.4715719064,1.418,12.2678886143,47.0,33.0,14.4507042254,1.41957,22.9115,27,-1.63136,27,1.41817996972,1.41833885784,3.0
30.9630703373,26.6021,0.0511736768651,39.0,0.896267430566,0.148158,0.0123134,36.8713235294,1.49646,13.1387157036,50.0,34.0,15.9047619048,1.49899,23.1882,28,-1.7115,28,1.49652180997,1.49725940568,3.0
29.1778666938,27.3511,0.053393419126,36.0,0.580618341165,0.180406,0.0133091,34.3287671233,1.56446,14.1792972018,50.0,33.0,18.6111111111,1.5675,23.5109,29,-1.79159,29,1.56470319225,1.56588604092,3.0
35.7623347592,28.0605,0.0537365637638,49.0,3.06134755652,0.312384,0.0145122,44.0837004405,1.64605,10.6411556937,42.0,38.0,14.4637681159,1.64884,23.9452,30,-1.88479,30,1.64620578702,1.64726819977,3.0
36.8535071765,28.762,0.0591917937645,52.0,1.57126731201,0.548057,0.0165005,45.7534246575,1.71118,16.9842363889,78.0,42.0,18.0,1.71423,24.3207,31,-1.954,31,1.71144013367,1.71279316581,3.0
39.3249140641,29.383,0.0610670524322,53.0,1.68573624729,0.392279,0.0180887,49.7277227723,1.77852,11.8088083527,49.0,46.0,13.3648648649,1.78227,24.5132,32,-2.03072,32,1.77879939852,1.780978554,3.0
32.1069103555,29.9846,0.0623956696953,45.0,2.019472513,0.337304,0.0190223,38.55,1.84869,12.8782445882,60.0,36.0,14.5285714286,1.8522,24.7882,33,-2.11084,33,1.848963947,1.85115256311,3.0
99.9630751206,30.3754,0.0610640561938,1000.0,125.930913764,0.340137,0.0191684,954.636363636,1.92478,26.7364432181,194.0,560.0,17.0862068966,1.92834,25.0,34,-2.18434,34,1.92498339617,1.92717335072,3.0
99.9956828753,31.1242,0.0683233655861,1000.0,0.0,0.556789,0.023055,1000.0,1.99994,22.0206982886,75.0,1000.0,21.9565217391,2.00352,25.1792,35,-2.27046,35,2.00017408876,2.00160442538,3.0
58.8250672368,31.7516,0.0722774165047,138.0,9.26605723831,0.274361,0.0273026,88.6902654867,2.06742,24.5941476766,99.0,77.0,23.3902439024,2.07118,25.3973,36,-2.34225,36,2.06770297111,2.06936004392,2.0
95.1793736624,32.2809,0.0720161081281,1000.0,304.789020371,0.509809,0.0268081,764.714285714,2.13575,21.8042953548,109.0,46.0,17.9642857143,2.1402,25.6116,37,-2.42115,37,2.13579708663,2.13852152866,3.0
