QFunRegParamNorm,Epoch,StdReturn,Iteration,AverageQ,AverageEsReturn,AverageReturn,MaxReturn,AverageAbsQ,AverageAbsQYDiff,AverageY,AveragePolicySurr,PolicyRegParamNorm,MinReturn,AverageAbsY,AverageDiscountedReturn,AverageQLoss,MaxEsReturn,StdEsReturn,AverageAction,MinEsReturn
11.5838,9,28.1187688482,9,0.666697,-210.113155796,106.990745456,161.275872875,0.709701,1.23840529699,1.76234579987,-1.06389,11.78,65.9424339917,1.77624422566,7.10955471991,2.72072,-118.990575877,55.6729952716,0.225072,-298.100807808
12.2041,10,1.75157701439,10,0.66349,-309.895840692,-487.317778265,-485.020992105,0.743335,0.371979802988,0.672656830823,-1.59325,12.5005,-491.060479678,0.795246041607,-48.1102339783,0.272429,-309.895840692,0.0,0.815688,-309.895840692
13.0024,11,1.15302194905,11,0.51978,-402.183471016,-553.641896778,-551.525473496,0.691559,0.232093346482,0.520328791256,-1.37807,13.5004,-555.369619035,0.730310001293,-53.5318652885,0.091186,-402.183471016,0.0,0.92652,-402.183471016
13.803,12,170.500801952,12,0.783736,-403.262831296,-337.288065495,98.2458960607,1.04338,0.242331734831,0.785660904028,-1.75735,14.7179,-458.567597087,1.07224267313,-4.38779173835,0.101174,-403.262831296,0.0,0.878775,-403.262831296
14.5639,13,275.247538934,13,1.37827,-372.183995484,-393.814907385,203.210568926,1.53936,0.266534039492,1.38075991142,-2.40365,15.4257,-861.730152966,1.56522735475,25.3580338429,0.124705,-372.183995484,0.0,0.81197,-372.183995484
15.3154,14,18.0343982066,14,1.90069,-306.806851996,-322.396540676,-296.719453817,2.02524,0.280023644182,1.9034437748,-2.67701,16.3329,-353.218810217,2.04492340532,-5.82369471559,0.138223,-306.806851996,0.0,0.613557,-306.806851996
16.0848,15,193.762117225,15,2.22319,-332.561707831,163.678195717,365.923641356,2.35216,0.292947271046,2.22528130835,-2.90231,17.4081,-366.3878159,2.37140919119,11.6184242188,0.157635,-332.561707831,0.0,0.755122,-332.561707831
16.8729,16,71.4505082342,16,2.49007,-220.422526811,180.021953907,267.18927532,2.58721,0.312214489498,2.49184213415,-3.12409,18.0223,33.902225533,2.60580589953,22.5875553669,0.182699,-220.422526811,0.0,0.772917,-220.422526811
17.5993,17,43.1699452024,17,2.78428,-205.957109273,-96.6312629012,12.6711699788,2.85158,0.329350496566,2.78634511887,-3.40712,18.5758,-160.592154562,2.8682265229,1.64871843234,0.198964,-205.957109273,0.0,0.764252,-205.957109273
18.3931,18,55.7396104721,18,3.11243,24.3157531722,283.621098684,360.007230566,3.16373,0.354883056596,3.11602174902,-3.74633,19.2249,169.473361546,3.18008037211,30.1130028824,0.233445,24.3157531722,0.0,0.756476,24.3157531722
19.1454,19,361.237037945,19,3.49583,101.331870497,40.9145314358,418.573040995,3.53434,0.388139789227,3.49879907402,-4.15933,19.8611,-521.30559818,3.54844251771,13.5511027669,0.286017,101.331870497,0.0,0.802167,101.331870497
19.9821,20,198.669379752,20,3.98498,192.84822153,99.4426009498,296.542848623,4.01628,0.430643973331,3.98869916167,-4.6894,20.3252,-272.740180133,4.03097941272,-16.3834547733,0.360179,192.84822153,0.0,0.771107,192.84822153
20.9344,21,63.2716348211,21,4.41353,18.8394062932,345.706797319,452.943106824,4.44583,0.525865595955,4.41819065909,-5.1573,20.6224,260.668411331,4.47473119218,28.1570220592,0.616752,18.8394062932,0.0,0.809054,18.8394062932
21.7145,22,228.080593108,22,4.79693,-380.534560807,210.879090464,388.68057392,4.83453,0.532885304431,4.79955501264,-5.54788,21.0424,-433.174519952,4.85448335706,19.3313817859,0.54722,-380.534560807,0.0,0.84024,-380.534560807
22.4167,23,149.463031804,23,5.27938,103.295405582,464.633323051,583.716901544,5.31602,0.537719740379,5.28315699309,-6.10152,21.5204,108.546893511,5.33193902183,30.8808526125,0.548846,103.295405582,0.0,0.761894,103.295405582
23.1141,24,39.8566235044,24,5.85552,198.949464673,516.06445271,587.381660991,5.88847,0.565192619299,5.86007560531,-6.70981,22.0303,426.427640135,5.90418332343,45.3028726251,0.609625,198.949464673,0.0,0.835364,198.949464673
