AverageAction,PolicyRegParamNorm,AverageAbsQ,MaxReturn,AverageEsReturn,MinReturn,AverageAbsY,MaxEsReturn,StdEsReturn,Epoch,QFunRegParamNorm,Iteration,AverageDiscountedReturn,MinEsReturn,AverageQLoss,AverageQ,StdReturn,AverageAbsQYDiff,AverageY,AverageReturn,AveragePolicySurr
0.00368055,11.7104,1.11096,0.0667470860542,-317.956258698,-24.64550173,2.88120935177,-284.195249099,31.164237626,9,11.4926,9,-2.8926451627,-376.830622771,16.9781,-0.733817,7.86139861443,3.61502613006,2.88120935177,-5.31888205221,0.194421
0.855827,12.2733,1.17665,-514.097839789,-336.039934037,-519.72412694,1.19746672718,-336.039934037,0.0,10,11.6473,10,-54.376156802,-336.039934037,0.28445,1.17478,1.47561318747,0.351079015881,1.19743716914,-516.163309617,-1.75842
0.996579,12.8867,1.1471,-597.785985488,-309.632280528,-600.247586112,1.15462060273,-309.632280528,0.0,11,11.733,11,-60.574809471,-309.632280528,0.047575,1.1471,0.713826641914,0.16707994256,1.15453940219,-598.69211087,-1.44312
0.999426,13.3634,1.19836,-40.9903761317,-354.58980415,-150.881206315,1.2017712222,-354.58980415,0.0,12,11.7153,12,-13.93280178,-354.58980415,0.0230692,1.19836,34.5197659644,0.116568156427,1.20169367736,-87.0128607156,-1.30488
0.985452,14.3423,1.1703,-615.044511678,-418.338180026,-647.928869516,1.1722812064,-418.338180026,0.0,13,11.6852,13,-56.9180080573,-418.338180026,0.0184247,1.1703,9.03158879517,0.103987901793,1.17223997049,-632.923223595,-1.36645
0.999301,15.1586,1.34546,-554.788352902,-412.807567367,-562.420492275,1.34788101684,-412.807567367,0.0,14,11.71,14,-51.3642850179,-412.807567367,0.0144153,1.34546,2.11166468138,0.090244272773,1.34782674699,-558.393691073,-1.56885
0.999996,15.8987,1.45521,-663.544492937,-494.656647961,-687.012290643,1.45699266516,-494.656647961,0.0,15,11.7689,15,-56.1690861523,-494.656647961,0.011965,1.45521,6.56783809896,0.0789937494476,1.45690108174,-673.499225987,-1.56131
0.999967,16.4832,1.46593,-377.492444799,-511.802745624,-400.843719753,1.46693459083,-511.802745624,0.0,16,11.9149,16,-36.3971114409,-511.802745624,0.0102924,1.46593,6.88638423685,0.0732427288227,1.46687182616,-388.993922039,-1.5385
0.989494,17.2581,1.46272,-441.681076364,-435.458635061,-637.466932507,1.46372025384,-435.458635061,0.0,17,12.1208,17,-30.6771382692,-435.458635061,0.00987462,1.46272,63.0372089029,0.0710360857472,1.4636255794,-542.521561571,-1.5348
0.984682,17.7659,1.48368,-195.233063384,-387.8850246,-674.814786153,1.48465755752,-387.8850246,0.0,18,12.3352,18,-41.3149093383,-387.8850246,0.0098254,1.48368,122.990210943,0.0690234333335,1.48456116938,-550.463060118,-1.56038
0.963132,18.1287,1.49969,-51.4529803075,-448.132074061,-634.117331469,1.50029366167,-448.132074061,0.0,19,12.5923,19,-13.6850651489,-448.132074061,0.00924953,1.49969,190.911060721,0.0648624301446,1.50018198242,-279.788566007,-1.5555
0.956693,18.5007,1.49167,-391.500402037,-410.045248602,-558.469797642,1.49217535571,-410.045248602,0.0,20,12.8607,20,-29.7723849855,-410.045248602,0.00774353,1.49167,60.7861005893,0.0591602510861,1.49208135281,-487.44674562,-1.53099
0.946997,18.7887,1.4681,-188.102713692,-354.878329327,-374.12021448,1.46849771666,-354.878329327,0.0,21,13.1102,21,-34.7874994631,-354.878329327,0.00682343,1.4681,61.4712753562,0.0558005634405,1.46844252582,-291.124473551,-1.49998
0.935412,18.937,1.44416,-738.990175213,-243.738448655,-1768.77608797,1.44454409599,-243.738448655,0.0,22,13.4114,22,-108.014728991,-243.738448655,0.00635428,1.44416,407.867167817,0.0538606330176,1.44447685145,-1110.06043489,-1.47834
0.608408,18.9156,1.41765,-329.001584045,-455.81720241,-362.652885075,1.41805468918,-455.81720241,0.0,23,13.786,23,-21.1721880883,-455.81720241,0.007627,1.41765,11.1444907008,0.0542141223436,1.41794052689,-340.48882043,-1.46014
0.525132,19.1338,1.40622,-17.6883715084,-404.657329806,-129.337889872,1.40654015066,-404.657329806,0.0,24,14.1798,24,0.938207599103,-404.657329806,0.00657369,1.40622,30.4667869216,0.0515984503879,1.40646307097,-44.5685245271,-1.45797
0.470777,19.5302,1.40169,129.620035039,-295.271276831,105.266404184,1.40221856836,-295.271276831,0.0,25,14.6404,25,16.2033164371,-295.271276831,0.00679155,1.40169,7.63136726661,0.0525458271173,1.40212094323,119.649446558,-1.45576
