MaxReturn,AverageAction,AverageEsReturn,AverageReturn,StdReturn,Iteration,AverageQ,AverageQLoss,StdEsReturn,AverageDiscountedReturn,AverageAbsY,AverageY,QFunRegParamNorm,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AverageAbsQ,AveragePolicySurr,MinEsReturn,Epoch,MaxEsReturn
-7.97629703048,0.558488,-9.71053862182,-8.09850310941,0.0384450725008,9,0.623408,6.27277,3.32146500936,-7.50349475947,2.68674073747,2.62257376765,11.5834,11.7811,-8.19394762498,2.21656012814,0.927706,-1.21285,-17.3669224587,9,1.27894269687
-7.94250884678,0.975389,-7.68387648521,-8.10102645095,0.0642285535337,10,0.760035,0.362739,1.72630375114,-7.82162219263,1.32704997455,0.77913399864,11.9029,12.5847,-8.26574312853,0.401266117407,1.22484,-1.37491,-17.0030456645,10,0.657648503177
135.374289461,0.999312,-7.14339172082,78.7595713896,19.3505159256,11,-0.266192,0.0534975,2.30811799238,57.9305022835,1.41977505224,-0.264593898247,12.1018,12.9824,50.4069635914,0.177918722977,1.41229,-0.00258984,-13.7767724992,11,7.51132339009
95.0305591484,0.985241,54.9094137289,67.7854515698,7.56845252209,12,-0.294814,0.0621103,157.714786837,39.1501042014,1.89924262798,-0.292260911807,12.5073,13.4847,55.8911865134,0.185998284285,1.89236,-1.05003,-86.7239605195,12,451.113895738
212.87683695,0.929905,40.3317689413,81.8532888766,30.6117397167,13,0.191596,0.0875731,57.7582333061,58.4150700086,2.30805702438,0.193533640151,13.0753,13.6827,47.9104789084,0.21383810509,2.29827,-1.52159,-3.73576387071,13,139.673457368
250.412287216,0.993328,111.625302113,85.3782106836,33.5853072966,14,0.593443,0.114126,89.997314861,59.6074277462,2.80348702158,0.595404675009,13.7217,14.1039,48.1564398684,0.241099056078,2.79099,-2.03827,45.5331004929,14,311.043632637
414.964427957,0.806107,130.764123933,106.98428071,113.997421637,15,1.07493,0.155729,92.2589513477,56.976265588,3.31798917319,1.07660695977,14.4654,14.6475,17.6443746472,0.278552847301,3.30455,-2.61577,9.72976845191,15,295.46361407
369.67634214,0.857337,147.081549575,104.647473362,106.323800136,16,1.83529,0.280819,70.1504045512,57.4812845922,4.0128084759,1.83768364627,15.2923,15.5124,18.706039967,0.332118010556,3.99636,-3.48998,48.1645904438,16,218.916622639
1064.73235633,0.537389,171.135273534,905.72232287,291.071948171,17,2.63394,0.37031,124.847047969,104.456687255,4.69479451955,2.63609704653,16.0721,16.1619,123.360508791,0.355875971845,4.67497,-4.34141,-7.75653643685,17,358.267631922
342.402759544,0.844897,219.076296371,209.877988574,83.8788672992,18,3.53782,0.391118,123.882439829,95.678817462,5.44794964991,3.53938091845,16.8961,17.0657,36.3879882041,0.373953269376,5.42947,-5.32716,66.0999941428,18,408.526605978
435.848474726,0.76343,245.466801341,118.483265833,98.4098307685,19,4.64738,0.540045,95.0515863111,64.891004079,6.29822777127,4.65017610444,17.8516,17.573,49.3464684442,0.409821262398,6.27851,-6.50867,112.260107438,19,394.97432153
425.921119508,0.672942,141.723045872,84.1167346015,84.6495829358,20,5.65001,0.656803,100.220535969,51.9638569135,7.12384757691,5.65297145666,18.6861,18.2408,23.04432839,0.452401892503,7.10152,-7.40948,2.50439371311,20,287.1786982
394.602541217,0.754904,244.350168223,255.486443556,46.7801858337,21,6.61737,0.774233,133.017445751,114.198241551,8.07873689923,6.62159070617,19.4813,19.0855,104.017114331,0.510814195263,8.05325,-8.39396,73.9439377785,21,424.996395936
456.906822098,0.742234,245.893277679,214.683757694,119.101801668,22,7.86152,1.0329,113.698034457,92.08944098,9.2229164741,7.86595460766,20.3023,19.677,48.2699383116,0.571460427806,9.19808,-9.74717,2.16444903606,22,416.199344372
414.302838337,0.803368,218.026015607,152.274220852,98.966793264,23,9.15951,1.12076,159.825857628,79.9783214316,10.4028285873,9.16388925312,21.073,20.3023,44.8890281332,0.613652349972,10.3786,-11.0621,19.3661040914,23,454.795816514
