Epoch,AverageDiscountedReturn,AverageQLoss,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,AverageAbsY,MaxEsReturn,Iteration,AverageReturn,MinReturn,AverageAction,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageEsReturn,StdReturn,AverageAbsQYDiff,MaxReturn
26,131.123722975,1.77501,211.894606285,11.8294699286,22.8135,12.5661,101.291722956,12.5841709796,435.367695907,26,455.498163072,372.747522724,0.666401,24.2214,11.8238,-14.1027,331.806483584,96.8928759748,0.772728393978,979.662198469
27,131.168151567,1.88751,162.105174109,13.2691208464,23.2561,13.921,164.469823092,13.9390854262,605.418576161,27,385.265639003,289.587986326,0.731864,24.926,13.2632,-15.5554,384.48993339,42.1972894029,0.81972688152,459.661810955
28,125.634093632,2.29734,108.291848627,14.7742959062,23.6619,15.3546,131.410505215,15.3705306182,477.658675562,28,541.837992229,350.905766577,0.625538,25.6905,14.7686,-17.0864,340.241468754,220.059277139,0.886210952769,957.307092287
29,133.644375897,2.49734,33.4471053376,16.3724721085,24.0039,16.8987,197.864753082,16.9094379262,468.971322632,29,400.02332586,292.218944529,0.713527,26.4024,16.3655,-18.6736,285.600816494,50.5135816426,0.921200680298,479.397678668
30,128.753806009,2.93912,119.536868059,18.0408499679,24.3695,18.4917,139.390240761,18.5034086236,425.552491589,30,432.44464714,254.412119438,0.711015,27.1131,18.0321,-20.4116,316.259926469,89.8017512094,0.993334136065,675.915846338
31,107.967731323,3.3215,251.372953678,19.662692752,24.7393,20.0767,167.109073565,20.0844737719,683.823726086,31,665.222974733,342.523940411,0.667226,27.7835,19.6559,-22.025,439.160121235,221.04784988,1.04840105027,1049.55943284
32,113.245534342,3.6305,24.004768919,21.1984116693,25.0625,21.5728,110.412005655,21.581722838,313.755087881,32,482.316885806,257.217706666,0.689309,28.4275,21.1891,-23.6554,162.314081859,195.545743923,1.11615350027,972.48886912
33,109.783662405,4.03759,50.6586953074,22.6866369573,25.3844,23.0513,142.89506884,23.0559676876,403.928303715,33,415.132885512,77.7204973756,0.723419,29.0458,22.6789,-25.1399,228.072106164,107.270208467,1.17963837511,708.025875411
34,97.9367426307,4.34962,-21.0463408232,24.1492505393,25.6603,24.5207,138.392948112,24.5254249267,324.969348373,34,649.238256073,69.9753421475,0.610674,29.6942,24.1422,-26.6363,201.698930006,262.036572249,1.22987863143,956.796973242
35,110.493151805,5.27871,-46.5244645047,25.6333009425,25.9364,26.002,199.697555761,25.9992532496,506.406389505,35,539.933947131,396.104276244,0.62525,30.3662,25.6241,-28.1273,125.76369559,137.37660219,1.32965518963,832.241983031
36,101.128330946,5.80088,110.735950323,26.8590126729,26.2076,27.2318,116.847070678,27.2340451736,395.297862978,36,315.152302502,116.94314011,0.662678,31.0307,26.8507,-29.4009,237.736956711,235.889616285,1.40751230511,1017.52975006
37,68.3907391078,6.24767,30.6348003232,28.4335590523,26.4899,28.7957,189.192222546,28.7932539882,548.558514009,37,411.311768728,8.91088049728,0.676635,31.6446,28.4244,-31.0377,243.418478509,213.264309166,1.47136453648,924.920455603
38,77.2426252892,6.42686,0.301862468336,30.0044465562,26.8323,30.3324,74.5851428194,30.3246948805,250.655681369,38,189.097362591,5.88715559368,0.724539,32.1851,29.9958,-32.682,125.3419579,92.0863634863,1.52765656964,398.246625251
39,99.6317233276,7.61468,-10.2580018639,31.5305374516,27.2203,31.848,84.1666811263,31.8368537404,245.217618405,39,262.382212672,14.5701541489,0.728177,32.771,31.5204,-34.2327,86.4843573498,91.2557795992,1.63860111857,529.538246186
40,111.596356305,8.18093,0.195201873955,33.0014676446,27.5785,33.3045,114.153156387,33.2922328757,394.455305425,40,226.808648385,145.392746336,0.761268,33.3533,32.9926,-35.8518,76.2079208845,47.8264594283,1.7241694851,359.775519615
41,70.5249245315,9.03767,-39.9720826861,34.7164642276,27.9195,34.9855,115.57832205,34.9730227139,334.19849272,41,163.521571852,-0.340185157397,0.636143,33.9071,34.7053,-37.6543,97.9852481795,106.655559596,1.80385224344,543.876923444
42,59.8626888909,10.2502,-6.96259123381,35.9725299537,28.2206,36.2308,103.67883062,36.2177136034,355.2530023,42,213.628003197,-5.55035611715,0.69517,34.4688,35.9602,-39.0616,67.5092954026,197.054325672,1.9092238657,957.206981206
