MinEsReturn,PolicyRegParamNorm,Iteration,QFunRegParamNorm,AverageQ,StdReturn,MinReturn,AveragePolicySurr,AverageAction,AverageQLoss,AverageAbsY,MaxReturn,AverageY,StdEsReturn,Epoch,AverageReturn,AverageAbsQ,AverageEsReturn,AverageAbsQYDiff,AverageDiscountedReturn,MaxEsReturn
1.67751617238,11.1824,9,11.1658,-0.789811,0.256639416108,11.6515490812,0.501802,0.0375761,3.12001,0.796173706341,13.1045997,0.795607046113,16.1771669553,9,12.4015392376,0.789811,14.4033167772,1.58541834227,11.6273075326,158.688160539
0.10756295415,12.8141,10,11.272,0.453834,0.079933629528,1.77408964425,-0.553807,0.947572,0.0371165,0.459683205213,2.20958384054,0.456963051487,0.916278684947,10,1.99843345072,0.455337,2.27070239348,0.101704725277,1.99579327068,5.78614556909
0.871385068352,13.4767,11,11.416,0.44445,0.0820635406336,1.55278225405,-0.524236,0.984744,0.00820151,0.448751786718,1.9679878424,0.445184992176,0.558102551518,11,1.75803039687,0.446934,2.24375015481,0.0527290404756,1.76194650864,4.03705621818
0.344608484831,14.3407,12,11.5705,0.531336,0.108710442686,0.0653790347592,-0.598811,0.989192,0.00573093,0.5365656569,0.577411385943,0.531802488501,1.10848913556,12,0.317178287052,0.537816,2.35191311993,0.0457687603739,0.450882432223,6.43159657614
-2.07980927664,15.5712,13,11.7887,0.581993,30.7313800519,48.0331589452,-0.667429,0.919899,0.0050074,0.59007916554,241.488209062,0.582301938758,17.3705023588,13,66.2862349081,0.592259,6.44214534538,0.0430797753718,51.0581003132,83.811050606
35.1953842506,15.7069,14,12.126,0.690184,1.1308601315,76.4539482564,-0.804311,0.88864,0.00894695,0.700539106809,80.4577748593,0.690893526735,18.3222870013,14,78.4551076187,0.702329,48.7736454286,0.05290130192,62.0111820517,105.20425808
36.6867177843,16.0134,15,12.5737,0.839156,0.952174318486,83.1850736651,-0.972118,0.856337,0.0124694,0.849646490544,87.0701572297,0.839758460095,26.5315519005,15,85.3656121847,0.850495,79.5155103266,0.057261858323,66.1575113091,138.809149222
16.2788298328,16.2113,16,13.0294,1.01159,0.955626022379,71.0860302214,-1.14919,0.908074,0.0126006,1.02105925922,75.1511791279,1.01225971565,70.3508599075,16,73.4039969983,1.02157,100.61997025,0.0559079012844,59.0314483958,367.643507921
70.4384443435,16.5412,17,13.5899,1.18766,0.930330696772,91.3811624783,-1.33125,0.875281,0.0148056,1.19662730637,96.069588181,1.18803616657,7.24789795848,17,93.5783651147,1.19716,86.2354331459,0.0595708545809,70.7642840693,107.488640905
54.7189265429,17.1512,18,14.1638,1.34359,39.8468274278,74.2401457319,-1.49921,0.87869,0.0174737,1.35346422633,177.793394356,1.34406699637,43.3461420168,18,124.747860936,1.35392,106.938342544,0.0642689006078,84.841550617,215.84187904
10.8381402594,17.9383,19,14.8044,1.51461,2.05982538559,169.121456287,-1.69874,0.973961,0.0196605,1.52362217504,181.459467961,1.51494068471,60.6129922606,19,174.848778976,1.52397,109.377810914,0.0684551650957,111.956534684,190.134724361
23.07678046,18.5486,20,15.4219,1.70186,5.04942918962,176.341552475,-1.89309,0.940177,0.0250381,1.70982375365,195.873011758,1.70244480468,48.1926291733,20,186.506402023,1.70989,112.00059941,0.0760411920252,116.172993874,196.080566373
111.535359296,19.2714,21,16.1095,1.88588,3.77516024838,192.432523151,-2.09498,0.836391,0.0264912,1.89334355461,207.63149324,1.88677066471,27.4586100463,21,200.410461908,1.89315,180.645096523,0.0798893889563,120.387211317,219.611099207
75.9011471918,19.845,22,16.8566,2.09872,2.53362576563,171.4279004,-2.32115,0.829584,0.0333339,2.1051199062,185.070928279,2.09967310659,35.5029059422,22,178.72972122,2.10516,171.489118936,0.0885027168565,113.980936432,202.589072094
31.0691202879,20.3775,23,17.6299,2.30698,11.0040088966,143.579584406,-2.54219,0.928623,0.0358874,2.31321701077,188.921492897,2.30773474609,49.0452585457,23,176.227388395,2.31348,143.214693281,0.0926460924322,112.997374387,189.102280418
9.22020364026,21.0489,24,18.3286,2.52837,2.24958367612,171.149790997,-2.77273,0.867359,0.0435843,2.5342994276,180.677385959,2.52931734732,58.3398480117,24,175.919494032,2.53449,150.158541001,0.0991495776716,113.219427543,204.374259608
88.7464883083,21.7778,25,19.0585,2.73893,3.81984687362,198.085962502,-2.99738,0.843401,0.0468159,2.74413193803,212.481191703,2.73970083857,27.0494736574,25,203.982852474,2.74463,168.143728567,0.100746253746,121.949900454,209.526980951
17.7914766078,22.3213,26,19.8167,2.936,3.78269087323,186.029100822,-3.18406,0.740351,0.0590849,2.94072436906,204.337352512,2.93696099595,55.8257358808,26,197.56196398,2.94138,169.757884574,0.115272534815,121.745779696,231.925341988
12.3986884156,22.9266,27,20.492,3.16131,3.88962034627,183.104710749,-3.41342,0.787454,0.0524181,3.16544385875,200.3070133,3.16222394986,61.0480696048,27,191.281650885,3.16611,149.22343642,0.109738592406,119.511218644,219.670044632
106.539130205,23.4212,28,21.1844,3.34743,5.53946908496,182.350745794,-3.59821,0.789892,0.0546375,3.35168893567,212.442544042,3.34833938063,38.3497034909,28,199.113552072,3.35262,187.342100995,0.114809130703,121.790020343,231.88031459
21.2890865318,23.8391,29,21.8223,3.5537,1.97592803263,200.191409658,-3.80204,0.769139,0.0585029,3.55765188267,210.338145406,3.55453364123,70.5501923443,29,205.61160728,3.55891,170.173666122,0.117812862625,122.247432966,261.286408413
71.547736455,24.2231,30,22.4288,3.75085,8.8971834329,203.396338936,-4.01072,0.75187,0.0577854,3.75505591073,241.297553712,3.75203394056,68.8218545468,30,218.280248989,3.75562,201.403314314,0.120002188256,129.378001054,310.69740886
6.04252553129,24.6316,31,23.0261,3.93892,20.0735838771,213.13006167,-4.20457,0.737441,0.0602034,3.94265252059,300.960276884,3.93968924515,80.8329522824,31,265.65490139,3.94387,204.330014953,0.120737803233,143.835820067,283.37185141
32.4014507292,25.1962,32,23.7565,4.13357,39.344960529,352.159695335,-4.39235,0.780892,0.0829462,4.13790868859,517.610884845,4.13502264152,112.400376696,32,397.866629472,4.13886,219.597822673,0.139058061092,175.170525949,350.455091325
