StdReturn,AverageY,MaxReturn,AverageAbsY,MinEsReturn,AveragePolicySurr,AverageAction,QFunRegParamNorm,Epoch,AverageQLoss,AverageDiscountedReturn,AverageAbsQYDiff,StdEsReturn,AverageQ,AverageAbsQ,Iteration,AverageEsReturn,PolicyRegParamNorm,AverageReturn,MinReturn,MaxEsReturn
0.00320898065323,-0.211181255117,-0.786395217179,0.211181255117,-31.8892752368,0.0442786,0.00789196,8.33814,9,0.0436272,-0.0788352757838,0.193766462531,57.4276875211,-0.0174148,0.0368322,9,37.8562549837,8.32795,-0.788406848532,-0.795450784171,93.8697999903
0.00314712184529,-0.0459257959474,-2.53256999326,0.064907083763,-19.1448294898,0.0417391,0.0254078,9.34641,10,0.0839106,-0.254043347732,0.0215911608962,51.5509875096,-0.0482549,0.0631367,10,32.4061580197,8.75032,-2.53823490281,-2.5435118028,83.9571455293
0.0044951408178,-0.0351608379987,-1.7952691639,0.0648495006176,-14.2285660839,0.0296374,0.0180284,10.664,11,0.0761008,-0.180377272574,0.0216613285785,42.6721525708,-0.0357996,0.0652388,11,28.4435864869,9.35704,-1.80103213886,-1.80949694842,71.1157390577
0.00276766948573,-0.0468143772,-11.8155778087,0.089841037065,-3.22801664374,0.0425184,0.118309,11.5616,12,0.0443666,-1.18206213536,0.0189853098696,38.4731075381,-0.0472442,0.0900344,12,35.2450908944,9.82713,-11.8190885478,-11.8247273112,73.7181984325
0.00807676068351,-0.0553348266643,-16.5327135532,0.108228424038,-12.1256571963,0.0498342,0.165585,12.7099,13,0.0419175,-1.65524569691,0.0198353516709,39.2946524854,-0.0554529,0.108692,13,27.1689952891,10.1998,-16.5419309761,-16.5561119968,66.4636477745
0.0591251460217,-0.0461451037087,-9.76881772246,0.135439836198,-4.36327110823,0.0390878,0.098162,14.482,14,0.0455379,-0.982244899892,0.0267355995875,44.9009789021,-0.0468049,0.13538,14,59.0247655095,10.9377,-9.80638247675,-9.92843578363,93.9767693721
0.0121437219521,-0.0447209948872,-29.2381664242,0.139938820119,-16.4786574892,0.0374519,0.292904,15.3348,15,0.0143693,-2.9336753417,0.0162029402341,48.3419365412,-0.0450314,0.139824,15,31.8632790521,11.4377,-29.2610818925,-29.2751306822,80.2052155933
0.0578235041722,-0.034210421561,-46.1662161869,0.146821851491,-26.4433728339,0.0269758,0.462865,16.2783,16,0.0147453,-4.64313638062,0.0165553429566,0.0,-0.0344761,0.1467,16,-26.4433728339,11.9922,-46.2402129291,-46.3603223579,-26.4433728339
0.216269133912,-0.0292667387264,-38.4330725594,0.148038969066,-42.4896069407,0.0212706,0.387323,17.086,17,0.00464127,-3.87969933937,0.0123400893118,47.4800145995,-0.0293181,0.148243,17,4.99040765874,12.5387,-38.6936143748,-38.9961862365,52.4704222582
0.352853085692,-0.0211225130124,-47.1177658983,0.154049870406,-1.94425970477,0.0127485,0.481637,18.044,18,0.00402376,-4.82239930117,0.0132273620887,0.0,-0.0211905,0.154196,18,-1.94425970477,13.1627,-48.1155236149,-48.4137567372,-1.94425970477
0.205464803666,-0.00123418828733,-47.3820944454,0.17025953475,-49.9668997245,-0.00790908,0.477009,18.6362,19,0.00201101,-4.77923254966,0.0108574590393,71.4261915129,-0.00119935,0.170364,19,21.4592917884,13.8916,-47.6531675018,-47.9736707871,92.8854833012
0.205627962768,0.0072724041947,-36.4907800904,0.174718952477,-48.6206449875,-0.0175356,0.368359,19.3411,20,0.00165971,-3.68754278016,0.00955174798822,0.0,0.0072361,0.17479,20,-48.6206449875,14.6605,-36.7990181685,-37.0217617132,-48.6206449875
0.103879036543,0.0202855007682,-30.5725574839,0.180645724202,-48.1992980348,-0.0323207,0.307999,19.9495,21,0.00223044,-3.08876381883,0.0103209632596,57.3234689507,0.0202902,0.18068,21,50.9560464027,15.4329,-30.7691069402,-30.8776790669,88.4761629579
