AverageAction,AverageY,StdReturn,MaxReturn,MaxEsReturn,AverageAbsQ,AverageEsReturn,AverageDiscountedReturn,AverageAbsY,Iteration,QFunRegParamNorm,MinReturn,AverageQ,MinEsReturn,AverageAbsQYDiff,Epoch,PolicyRegParamNorm,AverageQLoss,StdEsReturn,AveragePolicySurr,AverageReturn
0.216656,2.10171171213,17.4261660009,153.111800794,-120.1884051,0.672032,-197.334736247,7.6687040918,2.10171171213,9,11.5838,94.1528948976,0.581787,-316.32270086,1.5732690603,9,11.7805,3.95514,60.6763247208,-0.973249,113.095636281
0.96527,0.913864384343,0.815414171415,-580.345765213,-291.415617463,0.900531,-291.415617463,-60.6690508516,0.913878970016,10,11.8503,-583.183020697,0.900362,-291.415617463,0.327310385139,10,12.3703,0.224091,0.0,-1.40406,-581.968327899
0.993637,0.791849877753,53.1762094219,-608.241856779,-279.501384012,0.787265,-279.501384012,-49.7210636637,0.791890715338,11,11.8732,-769.82821967,0.787248,-279.501384012,0.151118046321,11,14.1402,0.0389957,0.0,-1.13659,-697.270907866
0.992016,1.00800828448,71.4329539069,-695.094532872,-466.077334136,1.00454,-466.077334136,-65.0695785078,1.00805497795,12,11.9494,-927.04546515,1.00454,-466.077334136,0.132591567437,12,15.6672,0.0293042,0.0,-1.36138,-831.557919502
0.992048,1.25917967795,141.832902113,-510.948881665,-481.21612568,1.25629,-481.21612568,-89.4080736966,1.25923969017,13,12.007,-1074.20560868,1.25629,-481.21612568,0.111568180872,13,16.5318,0.0218005,0.0,-1.64119,-848.015223579
0.986581,1.50182322395,135.648493816,145.241575496,-313.785091815,1.49925,-313.785091815,0.56576140896,1.5018441533,14,12.0431,-443.04055762,1.49925,-313.785091815,0.0973137832979,14,17.269,0.0169661,0.0,-1.76344,-154.340513231
0.995821,1.61681397686,107.670005777,-592.898679242,-319.045559969,1.61521,-319.045559969,-99.5666809126,1.61687368779,15,12.1088,-906.527422506,1.61521,-319.045559969,0.0860905386665,15,17.6927,0.0149053,0.0,-1.75363,-745.491419282
0.996056,1.64039112229,63.6044469809,-376.178518112,-337.732486897,1.6395,-337.732486897,-32.5680492,1.64044251228,16,12.2076,-574.169685708,1.6395,-337.732486897,0.0762009976579,16,18.0794,0.0119243,0.0,-1.72494,-504.145624441
0.996796,1.64333788856,1.1949766894,-664.943158102,-384.824922508,1.64216,-384.824922508,-70.2083951269,1.64339075538,17,12.4231,-668.340842691,1.64216,-384.824922508,0.0763686475721,17,18.305,0.0135429,0.0,-1.69848,-666.659753329
0.995369,1.66495693127,141.503805283,-602.270703861,-563.571071269,1.66406,-563.571071269,-84.4786817493,1.66503531779,18,12.8203,-1004.86936755,1.66406,-563.571071269,0.0764516645987,18,18.3762,0.0150264,0.0,-1.703,-735.444739946
0.997198,1.63834508733,1.68029969208,-597.332775272,-447.608941072,1.63795,-447.608941072,-60.9381003513,1.63842332245,19,13.159,-604.121294916,1.63795,-447.608941072,0.0637509307117,19,18.5017,0.0109129,0.0,-1.65559,-599.688959977
0.982422,1.59387632254,28.7799930612,-702.485834119,-441.469645547,1.59364,-441.469645547,-74.9332772521,1.59392550165,20,13.4606,-778.391164961,1.59364,-441.469645547,0.0575153807187,20,18.6066,0.00841623,0.0,-1.58888,-747.400850313
0.959658,1.53461789972,20.0460263053,-551.103807192,-462.450724645,1.53457,-462.450724645,-51.6864670028,1.53466154795,21,13.8693,-594.917404846,1.53457,-462.450724645,0.0575254468508,21,19.0343,0.00774618,0.0,-1.55705,-569.135440134
0.960214,1.57433142174,6.17880699426,-660.96684369,-349.408997152,1.57382,-349.408997152,-59.7179620103,1.57438379393,22,14.2535,-680.338793975,1.57382,-349.408997152,0.0662564192723,22,19.3703,0.00915329,0.0,-1.68708,-671.108373617
0.976833,1.60182558973,62.153176143,-578.433250106,-398.290464104,1.6014,-398.290464104,-48.1382375554,1.60194092076,23,14.6403,-774.495582176,1.6014,-398.290464104,0.0629587477458,23,19.7248,0.0101857,0.0,-1.66433,-655.867612481
