StdReturn,MaxEsReturn,PolicyRegParamNorm,AverageQLoss,MinReturn,MinEsReturn,QFunRegParamNorm,AverageY,AverageAction,AverageEsReturn,MaxReturn,AverageAbsY,AverageAbsQYDiff,AverageAbsQ,AverageReturn,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,Epoch,AverageDiscountedReturn
3.31791534897,-258.592925358,11.7101,11.8874,-10.650586288,-358.771483332,11.493,2.23751279856,0.00222253,-315.157539889,0.670320087863,2.24572939475,2.75651027946,0.997495,-2.44955844357,32.7018921901,-0.449687,-0.106924,9,9,-1.39811211382
1.22967474816,-274.448395786,12.1452,0.345897,-566.639628662,-274.448395786,12.0282,0.903888262073,0.936294,-274.448395786,-562.764530933,1.00245046984,0.406217802757,0.966643,-564.621798097,0.0,0.891447,-1.93831,10,10,-59.2049736986
8.74065257022,-339.905471632,13.961,0.134529,-583.052031604,-339.905471632,12.8692,0.936209305175,0.8937,-339.905471632,-554.014634494,1.03891288852,0.274754240824,1.00582,-569.508254483,0.0,0.932586,-1.66076,11,11,-59.0086266049
137.885871533,-477.59390017,14.994,0.125092,-519.686915494,-477.59390017,13.6978,1.01953432635,0.855461,-477.59390017,3.04883157836,1.17876928221,0.263711275185,1.14532,-392.967122375,0.0,1.02031,-1.64288,12,12,-2.6287470071
10.3332402621,-337.412714258,15.4904,0.144872,-180.438302964,-337.412714258,14.4678,1.08741996645,0.628359,-337.412714258,-148.071283112,1.27873780487,0.284853408825,1.24456,-164.045964533,0.0,1.08617,-1.58848,13,13,-13.0256634389
21.5919993329,-183.171326178,15.8466,0.159176,-147.274554054,-183.171326178,15.3104,1.12753288685,0.46771,-183.171326178,-71.9350736309,1.34862495904,0.295962099428,1.31386,-111.248023332,0.0,1.12703,-1.54481,14,14,3.20633374802
27.5247115623,-165.7792107,16.1552,0.180859,-181.75698005,-165.7792107,16.1578,1.16957544314,0.394524,-165.7792107,-95.141289844,1.4181751698,0.313405637084,1.37887,-154.57274349,0.0,1.16871,-1.55343,15,15,6.00481916164
7.86376014993,-176.11947531,16.5456,0.187905,-243.821771555,-176.11947531,16.9842,1.22997925081,0.421338,-176.11947531,-212.684963683,1.50111798517,0.321516484955,1.46108,-233.080748514,0.0,1.23003,-1.62833,16,16,-11.0452251496
6.49201624246,-268.182336559,16.9357,0.207729,-331.323873089,-268.182336559,17.7989,1.32257265144,0.576254,-268.182336559,-312.75300307,1.60481220879,0.335313021072,1.56448,-323.07083625,0.0,1.3217,-1.73535,17,17,-12.4877025956
16.3985984499,-268.862217315,17.3755,0.222709,-129.738418649,-268.862217315,18.5845,1.43596562394,0.27194,-268.862217315,-78.9336512342,1.72062802214,0.343387592637,1.68104,-105.114677775,0.0,1.43434,-1.87513,18,18,4.07662948073
