StdEsReturn,Epoch,PolicyRegParamNorm,MaxReturn,AverageDiscountedReturn,AverageQLoss,StdReturn,AverageAction,AverageY,MaxEsReturn,AverageAbsQYDiff,AverageQ,AveragePolicySurr,QFunRegParamNorm,AverageAbsY,MinEsReturn,MinReturn,AverageAbsQ,Iteration,AverageEsReturn,AverageReturn
96.1951682773,20,22.9325,311.77818006,154.217417605,1.38733,11.4899825381,0.631539,14.5367999098,376.532025078,0.479665203439,14.5326,-15.6942,26.761,14.5828615773,69.4074278417,271.312892265,14.5814,20,191.037127038,293.405249164
100.839391718,21,23.7326,323.110631758,156.239132372,1.64784,7.13977123453,0.505205,16.5442557264,368.511829036,0.524434206934,16.5407,-17.7946,28.2442,16.5858478531,81.5834293049,280.575735506,16.5852,21,221.975967712,301.727345052
91.9138013662,22,24.551,386.894887338,164.240527689,1.91997,30.0617933486,0.510471,18.6350892089,356.83120036,0.566444808178,18.6317,-19.9633,29.5932,18.6702923537,97.8615760467,262.574878501,18.671,22,209.64319672,323.293602977
122.566729416,23,25.2978,424.784802277,167.695354566,2.15028,55.2074208507,0.500549,20.750684804,363.962412673,0.604803292536,20.7461,-22.1381,30.9472,20.783229502,39.6773074619,132.063001199,20.784,23,171.382008186,346.090515919
124.793711627,24,26.0867,411.477878812,181.070836521,2.62778,6.70814521452,0.553719,22.8958653215,358.415689835,0.663545297446,22.8913,-24.3513,32.2844,22.9251587977,10.0929597043,378.278375755,22.9284,24,202.107588094,391.361292
108.465253001,25,26.8146,381.054737671,178.467107336,3.11268,8.07566814434,0.6375,25.1200355092,347.631348342,0.716446111556,25.1149,-26.6736,33.5439,25.1469733639,49.854523097,347.957557281,25.1501,25,206.198983019,371.541534781
124.224531639,26,27.4422,379.283873724,178.864267758,3.6759,4.6325819206,0.574081,27.4292526011,430.232967074,0.783234065045,27.4246,-29.0502,34.8364,27.4532624982,83.6403673097,353.25030667,27.4597,26,297.037730396,370.539128885
151.223367994,27,27.9526,428.970381864,187.279869046,3.86369,7.68864911327,0.599185,29.84889976,423.928089304,0.821877835529,29.8442,-31.5811,36.09,29.8702477244,10.8075933548,376.638971447,29.8771,27,259.086491728,400.59234384
114.018359817,28,28.4503,2700.51679941,203.628985263,4.00218,568.502234184,0.607942,32.3846131576,410.208468989,0.868286886217,32.3776,-34.175,37.2772,32.4040942212,94.6868906406,419.755291923,32.4088,28,286.676619042,761.363025512
69.102655049,29,28.9367,535.397989011,188.993221591,4.90805,16.9158604675,0.584703,34.8354750323,378.786836598,0.925543326253,34.8302,-36.7413,38.4874,34.8530821415,189.368530394,408.184639915,34.8609,29,314.352086484,429.600606815
