MaxEsReturn,StdReturn,AverageQ,AverageAbsQ,Epoch,MinEsReturn,MaxReturn,AverageAbsQYDiff,StdEsReturn,AverageAction,AverageQLoss,AverageDiscountedReturn,AverageReturn,AverageEsReturn,MinReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,QFunRegParamNorm,AverageY
93.9236078941,0.00180540642601,-0.00117324,0.00951736,9,-32.1324499177,-0.307190482089,0.0367803391955,58.0736651667,0.00309779,0.00166258,-0.0307893232829,-0.309469538782,33.8773291065,-0.312327301497,-0.0434856,9,10.2747,0.0347327042136,10.2519,0.0344693614423
-25.2218483571,0.00192803214867,0.0209669,0.0232403,10,-25.2218483571,-0.979180181023,0.0181832820411,0.0,0.00982684,0.0594274,-0.0982613725146,-0.981701361986,-25.2218483571,-0.984428208981,-0.0251528,10,10.8456,0.0225138437517,11.1493,0.0223721173353
-29.3873442494,0.00322501153156,0.0272472,0.028584,11,-32.2854795135,-0.593490227381,0.0185688571911,1.44906763206,0.00598173,0.0520631,-0.0597968972184,-0.597575175582,-30.8364118814,-0.605058401111,-0.0343206,11,11.6574,0.0277193949805,12.3349,0.0277174546935
55.8811294225,0.00197438691948,0.0157282,0.025189,12,-0.0152267440186,-1.35052237205,0.0154730548453,27.9481780833,0.0135356,0.0274872,-0.135303521871,-1.35220983696,27.9329513393,-1.3562858663,-0.0171228,12,12.2362,0.0215938682887,12.7933,0.015880993754
84.4840102618,0.000550486072858,0.0177311,0.0341677,13,-2.23139944324,-1.01282568343,0.0161848881693,43.3577048525,0.0101425,0.026684,-0.101485886191,-1.01324011902,41.1263054093,-1.01441440146,-0.0271749,13,12.7229,0.0321045419483,14.1005,0.0182094740944
94.0480544439,0.02882510262,0.0259571,0.0536944,14,-14.3937264784,-2.45101955333,0.0171486260514,49.4853120994,0.0250092,0.0172228,-0.250164221495,-2.49842208294,55.4614127971,-2.53908107212,-0.0342405,14,13.0856,0.0517383556997,15.5732,0.0260213862584
87.1832440573,0.0188390898353,0.0313588,0.0637465,15,-13.5572393789,-0.110984880593,0.0129902161809,50.3702417181,0.00133322,0.00689498,-0.0128012964637,-0.133188275462,36.8130023392,-0.164594705404,-0.0388143,15,13.5489,0.0624266628101,16.2364,0.0313208550478
-13.5081397182,1.02052398465e-05,0.0361645,0.0738488,16,-13.5081397182,-0.00442772594394,0.00961686930654,0.0,4.44396e-05,0.00268735,-0.000445572544908,-0.00443951375808,-13.5081397182,-0.00446230068016,-0.0415681,16,14.3765,0.0729295884517,16.9008,0.0361140221142
-23.5621611261,0.0203292052546,0.0377527,0.0782247,17,-23.845251702,-2.04529916591,0.00930235720065,0.141545287984,0.0206833,0.00226994,-0.206806458298,-2.06626466427,-23.7037064141,-2.09957694585,-0.0434048,17,14.7289,0.0775438270517,17.658,0.0378161958824
85.3247735817,0.0414876373588,0.0419219,0.0824179,18,-0.0121291597649,-0.716705620987,0.00793733786055,42.6684513707,0.00768796,0.00130167,-0.0744763634727,-0.768026775435,42.656322211,-0.838287265526,-0.0474211,18,15.6435,0.0818569554111,18.5565,0.0419428036615
-12.4513883866,0.000132427139635,0.047559,0.0872329,19,-12.4513883866,-0.0273536151775,0.00995502622116,0.0,0.000274671,0.00240182,-0.0027462519931,-0.0274396112549,-12.4513883866,-0.0278351181218,-0.0523766,19,16.3727,0.0864772394903,19.4348,0.0475871392991
77.6680119794,0.00057282340367,0.0661361,0.0877509,20,-30.6417626979,-0.228003562775,0.00828600974395,54.1548873386,0.00228611,0.0019077,-0.0228678469188,-0.22838283731,23.5131246408,-0.230012536812,-0.0710859,20,16.8524,0.0869965587068,20.2816,0.0661724501464
91.4812826754,0.000396186213222,0.075597,0.0981821,21,-4.39727840611,-0.59046326812,0.00903716391873,40.9636040148,0.00591558,0.00215482,-0.0591496484958,-0.590966919096,66.5398139107,-0.591597063622,-0.0813314,21,17.2217,0.0971848146181,21.1556,0.0756144319034
86.8061431304,3.07991692779e-06,0.0814111,0.100973,22,-2.3730742627,-0.802991822825,0.00846610654272,41.1723009468,0.00803802,0.00158809,-0.0803723708954,-0.802998491817,55.8119300291,-0.803001799532,-0.0875227,22,17.5973,0.100019035549,22.114,0.0813920307827
92.1499925134,0.021399273886,0.116622,0.134392,23,-3.78092145926,-2.42885334527,0.0111789209164,41.0432557823,0.0244695,0.00332597,-0.244650395339,-2.44450470932,67.2929835007,-2.48803453617,-0.123924,23,17.9293,0.133110126677,23.0406,0.116705772891
-8.70083461877,0.000389690091256,0.123974,0.138877,24,-8.70083461877,-1.5268057878,0.00886271256952,0.0,0.0152865,0.00193126,-0.152862771366,-1.52712432518,-8.70083461877,-1.52801789135,-0.13139,24,18.238,0.137776085586,23.7415,0.123962468338
90.2667574913,4.00198476477e-05,0.139227,0.152597,25,-26.6567475697,-0.23638575338,0.0114753859177,50.1527207755,0.00236692,0.00302756,-0.023667589196,-0.236455594468,60.2000174728,-0.236517181931,-0.147372,25,18.4637,0.151212711678,24.5829,0.139316753568
93.920409158,0.00893590355389,0.162324,0.174709,26,-0.624288523615,-2.77611791495,0.0104931264529,39.6603036692,0.0279954,0.00209204,-0.282262848962,-2.79674511752,67.9040420554,-2.80427055495,-0.172366,26,18.713,0.173378640614,25.2558,0.162356046861
92.9828808082,0.0154723479354,0.188629,0.20078,27,-3.327028027,-0.987735992069,0.0123386073637,43.9666435207,0.0100013,0.00318931,-0.0999948658838,-0.999125801416,58.7407379775,-1.03130272719,-0.199099,27,18.8486,0.198931203629,26.0367,0.188649532005
89.7916421557,0.0500407398014,0.210343,0.221352,28,-20.8625250919,-1.29836460448,0.0113652788454,51.3172077687,0.0135009,0.00238372,-0.130386215392,-1.34874124039,51.6798379609,-1.46304054468,-0.223116,28,18.995,0.219978543794,26.718,0.210364706141
92.4955796846,44.8260624727,0.23361,0.242839,29,-3.43667698283,95.2671930441,0.0132116506962,37.9282729959,0.0568406,0.00334141,-0.172546561096,64.6957668121,72.3925315059,-2.54976712129,-0.248065,29,19.2047,0.240977085004,27.4277,0.233648169963
95.6739958746,31.2017966576,0.264827,0.273037,30,88.789577955,97.0276793131,0.013186412189,2.45914561603,0.0507168,0.00492535,0.384629960351,84.9724155768,93.2341001612,-0.460158579955,-0.280022,30,19.4254,0.270574372993,28.0474,0.264862953625
95.3484555979,34.2109354441,0.319865,0.32728,31,-1.57901639559,95.3286749643,0.017613029214,35.2956218371,0.0745912,0.00332416,-0.0603031338326,80.316017394,77.2602800916,-3.50129516871,-0.337623,31,19.6107,0.324340440325,28.7086,0.319869065732
97.371847013,41.7068104945,0.363665,0.372044,32,89.3494518195,90.0608898194,0.0239380863045,2.67360209451,0.223777,0.0160769,-1.23892047836,64.2759457208,93.1731822663,-21.701191872,-0.383125,32,19.8197,0.366898264959,29.3116,0.3635454675
96.0373885748,48.3202713526,0.405694,0.409446,33,83.8050894858,90.0258217282,0.0196540227296,4.47275647899,0.116762,0.00322456,-0.729114362348,40.219255823,91.0101659589,-8.12295587138,-0.427677,33,20.1353,0.407919664642,29.8872,0.405762662619
94.0267335529,39.9925075928,0.448945,0.452909,34,88.8682470986,96.8474094308,0.0256347100485,1.72282041204,0.0423936,0.0196478,0.162808480533,75.5021311366,92.4726134829,-2.91009493745,-0.47553,34,20.3677,0.450605127795,30.5386,0.448879968897
