MinEsReturn,AverageDiscountedReturn,AverageAbsQ,MinReturn,StdReturn,AveragePolicySurr,MaxReturn,AverageForwardProgress,MaxEsReturn,AverageY,AverageAbsQYDiff,AverageAction,MaxForwardProgress,AverageQLoss,AverageReturn,MinForwardProgress,AverageEsReturn,QFunRegParamNorm,StdForwardProgress,AverageAbsY,StdEsReturn,AverageQ,PolicyRegParamNorm,Epoch
-9.57854380784,2.45269178709,0.0954052,-14.969216471,13.4605200435,-0.0997972,86.3522445018,-0.140118804855,127.62365466,-0.00371893755198,0.0991241723908,0.98149,0.336746026205,0.0108213,1.92978025849,-0.415905878943,49.4775835756,14.9649,0.103021913347,0.00718214042952,51.302441442,0.0954052,17.3707,9
-8.27554387079,37.449542769,0.00884055,16.5039623201,26.9323626074,0.00362342,140.855128835,0.397296233367,98.5798653876,-0.0064223260941,0.00222648116741,0.99951,1.08405071249,4.23245e-05,63.1422504486,-0.0336916382516,25.2643208948,15.1906,0.235330198213,0.00848873916846,35.7084117317,-0.00594999,17.5329,10
3.61809941288,37.9710152177,0.00940188,-14.3990081981,30.100667979,0.00314461,134.886757915,0.417868100915,75.2982528424,-0.00442181128483,0.00140898232136,0.99871,1.02830998503,5.14249e-06,65.0182525627,-0.370495043738,45.9624865799,15.3529,0.266276565296,0.0095436654043,22.84978013,-0.00440019,18.1246,11
43.6852937072,40.2712547909,0.010404,16.3967410979,32.6365969172,-0.00135908,135.805818422,0.471615634679,114.014330534,0.000149122223158,0.00126671013146,1.0,1.05942131558,4.23883e-06,71.1735946212,-0.0285152386253,62.2147251325,15.5059,0.287536060461,0.0104773182338,21.1343483379,0.000154735,18.1942,12
-7.69072496708,36.1807423725,0.0129801,-4.07161372648,33.4692294794,-0.00579447,126.367013028,0.373484441811,68.2462531038,0.00423727875175,0.00136602073335,0.981599,0.979768222675,5.21099e-06,61.2959580695,-0.327532940342,18.0149111884,15.7086,0.309276671032,0.0130737114377,25.5663920716,0.00424702,18.4321,13
-0.273814512852,32.5111773329,0.0164312,-33.6619808024,31.2193346971,-0.00917796,141.492667689,0.272334149116,104.779498693,0.00809360435065,0.00154920132346,0.990366,1.0542740032,6.73939e-06,50.3187609802,-0.532870311946,51.4820745213,15.954,0.287442413757,0.0165112674437,30.645195337,0.00810126,18.6619,14
15.8711286863,38.0953922041,0.0199099,12.2036860157,33.0557222143,-0.013861,134.943733042,0.412686828109,131.695045983,0.0121932213279,0.00164725750956,0.997806,1.0372996781,7.92395e-06,65.2151210557,-0.10656573299,60.0485754794,16.1864,0.302260893802,0.0200164962268,35.2584292789,0.0121997,18.8417,15
1.50389898437,4.49302201653,0.023964,-17.8166370332,20.6235321365,-0.0179444,98.5641125269,-0.128247859862,105.264480801,0.0166370780931,0.00167241147176,0.994158,0.59113402797,7.70096e-06,4.3355367888,-0.314750152817,41.5359960922,16.4226,0.173380858869,0.0240292107437,31.8376184321,0.0166367,18.9161,16
-14.1461799371,37.6799440333,0.028177,18.9089260718,19.4523230598,-0.0225145,111.926106411,0.401256520227,55.4374623498,0.0205954476949,0.00185924596966,0.991302,0.826650011454,1.03867e-05,60.8744923431,0.0367285266974,15.463711388,16.6983,0.169675659605,0.0282447462662,18.7771736163,0.0206004,19.1698,17
5.56510755482,4.53564264786,0.0323263,-18.2666008984,17.9683109762,-0.0263847,102.529515348,-0.0855930911253,135.039463309,0.0247993953667,0.00200976985363,0.977946,0.489104736059,1.30461e-05,6.55012864908,-0.298058482542,53.9200863629,16.9465,0.131585502286,0.0323735255392,42.0721793871,0.0248,19.3274,18
-9.72833625544,38.0533200572,0.0365108,29.1904132999,13.7287915038,-0.0316545,99.1376633102,0.416411288362,89.9511945456,0.0294385880168,0.00209502808767,0.985055,0.749737022392,1.33236e-05,61.148087154,0.14190471357,29.1964902262,17.1997,0.120728927197,0.0365697223588,33.5651804322,0.0294418,19.4516,19
2.90853583684,38.3758780574,0.0415233,28.242288273,16.070228722,-0.0381297,116.695656598,0.428424290671,71.5129824655,0.0353857433453,0.00222087867589,0.997986,0.910178158435,1.44066e-05,62.4203483511,0.132966491791,50.3400713664,17.4465,0.128580967491,0.0415958464481,17.1982449154,0.0353932,19.5642,20
18.8557414273,36.5831809663,0.0469095,30.7505485258,16.8221096257,-0.0438145,109.057701654,0.391624599195,95.3439342116,0.0410060420898,0.00248193680706,0.998011,0.833619385355,1.86663e-05,59.0708894422,0.129567545171,57.5021342634,17.7288,0.135207554158,0.0469972858487,20.9988472982,0.0410153,19.7052,21
31.8522903682,38.0117559227,0.0524985,22.1375356501,17.675345266,-0.0477863,112.13285573,0.396841898783,137.819647648,0.0464499160972,0.00268566388427,0.992243,0.771335190171,2.23467e-05,61.2365483181,0.0690357799146,66.5378122653,18.0394,0.151136070251,0.0525972837871,33.3974076291,0.0464442,19.8655,22
47.7186209787,36.6219336862,0.056828,27.063323812,16.8166035453,-0.0513281,112.098982532,0.358137993215,99.1990174497,0.050533998817,0.00271748131626,0.988059,0.761071683676,2.48348e-05,57.7147969833,0.0791658869575,62.2422346438,18.2748,0.144252625783,0.0569429567987,15.9658261151,0.0505426,20.052,23
2.87834759324,38.4421305958,0.0619866,17.0844240513,11.2550741047,-0.0564718,101.859331649,0.448583570628,76.4144152597,0.0555640509157,0.0026967728492,0.989559,0.799859279685,2.34891e-05,61.4699459602,0.0184711745209,58.778159983,18.4679,0.104914367577,0.0620997133077,17.648414023,0.0555833,20.288,24
