MaxReturn,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageQ,MaxEsReturn,Iteration,StdReturn,AverageAbsY,AverageQLoss,StdEsReturn,AverageAbsQ,AverageAction,MinReturn,QFunRegParamNorm,AverageEsReturn,AverageReturn,AverageDiscountedReturn,AveragePolicySurr,Epoch
2232.47299948,29.6375,23.1409222081,0.927368819177,918.566237194,23.1331,918.566237194,42,420.156355867,23.1415881608,1.8772,0.0,23.1331,0.848771,1107.0568586,31.3115,918.566237194,1736.29808852,181.114211371,-24.2141,42
2075.80147452,29.9691,24.1816732644,0.938007548505,773.697357384,24.1738,773.697357384,43,45.486239976,24.1820301815,1.89762,0.0,24.1738,0.809384,1933.74941818,31.6623,773.697357384,2033.42310069,174.152063049,-25.2752,43
1924.24727577,30.2896,25.438990097,0.957221822475,494.829285674,25.4305,494.829285674,44,441.337249149,25.4395699806,2.01068,0.0,25.4305,0.870224,701.22121201,31.986,494.829285674,1338.59795426,168.598585515,-26.5514,44
2568.56530941,30.6367,26.7009912977,0.985159621837,1263.67589193,26.6929,1263.67589193,45,77.7155853172,26.7016301007,2.22044,0.0,26.6929,0.853863,2295.40978179,32.3403,1263.67589193,2504.47887201,217.741008471,-27.8201,45
2416.36123758,30.9106,27.9386088112,0.979333759887,777.713901824,27.9302,777.713901824,46,503.542968224,27.9391047495,2.11338,0.0,27.9302,0.829943,920.232305689,32.6757,777.713901824,1999.77680531,201.429881617,-29.0694,46
2436.67867276,31.2303,29.1907511732,0.99548202286,1123.62707711,29.1824,1123.62707711,47,624.723072206,29.1913270786,2.22762,0.0,29.1824,0.865978,849.751037266,32.9856,1123.62707711,1851.57489667,186.403447284,-30.3604,47
2587.70187982,31.5473,30.4525397085,1.01755824001,932.927400269,30.4441,932.927400269,48,608.186613907,30.4530455881,2.38031,0.0,30.4441,0.834752,848.115378442,33.3136,932.927400269,2106.3471299,188.276700633,-31.6389,48
2315.34849805,31.8609,31.8208085285,1.04899976663,979.744376717,31.8113,979.744376717,49,526.891201535,31.821474267,2.62088,0.0,31.8113,0.85813,883.129171161,33.6973,979.744376717,1309.95818293,157.462368714,-33.0057,49
2286.64021001,32.2207,33.0326795628,1.06772341201,1357.21999439,33.0255,1357.21999439,50,473.375907173,33.0333226822,2.83671,0.0,33.0255,0.842884,804.493180208,34.0216,1357.21999439,1667.98137135,192.160998011,-34.2229,50
2274.24103408,32.5386,34.2921636272,1.0635938861,713.74167405,34.2814,713.74167405,51,28.5996026676,34.2926589765,2.70462,0.0,34.2814,0.824886,2187.4133463,34.3512,713.74167405,2228.38657173,189.141144205,-35.5147,51
2579.8644446,32.862,35.693606971,1.08963284432,624.006925576,35.6858,624.006925576,52,332.575545252,35.6940231186,2.96659,0.0,35.6858,0.844963,1371.71857671,34.6871,624.006925576,2347.26994222,213.225313001,-36.924,52
2473.46225096,33.2016,36.9689514165,1.11807126672,1677.15394421,36.9579,1677.15394421,53,574.719465898,36.9695952365,3.23571,0.0,36.9579,0.846091,822.667603624,35.0394,1677.15394421,2068.1443122,198.009138241,-38.2165,53
2408.74640513,33.4861,38.2406905698,1.12113791152,524.859377346,38.2323,524.859377346,54,525.515485429,38.2412447249,3.25946,0.0,38.2323,0.844314,945.223182742,35.3488,524.859377346,1977.04348768,192.392181824,-39.4881,54
1454.73242019,33.8386,39.6169033016,1.1405384031,730.326850821,39.6073,730.326850821,55,294.273524277,39.6173767303,3.21341,0.0,39.6073,0.871759,429.02448874,35.623,730.326850821,844.441815324,144.36732821,-40.8694,55
891.581843539,34.1663,41.1384260154,1.15789673097,1362.81110799,41.1292,1362.81110799,56,344.488365602,41.1388635984,3.50084,0.0,41.1292,0.858456,-113.899330367,35.9853,1362.81110799,441.946310819,112.80129095,-42.4105,56
2149.14895588,34.4683,42.4446971691,1.18595453598,943.232022736,42.4335,943.232022736,57,514.271884731,42.445070213,3.61028,0.0,42.4335,0.893125,587.665523706,36.3503,943.232022736,1088.70767806,168.190666769,-43.7046,57
1819.5338148,34.7225,43.7607591512,1.19338669795,855.835603509,43.753,855.835603509,58,401.812103126,43.7613774291,3.79573,0.0,43.753,0.886559,429.262854917,36.6695,855.835603509,1012.31660036,204.97470521,-45.0555,58
2485.91762149,35.0023,45.0883751188,1.22890443676,956.134957597,45.0766,956.134957597,59,481.206507184,45.0887835367,3.94768,0.0,45.0766,0.860676,860.8134746,36.9821,956.134957597,1546.80607219,193.461376179,-46.4156,59
2996.97317024,35.2973,46.2793268289,1.23106219839,681.526972419,46.2679,681.526972419,60,904.012834934,46.2799727379,4.08454,0.0,46.2679,0.860968,818.48600231,37.2812,681.526972419,2111.67789925,248.462159158,-47.6098,60
