AverageQ,Iteration,AverageAbsY,AverageAction,Epoch,AverageQLoss,PolicyRegParamNorm,AverageAbsQ,AverageReturn,AveragePolicySurr,AverageEsReturn,MaxReturn,MaxEsReturn,StdReturn,AverageY,AverageAbsQYDiff,MinReturn,StdEsReturn,AverageDiscountedReturn,MinEsReturn,QFunRegParamNorm
-0.129934,9,1.2392526077,0.00137041,9,1.96636,11.78,0.339651,-0.579731966841,0.395846,-143.848000645,0.768168062298,-39.5209500328,0.937042238145,-1.2392526077,1.19526808362,-2.06234374479,52.808118098,-0.282185656122,-201.860440052,11.5197
-0.463914,10,0.472931121829,0.914643,10,0.0664834,12.6146,0.464065,-424.139562742,0.357975,-17.3609928853,-412.86291054,-17.3609928853,10.0715443037,-0.472928329443,0.171261670565,-445.764411954,0.0,-39.5179153919,-17.3609928853,11.5121
-0.224213,11,0.225446758207,0.986335,11,0.0109137,13.354,0.226797,-590.851709354,-0.0395128,-339.555384559,-587.257884724,-339.555384559,1.69879943852,-0.222618953192,0.0805788915725,-592.9201612,0.0,-57.883049941,-339.555384559,11.6904
-0.0634868,12,0.0983881546905,0.77075,12,0.00434464,13.5622,0.0916556,-525.966937598,-0.0256107,-492.205143356,-500.880298879,-492.205143356,14.4712809496,-0.0624313512746,0.0509423553515,-547.872266758,0.0,-50.0222968806,-492.205143356,11.6706
-0.0674063,13,0.103826137659,0.80091,13,0.00341766,14.0338,0.0944866,-384.564310788,0.0125196,-430.675444057,-371.921709907,-430.675444057,6.17111679229,-0.0676057358205,0.0447767662559,-394.735446244,0.0,-37.8867792052,-430.675444057,11.7304
-0.0653439,14,0.110250872656,0.7601,14,0.00341539,14.599,0.10008,-389.608587901,-0.00765269,-398.09337234,-374.394099334,-398.09337234,8.75268544883,-0.0649590301144,0.0445772028561,-407.152460904,0.0,-34.9725183675,-398.09337234,11.9339
-0.0119472,15,0.0983329337002,0.757126,15,0.0028352,15.0277,0.0905012,-697.965972354,-0.0623818,-364.673653018,-566.631017786,-364.673653018,105.894359946,-0.0114691811874,0.0403816085256,-880.730229424,0.0,-57.8139635951,-364.673653018,12.1581
0.0280963,16,0.105323493538,0.788158,16,0.00262973,15.4731,0.0997356,-466.037318584,-0.0885712,-376.117702377,-460.432572529,-376.117702377,2.88612189375,0.0282835800802,0.0387054641852,-471.746759731,0.0,-40.0148846543,-376.117702377,12.4295
0.0462553,17,0.115007592924,0.804626,17,0.00251974,15.7602,0.109968,-465.871495384,-0.0917364,-394.232269373,-443.529786508,-394.232269373,15.3431511182,0.0462796825119,0.0377446506647,-502.052404119,0.0,-32.4466210112,-394.232269373,12.7165
0.0490257,18,0.122416345647,0.472101,18,0.00239349,16.1932,0.117747,-178.763969364,-0.0918281,-384.690546208,-109.666223484,-384.690546208,43.9103899936,0.0490471264464,0.0363597221016,-240.42103906,0.0,-12.3216578078,-384.690546208,13.0245
0.0555291,19,0.12019649729,0.701129,19,0.00232835,16.7249,0.116024,-366.55164958,-0.10631,-327.967877255,-337.262988248,-327.967877255,15.9766379366,0.0554354307436,0.0354019809121,-386.637853001,0.0,-29.4748769639,-327.967877255,13.3962
0.0630503,20,0.118747376583,0.652089,20,0.00247203,17.1986,0.114117,15.7794158745,-0.101121,-349.002997727,113.0495364,-349.002997727,155.457659905,0.0631041404673,0.0356936959862,-418.765817916,0.0,1.67652997712,-349.002997727,13.7811
0.0721183,21,0.121263346196,0.818695,21,0.00231542,17.5757,0.116838,-465.401432214,-0.10614,-239.616165061,-396.850293734,-239.616165061,36.7256935677,0.0721956604205,0.0348184138421,-533.852655265,0.0,-28.234769251,-239.616165061,14.1474
0.077874,22,0.127394488525,0.804615,22,0.00262459,18.0503,0.122229,-490.842448922,-0.111964,-242.634150142,-416.790989163,-242.634150142,46.2985740454,0.0778419860909,0.0365289896488,-550.453090102,0.0,-37.2246228303,-242.634150142,14.5619
0.0799888,23,0.138698546456,0.834978,23,0.00314266,18.5154,0.132934,-156.567881926,-0.117027,-217.146704402,31.8150437879,-217.146704402,97.878987182,0.0800109006269,0.0388841441382,-310.668719007,0.0,-2.54681039967,-217.146704402,15.0063
0.0854486,24,0.153392395324,0.847647,24,0.00340146,19.0677,0.14734,-256.12836291,-0.131168,-300.285479728,-85.5605237559,-300.285479728,95.8946348123,0.0854823351802,0.0404702631686,-410.609773124,0.0,-10.9100227434,-300.285479728,15.4346
0.102676,25,0.166194523631,0.89196,25,0.00347761,19.7134,0.160539,-273.278886834,-0.15057,-172.647482896,-190.01016968,-172.647482896,51.9460331908,0.102812658699,0.041264683074,-372.067543607,0.0,-21.7175211308,-172.647482896,15.9005
0.122486,26,0.182167404313,0.88457,26,0.00373803,20.1677,0.176664,-190.520164181,-0.169891,-262.973554423,-79.1527468063,-262.973554423,50.1330212919,0.122599840232,0.0430865849415,-253.576879776,0.0,-15.0545054318,-262.973554423,16.3204
0.14207,27,0.200251809082,0.899114,27,0.00370295,20.6225,0.19504,78.9926102408,-0.188416,-126.153888307,229.615512781,-126.153888307,169.92341767,0.142187519823,0.0432246840897,-399.458297664,0.0,4.60938554873,-126.153888307,16.761
0.162207,28,0.221386444217,0.900569,28,0.00391285,21.0799,0.216173,-44.0313746761,-0.207324,-162.223903427,93.6340459289,-162.223903427,86.1302745887,0.16219796919,0.044674533149,-214.156361706,0.0,-8.96063685957,-162.223903427,17.1395
0.179124,29,0.239256769345,0.913059,29,0.00436444,21.4987,0.23351,-277.930064911,-0.227509,-11.0822481475,-133.681524661,-11.0822481475,73.8936511692,0.17920018395,0.0469249768461,-393.258499861,0.0,-15.706000584,-11.0822481475,17.563
0.196347,30,0.257723732272,0.91306,30,0.00445278,21.8021,0.251972,-354.212041074,-0.245269,-246.33708439,-292.102890992,-246.33708439,37.6395001168,0.196469939883,0.0477851413875,-402.491055347,0.0,-19.3725234763,-246.33708439,17.9175
0.222838,31,0.281954789955,0.893168,31,0.00469565,22.0635,0.27619,-369.648575267,-0.276211,-214.95269198,-213.325321792,-214.95269198,74.210125864,0.222953212959,0.048944274684,-471.06131489,0.0,-16.4826839963,-214.95269198,18.3224
0.251197,32,0.307095875856,0.859642,32,0.00483583,22.3775,0.301829,-54.3841499441,-0.304042,-80.8371392595,75.8129229318,-80.8371392595,71.8599795283,0.251281414865,0.0499213671265,-181.331724904,0.0,-3.32243220493,-80.8371392595,18.6453
0.269912,33,0.323868369708,0.795666,33,0.00496962,22.6374,0.318091,-103.591580371,-0.320633,-39.7313311796,53.9293101999,-39.7313311796,64.5688793235,0.270017042448,0.0507231951211,-189.891039897,0.0,-4.41868370833,-39.7313311796,18.9935
0.290959,34,0.343757827677,0.909077,34,0.00539911,22.8872,0.337728,-72.5378575162,-0.337941,-13.3960379021,4.40385649688,-13.3960379021,43.2308137224,0.291037845289,0.0523933423793,-138.996434517,0.0,7.375925102,-13.3960379021,19.3382
0.307172,35,0.361383655386,0.858966,35,0.00529979,23.2787,0.355458,170.349497751,-0.354251,54.5245044157,267.693084822,54.5245044157,41.0816748928,0.307279642439,0.052300319507,115.028695409,0.0,12.3398155301,54.5245044157,19.6358
0.328039,36,0.381869993753,0.856742,36,0.00565948,23.5808,0.376229,101.298672414,-0.376385,15.09586129,200.021269094,15.09586129,42.9908543956,0.32814577769,0.0539087305429,44.4613901861,0.0,7.33036627821,15.09586129,19.9228
