AverageDiscountedReturn,AverageAction,AverageEsReturn,AverageY,Iteration,MaxReturn,StdReturn,Epoch,AverageReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,AverageAbsQYDiff,StdEsReturn,MinEsReturn,AverageAbsY,QFunRegParamNorm,AverageQLoss,MaxEsReturn,MinReturn,AverageQ
8.77689409693,0.220894,9.91809677695,1.37153674003,9,9.33223995183,0.0467309293023,9,9.19979964812,11.2292,-0.0240698,0.23237,1.57807421118,6.81523741888,1.62448757594,1.37153674003,11.13,2.82166,59.1765039504,9.07670386568,-0.206537
5.13261491066,0.955323,5.96916204763,1.19369261536,10,5.39190321963,0.0418003062225,10,5.29329449565,12.2775,-1.26217,1.19347,0.131204083869,4.77254614628,2.99274339369,1.20610440204,11.3792,0.0608907,45.6409808215,5.08140258163,1.18354
5.13447518541,0.999998,6.93493784826,1.3777115293,11,5.40865143217,0.0433687198531,11,5.29549132588,12.5519,-1.37537,1.39553,0.0739616452021,3.09290796654,4.51955877919,1.39582226057,11.6031,0.0131449,26.32708073,5.06901753596,1.37682
5.13445591409,0.999999,7.45288495357,1.74569501811,12,5.39817463776,0.0434008971706,12,5.2954326483,12.5552,-1.73384,1.77285,0.0843750764865,5.19221887534,2.68495097287,1.77311510936,12.0893,0.0194313,42.2658400381,5.0911502957,1.74505
5.13754022508,0.999999,6.80383469833,2.1670399491,13,5.41772105473,0.0407481316056,13,5.29880348684,12.5589,-2.12687,2.20253,0.103116338669,2.93503941738,4.48016872282,2.20325985476,12.7508,0.0295131,28.1469326044,5.07817948498,2.16611
5.13476160707,1.0,7.27633865262,2.51027426793,14,5.41145638211,0.0428386877938,14,5.29579870617,12.5647,-2.44543,2.55234,0.108693000473,3.91938676501,3.33985798453,2.55336531824,13.489,0.0377459,32.2481773363,5.09414969195,2.50978
5.13656048143,1.0,6.67028566572,2.79341756757,15,5.41125398122,0.0435495661932,15,5.2976442601,12.571,-2.71298,2.83819,0.113858507614,2.31379273914,1.08707212134,2.83959641505,14.1939,0.0407731,17.8693349946,5.08814145995,2.79258
5.13664203431,1.0,6.64418249331,3.01189981064,16,5.41343970591,0.0437030841288,16,5.29778679548,12.575,-2.8993,3.06073,0.113765304113,1.92950450459,3.97387272694,3.06104241932,14.8671,0.0400042,13.2578938724,5.08213244821,3.01152
34.4417671469,1.0,21.5627067139,3.43754945779,17,40.8447169218,0.909601308719,17,38.7508856399,12.9267,-4.08303,3.48042,0.159341998099,17.7054986559,4.56385147215,3.48348294939,15.6333,0.142873,66.0897419795,36.6052838657,3.43476
34.4880472807,1.0,41.9331099712,5.50538321414,18,40.7215577488,0.958875805708,18,38.8062665937,12.9293,-6.68607,5.53012,0.271998332708,4.99628996344,24.3052261973,5.53313160105,16.7961,0.510475,56.2524560598,36.698703044,5.50073
34.4198038941,1.0,41.8882846062,6.99672896689,19,41.9239685513,0.957100081224,19,38.7234695859,12.9296,-8.25458,7.01774,0.323378120361,5.21257931999,27.3616005663,7.02115125009,18.0137,0.683111,58.9723013824,36.6298316218,6.99222
34.4762505709,1.0,41.0413683923,8.62046410882,20,40.7274997976,0.88298317719,20,38.7920281729,12.9293,-10.0278,8.63661,0.385006727114,4.16045371904,28.3474579532,8.63898410387,19.2767,0.844461,58.7658297446,36.6167855927,8.61613
34.475416242,1.0,41.9708664087,10.1258390626,21,40.7778999226,0.922358497883,21,38.793357401,12.9331,-11.6983,10.1387,0.384614240337,5.19767337867,33.7321644381,10.1390623279,20.2921,0.750751,63.4539887113,36.6445314217,10.1229
40.1967907488,0.923505,44.2839818366,11.8239599084,22,50.4831346995,1.51555248199,22,46.1033914808,13.5708,-13.4753,11.8333,0.407337662633,7.51233713992,36.9434939064,11.8337172183,21.1638,0.744228,75.5941366473,42.2695263544,11.8207
111.066090121,0.581,59.3599184479,13.3104504049,23,176.837356819,1.78000152693,23,172.417845449,15.0709,-15.1373,13.3184,0.460385067627,19.0332407724,20.7614456154,13.3172630422,22.0502,0.800379,113.2399963,168.8367493,13.3067
112.626562655,0.425757,136.236477954,14.7626509051,24,180.653015103,1.99310264244,24,176.077620305,16.4971,-16.9064,14.7678,0.514130798347,39.0156189433,38.389778403,14.7685632679,22.7793,1.00626,182.853542855,170.927649637,14.7567
113.258849477,0.479733,159.628334284,16.3483909752,25,181.283996158,2.45938420633,25,176.522543958,17.3787,-18.6717,16.3561,0.544829994926,48.9471443436,30.3396330721,16.3559385488,23.449,1.19894,210.992309423,170.885908407,16.3438
112.499940036,0.476137,138.884091652,17.822256797,26,180.389259551,1.71594473201,26,175.130923777,18.112,-20.2166,17.8269,0.602197316263,53.6629847722,37.0111091816,17.8265181598,24.1222,1.54745,181.67525786,170.245197515,17.8175
113.291991229,0.510811,145.249337593,19.5782818728,27,180.162710068,1.45843145318,27,176.804766745,18.8747,-21.9411,19.583,0.638375215899,59.9913832528,7.83594651811,19.5822886968,24.787,1.86196,193.87258729,171.99004511,19.5727
114.026243091,0.532044,157.762767753,20.9398721996,28,181.035142716,1.43353859142,28,178.213554262,19.7581,-23.385,20.9433,0.684566940242,50.5193964279,12.1677556636,20.9427825901,25.5151,2.06975,191.406143608,175.769915884,20.9349
114.684921611,0.545519,135.516268422,22.6598697946,29,182.642334406,1.5717018753,29,179.711209842,20.3959,-25.1477,22.6659,0.683330779508,59.8495125235,24.3866165192,22.6634061909,26.1995,2.06429,208.878349807,175.8932863,22.6551
112.551464884,0.59802,155.683716562,24.0741920158,30,178.216119652,1.46718157901,30,174.756291621,21.0472,-26.5883,24.0814,0.735511046185,33.6859892291,86.6552744707,24.0773138048,26.9146,2.41938,201.229272435,169.76419297,24.0699
116.605022618,0.468006,166.646253755,25.4309645917,31,189.043562733,1.90463324774,31,184.294017424,21.9772,-27.9778,25.4387,0.772687959314,26.1622840793,98.7809636438,25.4338617887,27.6434,2.72805,192.35335206,179.854891557,25.4259
114.457148931,0.513399,160.965591931,27.1502390567,32,183.349443954,1.09338275654,32,179.61629841,22.4534,-29.7385,27.1601,0.822897157063,27.5816593094,83.7532632816,27.1532873808,28.3174,3.20762,186.218733035,177.165132264,27.148
113.274926811,0.635076,166.910808466,28.5101568262,33,179.962582569,1.50194750911,33,176.446804619,23.2913,-31.0508,28.5214,0.881885903089,46.5453642485,48.3239737809,28.5136104116,29.0853,3.8866,211.453592496,173.775143662,28.5067
118.605977241,0.566468,168.681893677,29.9649638608,34,192.199176976,1.37524761282,34,188.968390481,23.9069,-32.4794,29.9765,0.878100638658,36.2880846616,80.2934424128,29.9681370831,29.8037,3.63355,202.781023744,185.767289769,29.9607
115.15962975,0.567746,134.997770091,31.4236917502,35,184.874191384,1.97567714165,35,181.175118875,24.4821,-33.9802,31.4328,0.91540229174,53.6274369034,32.7383359061,31.4267355395,30.5503,4.03161,199.668222563,177.308792059,31.4171
