StdReturn,Epoch,MaxReturn,AverageAbsQ,AverageDiscountedReturn,AverageEsReturn,QFunRegParamNorm,MinReturn,MaxEsReturn,MinEsReturn,PolicyRegParamNorm,AverageAbsY,StdEsReturn,AverageQLoss,AverageReturn,AverageY,Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageAbsQYDiff
632.189975957,73,2868.10444016,54.0441,219.728214708,1957.2738866,39.4905,1156.01891734,1957.2738866,1957.2738866,36.3848,54.0533124113,0.0,5.88165,1924.26468197,54.0527697246,73,0.921795,-55.265,54.0441,1.27033156629
423.52092472,74,2998.08915867,55.0384,257.531778862,1399.62952103,39.8307,1386.72885465,1399.62952103,1399.62952103,36.5924,55.0513952035,0.0,5.53389,1873.78414106,55.0508906675,74,0.92187,-56.2373,55.0384,1.2594532583
567.882749048,75,2972.32778516,56.2104,210.957286132,851.65090294,40.0758,1407.36024814,851.65090294,851.65090294,36.7792,56.2222534904,0.0,5.56607,2478.734863,56.2218711723,75,0.921155,-57.4494,56.2104,1.27041439089
539.022816209,76,2795.31769456,57.5846,229.520621814,993.244371336,40.3663,1165.44428684,993.244371336,993.244371336,37.0332,57.5954166019,0.0,6.05297,1902.99905571,57.5951912369,76,0.913276,-58.8241,57.5846,1.28758094436
392.289462314,77,2411.14924705,58.8216,192.732280702,1480.27205302,40.643,1125.73801002,1480.27205302,1480.27205302,37.2735,58.8327071259,0.0,5.83016,1573.8596625,58.8324321855,77,0.919742,-60.0555,58.8216,1.28495744936
329.659810881,78,1711.97718383,59.9004,151.24388019,901.321423496,40.9144,834.612508246,901.321423496,901.321423496,37.4719,59.9133573451,0.0,6.57295,1229.4501838,59.9130034771,78,0.917115,-61.1176,59.9004,1.32661735504
267.414509426,79,1862.64072332,61.5241,148.741091124,1496.36452952,41.297,1013.1626796,1496.36452952,1496.36452952,37.6827,61.5378555197,0.0,7.33024,1250.68465723,61.5374154786,79,0.910466,-62.7806,61.5241,1.38164729833
638.516135187,80,3056.41802262,62.5794,234.919816149,1069.14529471,41.6211,1181.77725172,1069.14529471,1069.14529471,37.8981,62.59057836,0.0,7.0194,2303.44161244,62.5903599435,80,0.914183,-63.8601,62.5794,1.3679302426
399.142544104,81,2289.09186901,63.7444,175.924931446,1001.69770684,41.8821,871.822549214,1001.69770684,1001.69770684,38.1421,63.756869746,0.0,6.96873,1346.59653286,63.7565414659,81,0.931426,-64.9847,63.7444,1.36028465324
193.542483195,82,1638.54328864,65.0099,176.411809815,1338.09291596,42.1555,1051.47906842,1338.09291596,1338.09291596,38.345,65.0210072157,0.0,6.64818,1260.8782268,65.0207052102,82,0.917955,-66.2808,65.0099,1.37269752896
674.008736366,83,1901.01299396,65.9775,197.719461025,720.44821142,42.5378,-190.4974156,720.44821142,720.44821142,38.5646,65.9902315939,0.0,8.8586,1100.4344203,65.9897706004,83,0.944298,-67.2267,65.9775,1.45523306901
