AverageDiscountedReturn,StdEsReturn,PolicyRegParamNorm,AverageAbsY,AverageY,MaxEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsQ,MinReturn,MinEsReturn,AverageReturn,AverageQLoss,AverageEsReturn,AverageAction,AveragePolicySurr,Iteration,Epoch,StdReturn,MaxReturn,AverageQ
18.5264179208,10.1803977756,13.3354,1.05887099233,1.03892353785,80.9782489117,11.042,0.738636346075,0.392077,20.021600039,2.84687408166,21.0479753947,0.665241,13.0046725569,0.00408229,-0.267063,9,9,0.355521741864,21.9898840151,0.392077
1.7053741123,0.972138650853,13.8876,1.38195329877,1.35765718389,9.89296791232,11.5046,0.102202119638,1.3672,1.49706863887,0.968457989252,1.69985244199,0.0296257,7.59013908698,0.999989,-1.08277,10,10,0.0799994872338,1.91291614468,1.35308
3.53455855816,1.01119254632,14.2014,1.9163796801,1.8688275044,7.73815343135,12.1101,0.0848271218671,1.91481,3.30341120375,0.171985649278,3.58877789559,0.0221427,7.44760792695,0.999996,-1.35309,11,11,0.111878634048,3.93338817634,1.868
3.52780380462,0.169886990391,14.2184,2.51394075999,2.4381794213,8.27289972021,13.0326,0.0968168482601,2.51237,3.27134506234,7.45273335948,3.58178518789,0.0315558,7.68411453294,0.999998,-1.6547,12,12,0.111660192682,3.87472398134,2.43782
5.67132794439,0.163502176512,14.1698,2.98196885067,2.86333045407,8.18360449078,14.0488,0.1019135354,2.98019,5.69616371634,7.44155306469,5.82988069882,0.0355235,7.64420481189,0.998178,-1.83128,13,13,0.0598838845001,6.0176605979,2.86312
34.628044878,0.320968765425,14.8846,3.47139317,3.36041213723,9.80389827259,15.1435,0.100167518627,3.47081,36.6396927233,7.44816444971,39.0085233553,0.0340893,7.66156097196,0.984086,-2.18327,14,14,0.948410174797,41.8860646001,3.35988
34.4903786649,0.972998343847,15.5876,4.12933597368,4.05451363255,14.6982085503,16.3605,0.112176678198,4.12794,36.6828364909,7.46201007321,38.8099065299,0.0492861,7.78163354661,1.0,-2.93226,15,15,0.959650958004,41.7660684934,4.0537
34.4345164015,0.461056766046,15.5878,5.59323523882,5.55621864538,10.8337642713,17.7541,0.15737454025,5.58609,36.4907656253,7.39311871944,38.7427697483,0.0961251,7.68679953069,1.0,-3.76093,16,16,0.949199031308,40.7148342958,5.55477
34.4376877127,0.459291528228,15.5882,6.93321290941,6.89673349103,10.9101776784,19.1399,0.182154864347,6.92391,36.6489195101,7.41173668713,38.7456627172,0.145407,7.68089385132,1.0,-4.58944,17,17,0.87456196645,40.7759017075,6.89489
34.515019113,0.491454890713,15.589,8.4586109649,8.4239607429,11.166012318,20.504,0.206388309213,8.45288,36.5548498914,7.45963189885,38.8430355973,0.194026,7.6800764406,1.0,-5.46472,18,18,0.937189914177,40.7381490486,8.42204
34.4690398012,0.459007819177,15.5899,10.0852002931,10.0496783076,10.829662861,21.7425,0.227149075288,10.0828,36.6252600266,7.45774053421,38.7855265796,0.259594,7.7004872528,1.0,-6.43224,19,19,0.935678260478,40.7268315532,10.0474
34.4680049044,0.441384989843,15.591,11.8901569068,11.8535839701,10.8008320658,22.9443,0.248928258787,11.8925,36.5985664198,7.48679173998,38.7829700472,0.271927,7.647844107,1.0,-7.48973,20,20,0.962491636912,40.7484317146,11.8519
