StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageAbsY,MinReturn,AverageQLoss,AverageQ,Epoch,AverageAbsQYDiff,AverageAction,Iteration,QFunRegParamNorm,AverageAbsQ,MinEsReturn,StdReturn,AverageEsReturn,AverageReturn,AverageY,PolicyRegParamNorm
63.6427169575,-3.30431,142.936357216,259.31858708,284.380507326,3.11453926583,219.749227801,0.0535689,3.10427,30,0.110938915462,0.456556,30,18.1377,3.11454,20.8554050769,4.49021321714,188.893450755,254.722396599,3.10559060725,22.9131
55.9447013578,-3.50217,136.191762788,289.138338522,325.453599647,3.30509026484,213.249314319,0.0539405,3.29617,31,0.110949898414,0.503059,31,18.5748,3.30589,119.674336326,9.6087477859,219.941897252,246.765518816,3.29698493157,23.2893
93.3323102475,-3.72014,134.468027686,267.825649793,350.500953485,3.51990546093,222.677635121,0.0737653,3.51269,32,0.124215833446,0.425767,32,19.0224,3.52063,20.600992028,6.81851324414,155.620468315,230.961445362,3.51373485895,23.6704
79.3037216448,-3.92057,152.849785819,311.802360304,333.967121964,3.71839067062,275.860980801,0.091515,3.7124,33,0.131357468661,0.579932,33,19.5043,3.71924,48.795772253,6.79230129038,153.934527748,282.815870531,3.71348209845,24.1021
100.613213569,-4.14199,163.174432427,335.842293082,321.49142408,3.93347734751,282.024367233,0.0823529,3.92787,34,0.131165502284,0.556758,34,19.9164,3.93416,14.0262613631,14.2292431287,165.984238539,316.605687647,3.92902529322,24.4419
94.615545419,-4.36534,181.143785238,452.611150801,369.814175217,4.14856888848,310.975474515,0.0974402,4.14324,35,0.140800695486,0.490048,35,20.3363,4.14888,24.4835370762,51.5160260979,162.24247221,398.43999192,4.14455310611,24.7521
102.828062909,-4.56198,162.73870266,354.685265204,328.378357607,4.34721779808,293.566410024,0.0975319,4.34291,36,0.141340618025,0.592691,36,20.7497,4.34903,32.0890840602,12.630085984,158.6636229,312.534127308,4.34345768163,25.1696
118.383283366,-4.75078,178.48917603,471.243223656,363.048532989,4.54174759554,293.697962258,0.104095,4.53684,37,0.148499284595,0.607653,37,21.1658,4.5424,9.33462148927,70.2327859831,153.644574373,372.941568552,4.53839509601,25.5175
129.157064522,-4.95573,158.194821596,301.85957165,486.848544151,4.74428277567,290.470677823,0.119832,4.74002,38,0.156973594048,0.578802,38,21.5817,4.74606,39.631565073,2.73956479219,289.052622744,296.775948759,4.74107342468,25.9144
113.539770208,-5.1861,170.713335568,356.242439815,439.345049543,4.96756631514,331.652996595,0.121516,4.96263,39,0.157413256625,0.614903,39,21.9661,4.96963,83.4998121465,4.55835045969,296.83398375,337.892245024,4.9641460202,26.2312
129.932723885,-5.39941,172.327660381,348.062016082,394.396257124,5.17390756016,336.839235718,0.134387,5.1692,40,0.166235590056,0.526627,40,22.3557,5.17619,22.5761325751,2.15271045166,259.681539667,343.3542278,5.17016185345,26.5099
114.298962083,-5.63009,173.005234759,352.022829708,430.912459539,5.39395979999,336.748632892,0.151566,5.38897,41,0.172645922173,0.544971,41,22.7266,5.39561,9.42956473112,3.25256489525,200.202084248,343.69051282,5.39038229717,26.7967
136.885398631,-5.85962,159.724567594,374.123521896,386.593067195,5.61818533873,260.815214933,0.142649,5.61412,42,0.171184384956,0.671363,42,23.0924,5.61983,19.5812461424,33.2779469622,186.021852898,312.369383894,5.61534169931,27.1312
118.117203784,-6.0851,179.22204118,376.017854005,372.730621102,5.83895572103,364.131818219,0.181385,5.83369,43,0.18343267357,0.53378,43,23.5223,5.84157,31.9752296925,2.36085200549,231.623927105,369.144984674,5.83563627122,27.4827
108.770512952,-6.29608,179.745835636,379.686371548,380.998911323,6.04899015863,366.772532253,0.163979,6.04452,44,0.181599133354,0.601331,44,23.8362,6.05088,74.9991284817,2.06580199623,207.728931504,369.899870065,6.04578972022,27.7508
109.509188687,-6.54128,179.307574222,383.401334354,379.232537724,6.29961267962,358.573332483,0.167324,6.29548,45,0.185432014438,0.538284,45,24.1865,6.30282,79.0687794978,5.94255953371,234.35792065,376.764312933,6.29650164083,28.0343
112.941768058,-6.76922,168.324231308,400.796625121,375.090652769,6.51009844406,261.480211906,0.177434,6.50516,46,0.192462438676,0.653255,46,24.552,6.51257,45.374835463,34.6061011151,205.242909654,335.810138875,6.5068925363,28.3814
127.720024102,-7.00087,174.158428986,360.34169244,399.908650228,6.73468670281,342.21449866,0.193317,6.72958,47,0.19351330088,0.579401,47,24.8861,6.7375,43.1576346446,2.81619588797,192.151160216,356.26725446,6.73103565532,28.7343
160.573154851,-7.24549,176.255014971,539.556597808,526.140074845,6.97874534648,289.975561895,0.217224,6.97457,48,0.208361634003,0.668023,48,25.1928,6.98195,69.3286166761,54.7345557691,261.522975128,364.924428199,6.97575491763,29.1303
115.340819489,-7.40166,183.804185287,428.069313215,382.293594054,7.13028060488,346.896396733,0.226175,7.1249,49,0.209998532762,0.679634,49,25.4686,7.13351,6.47255934696,24.0279137459,235.85080528,390.442230668,7.12667540589,29.4283
124.434162765,-7.66299,180.000747895,492.568687872,497.180747196,7.39036803771,287.78078288,0.268851,7.38538,50,0.225594442496,0.629645,50,25.7727,7.39443,51.2337400896,39.1087130875,195.417905006,377.937498055,7.3873600691,29.7183
101.34570107,-7.88107,173.678808256,357.81392611,344.870801037,7.60623485607,341.847925084,0.24647,7.60148,51,0.228814452586,0.624213,51,26.0998,7.61036,33.0463464077,3.60246525665,224.850860284,350.416834558,7.60272823019,29.9442
75.1799192245,-8.06345,176.709525451,375.448530765,327.904469865,7.78440090404,349.275465557,0.246584,7.77955,52,0.224348150928,0.617296,52,26.4378,7.78827,32.0168265097,7.71896606988,189.181789974,363.339959348,7.78112357936,30.2143
117.210716451,-8.30637,174.300427649,360.207180931,346.588743536,8.02652828462,338.458394789,0.288368,8.02032,53,0.241951782934,0.65316,53,26.7252,8.02884,41.1511840771,5.38655699703,180.235493673,349.648738233,8.0225473787,30.4933
115.66916465,-8.47636,156.320205026,314.372568936,401.978143556,8.20080364734,287.64780082,0.272387,8.1952,54,0.236752054597,0.62841,54,27.0408,8.20419,29.3958196316,7.54250143692,254.882792787,297.854036414,8.1971750304,30.7708
119.289012301,-8.73589,183.089139699,399.71715683,373.384937888,8.455251323,369.260390182,0.301219,8.4506,55,0.249107970112,0.651801,55,27.3397,8.45964,57.7807011967,6.7073533687,246.288092033,382.297903389,8.45205667917,31.1194
105.261515826,-8.97493,171.838857012,364.709792724,371.946170167,8.68127890562,325.835232162,0.284065,8.67635,56,0.245265701068,0.683699,56,27.6054,8.68566,57.8266267287,8.36431482998,216.43767525,346.610440287,8.67812517067,31.2712
117.16700379,-9.17534,182.000801977,418.958078038,352.376414309,8.87359503766,365.516259032,0.324671,8.86855,57,0.261818880556,0.652339,57,27.945,8.87799,72.4515228088,11.2642777843,226.666143408,386.770834699,8.87065353135,31.5505
118.483934903,-9.38465,194.969626251,476.156373448,401.108694946,9.08093546011,386.626435205,0.382256,9.07661,58,0.27753679819,0.688429,58,28.3215,9.08558,45.1973413092,14.9294473752,223.814207536,446.275471854,9.07845682808,31.7371
84.6048131746,-9.59053,187.364598414,476.580470214,337.126365112,9.27729433528,375.793043242,0.347466,9.27272,59,0.266753316556,0.61792,59,28.6457,9.28283,60.9455986571,31.7405018267,249.008896159,404.698259531,9.27474350431,32.0407
122.247776398,-9.87844,187.325165345,418.646089277,351.915863116,9.55851093491,384.954682489,0.376057,9.55356,60,0.282613477689,0.657174,60,28.9794,9.562,8.61235741145,8.42751251975,182.755477956,400.475079509,9.55596685657,32.3657
125.017277472,-10.0661,184.288457942,465.22303824,382.055044825,9.73749653004,306.911408389,0.404594,9.73258,61,0.286229981905,0.653882,61,29.2973,9.7411,9.37881836316,45.5072577723,203.918687432,400.716289376,9.73499141418,32.6048
105.115720609,-10.3296,188.481768297,460.077678821,369.551370239,10.0013194603,382.199605204,0.376471,9.99716,62,0.285659496704,0.692044,62,29.5746,10.0051,50.4184955382,15.1927438246,252.051079651,412.512187598,9.9991015291,32.847
135.369641977,-10.5104,171.746804938,361.424997839,421.019507943,10.1752976824,318.196365471,0.444817,10.1705,63,0.307663937925,0.643009,63,29.8344,10.1804,30.4839870735,8.81708850079,199.624110537,346.161136721,10.1726403363,33.0627
102.322543125,-10.7544,159.444663543,313.013854451,344.654856465,10.4215752713,292.348656117,0.463813,10.4169,64,0.304067775027,0.604459,64,30.1292,10.4268,9.34208417663,4.53881577616,188.680971492,302.701911822,10.4189326917,33.3041
132.752245577,-10.9399,166.436927003,337.176995988,343.807230036,10.6155488689,304.422674626,0.407825,10.6108,65,0.29577444381,0.655735,65,30.3841,10.6207,19.2929903161,6.36435349434,171.748693642,318.371321578,10.6127746219,33.5185
