QFunRegParamNorm,Iteration,StdReturn,AveragePolicySurr,Epoch,AverageAbsQ,AverageReturn,AverageQLoss,MinReturn,AverageAction,PolicyRegParamNorm,AverageY,AverageAbsQYDiff,MinEsReturn,AverageEsReturn,MaxEsReturn,AverageAbsY,StdEsReturn,AverageDiscountedReturn,AverageQ,MaxReturn
11.5828,9,23.0730703941,-1.01766,9,0.683062,100.624692574,2.27667,64.0994655642,0.213928,11.7799,1.50524406264,1.1534293847,-256.405302126,-200.804563773,-105.583261269,1.50524406264,45.2162310915,6.3181503112,0.628451,134.309660104
12.2973,10,0.522214770312,-1.72477,10,0.772481,-507.216637496,0.271005,-508.203042282,0.847513,12.4049,0.699547456957,0.369052530859,-317.399367375,-317.399367375,-317.399367375,0.820088510612,0.0,-49.5998926998,0.689953,-506.520606672
13.0887,11,1.88004115933,-1.73841,11,0.820027,-520.839965969,0.0997825,-522.723965818,0.889758,13.6055,0.678313113462,0.241568179635,-399.429699183,-399.429699183,-399.429699183,0.854384910006,0.0,-44.7563522532,0.677003,-516.827251592
13.8426,12,31.1733596498,-2.18057,12,1.3069,-411.870614849,0.111632,-447.926143019,0.791907,14.8548,1.07654636207,0.252289797082,-387.690538812,-387.690538812,-387.690538812,1.33240784471,0.0,-2.3658627992,1.07498,-345.540026567
14.5682,13,35.4490708064,-2.69807,13,1.853,-384.856159621,0.154334,-417.421904816,0.764784,15.2897,1.65261481433,0.29147696889,-290.062824308,-290.062824308,-290.062824308,1.88077958652,0.0,-5.10252632388,1.65077,-299.363416062
15.3717,14,48.4340437814,-2.92313,14,2.27738,-244.152455969,0.15498,-304.351668847,0.592203,15.9725,2.11667838767,0.291762739422,-386.654029613,-386.654029613,-386.654029613,2.30048692665,0.0,0.808535413875,2.11454,-154.555469699
16.261,15,36.2434170041,-3.12266,15,2.58187,-110.830934905,0.186846,-149.892011043,0.670731,16.4944,2.39659860231,0.316029158194,-217.513889854,-217.513889854,-217.513889854,2.60578091311,0.0,-6.70376178736,2.39458,-27.991543709
17.0717,16,33.9989101531,-3.33201,16,2.80462,-220.59457052,0.210932,-266.399735156,0.569695,17.2217,2.67214911054,0.332919589445,-181.014672419,-181.014672419,-181.014672419,2.82847245336,0.0,-25.2751488718,2.67011,-140.335151464
17.7953,17,108.534405474,-3.50053,17,3.02297,29.8174368686,0.222464,-231.007776377,0.54202,17.7435,2.91543140954,0.342411571265,-204.83185752,-204.83185752,-204.83185752,3.0446889568,0.0,-5.47371387522,2.91309,143.900605346
18.5493,18,40.947076619,-3.69991,18,3.20245,339.188182059,0.237326,257.963603442,0.553533,18.2069,3.10635286377,0.357865743927,-167.595277284,-167.595277284,-167.595277284,3.22510575926,0.0,7.31627772985,3.10397,396.714586753
19.3328,19,35.661726054,-3.97403,19,3.44871,555.591944633,0.293346,482.268695179,0.527936,18.7635,3.36343515647,0.38863969185,-67.8312063703,-67.8312063703,-67.8312063703,3.47202365792,0.0,40.4267213006,3.36117,600.939078383
20.1038,20,123.004205167,-4.22465,20,3.69769,194.019854269,0.322216,-58.745279536,0.503488,19.2247,3.62548789655,0.408329553411,-71.8647807193,-71.8647807193,-71.8647807193,3.71805586243,0.0,3.22289501658,3.62327,281.163225978
20.791,21,23.1654326262,-4.5229,21,3.96244,235.247210316,0.340368,200.383856728,0.573728,19.7505,3.89373811742,0.424814860807,22.9567199286,22.9567199286,22.9567199286,3.98065179341,0.0,21.1101226426,3.89135,266.211974976
21.4774,22,32.3534493827,-4.85135,22,4.24637,26.6988358416,0.380169,-19.1543314681,0.597173,20.2462,4.19615468353,0.445068803667,40.1937726604,40.1937726604,40.1937726604,4.26192891812,0.0,9.02912648783,4.1936,78.7110842647
22.1898,23,154.872113177,-5.21599,23,4.57417,5.1793441839,0.415669,-198.264450994,0.658562,20.8789,4.53880740137,0.466755428847,22.110350279,22.110350279,22.110350279,4.58892146893,0.0,-7.83145288908,4.53534,330.981814835
22.8267,24,72.3018382612,-5.64291,24,4.95188,115.320697988,0.461495,3.24096943719,0.657673,21.5,4.92540850975,0.492833071184,92.3093635238,92.3093635238,92.3093635238,4.96609761328,0.0,25.3652001295,4.92169,262.749855347
23.455,25,47.3466076022,-6.16607,25,5.43334,294.722370771,0.506815,191.513507715,0.659882,22.1326,5.41801379674,0.513921737294,112.91771739,112.91771739,112.91771739,5.44501943369,0.0,35.5839820401,5.4136,375.032116345
