AveragePolicySurr,QFunRegParamNorm,AverageQLoss,AverageAbsY,PolicyRegParamNorm,AverageY,Epoch,MaxEsReturn,AverageAction,StdEsReturn,AverageAbsQ,AverageDiscountedReturn,AverageAbsQYDiff,MinReturn,MinEsReturn,StdReturn,AverageQ,AverageReturn,MaxReturn,AverageEsReturn,Iteration
0.0476289,11.4929,9.37728,1.98123470346,11.7096,1.9758477686,9,-203.05235407,0.00242913,42.3789351238,0.97979,-3.08134374992,2.5786322165,-42.662703648,-354.553499232,12.5508855113,-0.585325,-5.38602139485,0.768524529734,-304.175465891,9
-1.98317,12.1891,0.325753,1.03635366013,12.2049,0.939406774485,10,-312.363974683,0.814429,0.0,1.00028,-50.8089713852,0.391743199521,-491.894712293,-312.363974683,1.42567408781,0.926868,-489.971160503,-486.877621387,-312.363974683,10
-1.93406,13.2426,0.113397,1.16740446415,14.2659,1.05721932199,11,-325.574220559,0.89779,0.0,1.13517,-26.1962941916,0.255422191578,-434.174871378,-325.574220559,15.6256289837,1.05513,-416.085650836,-383.536432215,-325.574220559,11
-2.19488,14.1035,0.118008,1.41190803338,15.067,1.27234921532,12,-482.532006182,0.836202,0.0,1.3854,-35.6383834741,0.260601207925,-520.75377602,-482.532006182,36.8533725961,1.27279,-479.476536058,-397.408377399,-482.532006182,12
-2.2109,14.9485,0.133929,1.64699279989,15.6937,1.55368722249,13,-367.271047178,0.63943,0.0,1.62452,-6.48272425266,0.276007528458,-183.687089651,-367.271047178,33.8380389755,1.55287,-133.813108916,-58.0862788525,-367.271047178,13
-2.22194,15.8603,0.144763,1.79665085271,16.2722,1.68629375516,14,-202.667218322,0.745818,0.0,1.77475,-9.21217675881,0.284659163238,-111.030868754,-202.667218322,37.3990891048,1.68546,-74.4414149261,1.24311320554,-202.667218322,14
-2.23806,16.7093,0.167644,1.91193347566,16.7245,1.77218454843,15,-291.993344659,0.378846,0.0,1.88644,-2.71024683856,0.304128562767,-208.815124194,-291.993344659,13.8234823352,1.77168,-192.944841157,-163.730937111,-291.993344659,15
-2.43212,17.6021,0.18875,2.08271517294,17.2434,1.93324252193,16,-191.484020004,0.375126,0.0,2.05718,-3.94864417702,0.320767180819,-207.981592947,-191.484020004,6.03012463223,1.93247,-198.680701379,-187.923313364,-191.484020004,16
-2.62926,18.486,0.209135,2.25500356128,17.7774,2.11066103916,17,-212.900729693,0.343792,0.0,2.23146,4.11713844509,0.335369781026,-115.694967253,-212.900729693,7.5104839027,2.11012,-106.872163809,-92.1538696744,-212.900729693,17
-2.832,19.3858,0.242624,2.44292119288,18.3597,2.30799217748,18,-169.061600669,0.27433,0.0,2.41885,4.5912278732,0.3584360261,-112.558854486,-169.061600669,7.00348878924,2.30623,-99.7075965832,-91.0123013434,-169.061600669,18
-3.1153,20.2249,0.277926,2.69118566162,18.9996,2.57237396276,19,-110.216749001,0.657826,0.0,2.67127,31.9145573699,0.381120652269,335.725994979,-110.216749001,47.1025271231,2.57083,408.26415183,476.573294985,-110.216749001,19
-3.4256,21.0458,0.307423,2.95445746035,19.5447,2.85603477283,20,58.5584055065,0.599091,0.0,2.93741,28.3110901989,0.399666315858,207.469418258,58.5584055065,50.9430727139,2.85407,293.326457022,374.681979051,58.5584055065,20
-3.72184,21.7915,0.318192,3.21024889763,20.087,3.13172716359,21,-79.8398149333,0.55921,0.0,3.19527,29.3041467933,0.409914965061,267.902689494,-79.8398149333,39.2682674781,3.13015,326.348838127,392.811646402,-79.8398149333,21
-4.09856,22.4863,0.336271,3.54389942288,20.7166,3.48464633813,22,-35.4325115207,0.681066,0.0,3.53043,28.8727262779,0.420368683523,261.560992616,-35.4325115207,46.1440210714,3.48207,369.18691403,414.461851303,-35.4325115207,22
-4.54091,23.171,0.370356,3.92984405892,21.3446,3.8848725349,23,120.463543152,0.690418,0.0,3.91835,33.2490696572,0.439345778607,248.868607441,120.463543152,51.3147922855,3.88224,326.206427667,428.112100933,120.463543152,23
-5.06243,23.8021,0.408588,4.38223844175,21.904,4.35195421263,24,226.25598874,0.731294,0.0,4.37269,23.7752478423,0.458882768909,94.1994075525,226.25598874,75.5578489593,4.34942,236.310222601,335.074293087,226.25598874,24
-5.66496,24.3878,0.459167,4.92144623027,22.4081,4.90096735809,25,129.87444065,0.731562,0.0,4.91211,55.3600494162,0.480814214246,509.197050655,129.87444065,33.3222558193,4.89766,572.799047041,609.315802576,129.87444065,25
-6.31542,24.8696,0.485932,5.53070856954,22.9015,5.51778302005,26,144.979743328,0.754455,0.0,5.52215,35.7911973861,0.498254912194,229.401559795,144.979743328,77.2746402619,5.51362,320.773570611,494.981540226,144.979743328,26
-6.97769,25.3705,0.534241,6.17480183547,23.3166,6.16753635628,27,264.803835482,0.752304,0.0,6.16791,39.3012324702,0.516273532269,229.415070345,264.803835482,65.6190448905,6.16355,340.262663474,428.070407426,264.803835482,27
-7.65042,25.8478,0.56104,6.84023421972,23.7432,6.83619930273,28,346.901339639,0.768441,0.0,6.83411,39.059838138,0.529610351806,199.354988881,346.901339639,65.6314202965,6.83196,319.303180405,433.421914656,346.901339639,28
-8.31312,26.2894,0.585344,7.50024266797,24.1393,7.49694103564,29,311.367322616,0.802794,0.0,7.49492,29.2548415683,0.540944919997,105.666224822,311.367322616,76.4506121585,7.49309,266.799152224,396.626350148,311.367322616,29
-8.97688,26.7284,0.612444,8.15943903235,24.5384,8.15741309982,30,184.965874205,0.785576,0.0,8.15402,29.8631580111,0.550968207233,138.209317254,184.965874205,70.5958779309,8.15324,255.209392187,379.75394682,184.965874205,30
-9.641,27.1,0.626347,8.82535369698,24.8939,8.82432451487,31,269.290386778,0.789822,0.0,8.82039,42.6424610071,0.558722153094,288.858885788,269.290386778,48.6832623378,8.82027,341.785327901,425.771608815,269.290386778,31
-10.3316,27.5037,0.66195,9.50597478621,25.3101,9.50502126267,32,307.240063729,0.825479,0.0,9.50105,32.91461743,0.570635234383,-453.205488075,307.240063729,291.83286257,9.50102,169.236623957,383.17508343,307.240063729,32
-11.0316,27.8999,0.70838,10.2081679454,25.6582,10.2074568345,33,354.663695341,0.784946,0.0,10.2033,36.6823882655,0.585006636224,197.521697815,354.663695341,88.3072057112,10.2033,344.719800213,473.354893718,354.663695341,33
-11.7006,28.2829,0.704911,10.8706760182,26.0017,10.869997223,34,295.299350466,0.753823,0.0,10.8655,38.8081029143,0.588345307063,-309.601506092,295.299350466,218.532269515,10.8655,326.452879806,472.929287129,295.299350466,34
-12.3672,28.6535,0.71843,11.5494575624,26.2818,11.5487899018,35,377.517998632,0.7303,0.0,11.5451,25.2897929863,0.593973420032,233.027775339,377.517998632,52.4732623538,11.5451,373.666958069,445.971867781,377.517998632,35
