AverageY,Epoch,AverageEsReturn,QFunRegParamNorm,StdEsReturn,AverageQLoss,AverageAbsQ,StdForwardProgress,AverageQ,MaxReturn,AveragePolicySurr,MaxEsReturn,MinForwardProgress,AverageForwardProgress,MinReturn,StdReturn,AverageAction,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageDiscountedReturn,MaxForwardProgress,PolicyRegParamNorm,MinEsReturn
0.936259332494,10,-2.79400203411,23.2952,6.06261770203,15.4992,2.32139,0.0379625583192,2.20462,-13.7318993811,-1.93048,5.41912453095,-0.0166732809986,0.077337304483,-31.5024578828,3.79463156147,1.0,1.57785072365,-22.0994301214,0.939817643182,-12.2178831562,0.160983222566,18.674,-25.5305859422
1.93257867604,11,-20.0425448223,24.3183,2.7325164322,0.205222,1.99444,0.0334740514657,1.95336,-15.9583578179,-2.2791,-15.1017596436,-0.000415734285061,0.0734365573999,-29.8902616895,3.34747568788,1.0,0.220535066596,-22.4895612746,1.95094155825,-12.5185316345,0.138896042357,18.7915,-24.2488818244
1.50859785287,12,-12.4452771043,25.3016,6.37725078351,0.19818,1.62173,0.0789546998893,1.50787,1.30336677079,-1.7565,-4.11955702417,0.0218456950571,0.164838924696,-27.2280321827,7.98623853109,0.980602,0.205738547539,-12.7975168986,1.61367460498,-7.52028660712,0.309215654084,18.6878,-22.5705766709
1.57742987549,13,-19.230059709,26.0414,6.04093910088,0.273652,1.7423,0.0337222409814,1.59879,-12.3687371526,-1.1668,-3.54934074496,-0.00773881494386,0.0717076774967,-30.5541265723,3.35242699659,0.998201,0.237147667452,-22.6070055602,1.71987420919,-12.7188506958,0.174648170781,18.9003,-26.0642043787
1.42233144351,14,-21.9744727324,26.3963,2.49860353949,0.152204,1.53117,0.0552196789565,1.4289,-3.76608295737,-1.00334,-18.450546703,-0.0378618913831,0.08304868657,-33.5460414043,5.47726464518,0.997501,0.180464151836,-21.4986052621,1.53804831726,-11.9639813391,0.264011587522,19.2274,-26.8477392749
1.4318286094,15,-24.8676672614,26.887,3.49359504038,0.140666,1.49101,0.0262872894619,1.44041,-17.2830851426,-1.08692,-19.6788883601,-0.00818292321987,0.0566182052635,-30.6887883461,2.62645001998,1.0,0.201373171261,-24.2175255248,1.5046543702,-14.5334256593,0.126058187005,19.7707,-30.1853974879
1.32057674259,16,-21.0481333964,27.6385,3.26204428009,0.0939805,1.36165,0.0232584618422,1.32717,-18.2985287389,-1.20706,-15.490839241,-0.00326215697415,0.052013813849,-30.149053344,2.31576275112,0.998549,0.1600281437,-24.6206106029,1.36741885796,-14.9519556883,0.115262566037,19.9718,-25.9606660567
1.27255919883,17,-24.1263125,28.3786,1.5634233428,0.260271,1.384,0.0266310140315,1.301,-15.9258883985,-1.58326,-22.332825109,0.0053584998569,0.0595296146504,-29.3421795541,2.66160258554,1.0,0.201820370973,-23.928106455,1.37130452214,-14.2828302502,0.13966135711,20.3747,-26.7667890495
1.24258204316,18,-25.1412587903,29.2197,2.49711637543,0.106085,1.41328,0.0214320791384,1.24613,-19.1858279798,-1.57775,-19.3670431405,-0.00303375026423,0.052857284127,-30.1815908283,2.14263393093,1.0,0.173373530252,-24.5942455885,1.42911162431,-14.8802961013,0.107046260131,20.4674,-28.3621354536
1.38830164623,19,-23.0725337931,29.8202,2.24465166887,0.0648088,1.49525,0.0254085121718,1.3971,-14.6251630044,-1.44811,-18.0316339715,-0.0170197150028,0.0557723090456,-31.5671197366,2.53829333629,1.0,0.13127504764,-24.3031095494,1.49724818138,-14.6041870898,0.152647834271,20.4559,-26.9615902771
1.38035360401,20,-24.6728742469,30.1595,2.27509779826,0.0497812,1.40911,0.0283239888441,1.37869,-16.7099892756,-1.41642,-21.1406312615,-0.0238002929474,0.0548412591333,-32.2493034097,2.83094642475,1.0,0.109261634178,-24.3955420968,1.41525938493,-14.6965300498,0.131607233027,20.5394,-27.9722319603
1.34292852985,21,-25.050919622,30.6646,1.84685370894,0.021573,1.34435,0.0293962350535,1.34145,-16.7418578282,-1.43579,-21.2229341838,-0.0449332194013,0.0492462692917,-34.3755881797,2.93752026065,1.0,0.0720790352871,-24.9546995435,1.34822260899,-15.2070452761,0.131421244771,20.5748,-28.2211703811
1.25848230518,22,-22.2837888843,31.2803,3.78888793708,0.0168823,1.25473,0.0343108989189,1.25354,-13.8401533418,-1.24705,-17.9119217513,-0.00277347832426,0.074154505909,-30.123764849,3.43668676136,0.999665,0.064096981113,-22.4090746937,1.26026531754,-12.511755095,0.160060781237,20.4654,-29.824429388
1.15150253127,23,-23.6447530509,31.3099,2.70102535986,0.014795,1.14868,0.026137632803,1.14759,-17.1444487747,-1.09139,-20.9616054908,-0.0148355235462,0.0530199957444,-31.3630226235,2.61219155135,1.0,0.0554508395586,-24.5782372687,1.15309761508,-14.8629968737,0.127306420142,20.6689,-30.3496152086
1.05259968684,24,-22.8977781928,31.8357,2.86785878431,0.0167836,1.04733,0.0232482747195,1.04631,-17.4894875492,-1.01391,-17.2235302546,0.000613378304064,0.0559922596096,-29.816917872,2.32397521233,0.999997,0.0547136693195,-24.2822373974,1.05531910396,-14.5848829026,0.123929153308,20.9388,-27.8101165315
0.981015817666,25,-26.0496459141,32.1212,1.95690709914,0.00883362,0.978825,0.0285648486876,0.97795,-17.6154967268,-0.951905,-23.7635406702,-0.025534134901,0.0554073913511,-32.4274700462,2.85406494158,1.0,0.0420067164744,-24.3382833184,0.983100026078,-14.6605073187,0.122754324544,21.0181,-30.120471519
