MinForwardProgress,AverageDiscountedReturn,MaxForwardProgress,AveragePolicySurr,AverageY,QFunRegParamNorm,MinEsReturn,AverageAction,AverageAbsY,MinReturn,Epoch,AverageEsReturn,AverageReturn,AverageAbsQYDiff,MaxReturn,AverageQLoss,PolicyRegParamNorm,AverageForwardProgress,AverageAbsQ,StdReturn,StdEsReturn,AverageQ,MaxEsReturn,StdForwardProgress
0.0707758335004,-14.6268667373,0.335645229873,-0.19241,0.0223150171645,18.4895,-95.7261239975,0.981592,0.0302468815978,-139.565929924,10,-4.98985490669,-127.261005797,0.0122980300673,-113.955369176,0.00220879,18.4511,0.19740302964,0.0387754,5.82212143638,20.3689329878,0.02634,3.33623343433,0.0601145420417
0.148305777015,-12.7586781741,0.314487786947,-0.0830763,0.0615780296257,18.7861,-134.16076082,0.996563,0.0790475267797,-134.465647731,11,-131.956690143,-125.241953832,0.00297325016629,-117.845337062,5.45522e-05,18.6642,0.240468626953,0.0789937,4.75678298312,2.20407067685,0.061638,-129.752619466,0.0476615232881
0.107234784875,-12.5689572797,0.385797493421,-0.0432634,0.0537436612405,19.08,-125.582760385,0.998436,0.0865904014136,-138.743895834,12,-123.966386164,-125.84002728,0.00252524922145,-110.893504592,5.27294e-05,18.853,0.236844279824,0.0863866,5.53197103084,1.61637422071,0.0537867,-122.350011943,0.0553815434705
0.116527038067,-12.513590323,0.323784149788,0.00261562,0.0181975820762,19.4685,-132.972064842,0.999363,0.0739210194363,-138.029350622,13,-128.239120961,-125.253433706,0.00251725633093,-117.278846206,5.53346e-05,19.3653,0.244203868728,0.0736435,5.03991376745,4.73294388068,0.0182228,-123.506177081,0.0504107032258
0.177802044138,-13.5093151561,0.289377266742,0.0358861,-0.0149872950907,19.8681,-126.190589377,0.99996,0.0660227235437,-131.945490019,14,-121.749335853,-126.871160053,0.00272629589574,-120.812585167,5.95425e-05,19.4056,0.228815419272,0.0657341,3.11391232424,4.44125352444,-0.0149652,-117.308082328,0.0311303508549
-0.311267559068,-19.133195166,0.234684788922,0.0418243,-0.0443691966909,20.2875,-145.615148625,0.993291,0.0639912407573,-179.151966353,15,-131.592175013,-139.752338013,0.00309606205409,-125.241965946,7.36507e-05,19.5165,0.0888672171914,0.06365,17.0006167018,14.0229736115,-0.0443636,-117.569201402,0.171614634138
0.0180817422916,-22.2544813839,0.136700799704,0.0232919,-0.0510096771657,20.7285,-150.065022995,0.999775,0.0702979658953,-148.012485694,16,-140.88458875,-141.628727956,0.00319304266369,-136.102419144,7.59131e-05,19.7089,0.081583830828,0.070078,2.82383931222,9.18043424564,-0.0510224,-131.704154504,0.028143137855
-0.0414483905829,-27.7731857403,0.121384901328,0.068603,-0.0603843532329,21.1535,-145.263637084,1.0,0.0834713531692,-153.962505505,17,-144.734426833,-148.062214265,0.00362318950889,-137.670834374,0.000103731,19.7663,0.0174823776253,0.0832162,3.89318137374,0.52921025099,-0.0603961,-144.205216582,0.0389359752896
-0.000860445361288,-19.9205671479,0.194949191993,0.058049,-0.0726720337702,21.5672,-150.025449392,0.980003,0.0900359265628,-147.297940475,18,-143.878869465,-137.266213616,0.00402152892174,-125.644803935,0.000105424,19.9758,0.0923844729181,0.0898587,5.45063081174,6.14657992694,-0.072691,-137.732289538,0.048654503665
0.0310404200536,-23.9246993979,0.115364374822,0.0621641,-0.0597481862705,21.9656,-127.265581073,0.984958,0.107910458537,-144.431187334,19,-126.804565061,-140.913350489,0.0045555141295,-135.943468996,0.000129879,20.1161,0.0667673118416,0.107706,2.37159840701,0.461016012413,-0.0597384,-126.343549048,0.0233184298613
0.0725025995538,-17.0903622422,0.219855881945,0.0920048,-0.0895524122275,22.3732,-212.666990712,0.84756,0.111578508578,-119.371053,20,-141.104720464,-111.801552458,0.00540299050481,-105.511235979,0.00016679,20.2264,0.149770040672,0.111282,3.40133300142,71.5622702479,-0.0895559,-69.5424502164,0.035624502427
-0.0123902984265,-20.4415323229,0.192600184778,0.106248,-0.109987757219,22.8025,-145.497686942,0.940499,0.129400868109,-143.303797063,21,-142.724989341,-130.980521005,0.00587439893517,-120.420966296,0.000195942,20.3836,0.0975356849978,0.129006,6.75223339056,2.77269760151,-0.109965,-139.952291739,0.0603763988265
0.0279253377169,-19.4952983948,0.256095390879,0.126707,-0.126008101235,23.2207,-128.411986445,0.968458,0.1460275302,-142.028457568,22,-126.393796982,-132.920661113,0.00618111339256,-118.654327318,0.00020681,20.5575,0.119945999434,0.14574,5.41544368684,2.01818946367,-0.12602,-124.375607518,0.0536199476322
0.00685426860512,-20.7165535426,0.213398093319,0.138894,-0.14655364979,23.6417,-202.876396088,0.999519,0.168870362207,-148.957198457,23,-165.280826817,-137.983627587,0.00776090856225,-128.287502595,0.000332498,21.0159,0.116427927012,0.168409,5.26753320382,37.5955692707,-0.146562,-127.685257547,0.0526594149892
-0.0298694015222,-22.6155043462,0.186614546685,0.147186,-0.156237481821,24.0606,-136.773956135,0.995943,0.180651792645,-151.871939203,24,-135.989330495,-140.604685247,0.00790539004037,-130.414676989,0.00035198,21.2998,0.0834184582406,0.180213,6.19201176498,0.784625640214,-0.156213,-135.204704855,0.0623709434528
0.0129677485586,-21.9630462187,0.193284355384,0.147879,-0.160947011258,24.4893,-143.875792427,0.996571,0.185339283698,-147.770244009,25,-141.034646706,-139.906729768,0.00825524808535,-129.705980453,0.00038581,21.4194,0.0905980285312,0.184833,4.85762643248,2.84114572075,-0.160928,-138.193500986,0.0490469751816
