StdEsReturn,AverageReturn,QFunRegParamNorm,MinEsReturn,AverageQ,AverageY,AveragePolicySurr,AverageQLoss,MinReturn,PolicyRegParamNorm,MaxEsReturn,MaxReturn,Epoch,AverageEsReturn,AverageAbsY,AverageAction,AverageAbsQYDiff,StdReturn,Iteration,AverageAbsQ,AverageDiscountedReturn
0.0,1094.90147452,27.5764,513.408958781,11.76,11.7677844802,-12.6253,1.0981,663.333593366,25.4468,513.408958781,1657.97409728,36,513.408958781,11.7988419316,0.870777,0.693842572368,361.722731479,36,11.7882,125.277305774
0.0,1302.13500534,27.9831,392.15650056,12.7003,12.7075204699,-13.5591,1.14378,1193.51343049,25.8035,392.15650056,1378.58068748,37,392.15650056,12.735478232,0.835091,0.716135526073,53.888816116,37,12.7253,110.104029625
0.0,687.276538575,28.3325,635.181851018,13.6465,13.6524470674,-14.5207,1.17834,558.629266745,26.203,635.181851018,974.300090332,38,635.181851018,13.6778910414,0.885455,0.72451840463,123.031944277,38,13.6698,100.964924756
0.0,786.804873107,28.6689,1115.43012419,14.4913,14.4974597229,-15.3902,1.13997,566.094697882,26.5285,1115.43012419,1361.14419417,39,1115.43012419,14.5182200464,0.889455,0.733844028656,249.551574181,39,14.5082,128.522776016
0.0,730.246766295,29.0632,544.780048639,15.3589,15.3674022466,-16.2506,1.28463,555.667418138,26.9031,544.780048639,1019.78807008,40,544.780048639,15.3924422682,0.857494,0.761398122043,129.561020568,40,15.3824,129.663466557
0.0,705.066263264,29.391,423.307586313,16.0508,16.0577640035,-16.9255,1.24821,527.252243784,27.1674,423.307586313,1053.45579092,41,423.307586313,16.076430979,0.871586,0.748777647446,162.934348828,41,16.0667,122.514904538
0.0,1408.54396975,29.782,321.738395526,16.6564,16.6636305826,-17.5503,1.26841,604.575024103,27.4079,321.738395526,2563.25299933,42,321.738395526,16.6834427252,0.879232,0.763009370888,703.581677648,42,16.673,181.553294401
0.0,2018.20843592,30.1641,363.973346584,17.5157,17.5217930032,-18.4569,1.48644,1245.50265746,27.7958,363.973346584,2285.69253751,43,363.973346584,17.5354344538,0.845919,0.800706984949,333.19871707,43,17.5272,191.481033513
0.0,1080.32256715,30.5426,463.298456419,18.4351,18.4418965178,-19.3643,1.45358,720.113410136,28.0529,463.298456419,1980.33440737,44,463.298456419,18.4545536229,0.875245,0.809976147774,366.947484869,44,18.4446,172.330400237
0.0,853.981656424,30.9629,776.94388084,19.4448,19.4525508497,-20.4189,1.8232,654.13666973,28.2798,776.94388084,1133.87443015,45,776.94388084,19.4641751674,0.899491,0.849921024676,154.605157333,45,19.4543,131.648526266
0.0,874.759786995,31.3626,1061.69615232,20.3461,20.3541113496,-21.2942,1.80815,645.499370609,28.5286,1061.69615232,1294.35495255,46,1061.69615232,20.3627570488,0.907604,0.857948783791,211.405409845,46,20.3525,134.509876036
0.0,921.080117838,31.8345,439.852442349,21.1715,21.1793921086,-22.1773,2.00237,112.340993542,28.7948,439.852442349,1499.01869461,47,439.852442349,21.1844591541,0.874951,0.887527401361,402.788316385,47,21.1751,171.950490679
0.0,1892.70513657,32.2421,622.287865861,22.1968,22.2042624137,-23.2588,1.90717,926.280942857,29.1078,622.287865861,2808.20373268,48,622.287865861,22.2112963166,0.865881,0.897578956812,788.945442732,48,22.2021,208.932400549
