AverageReturn,QFunRegParamNorm,MaxEsReturn,AverageQLoss,MaxReturn,AverageAbsQ,StdReturn,AverageAbsQYDiff,PolicyRegParamNorm,AverageAction,Iteration,MinReturn,AverageEsReturn,AverageAbsY,AveragePolicySurr,Epoch,AverageDiscountedReturn,StdEsReturn,MinEsReturn,AverageY,AverageQ
11.7029334251,19.1808,85.5749425452,0.0917524,12.7737978434,0.228637,0.368538163465,0.244646187339,19.2313,0.086523,9,10.860784925,11.6802208719,0.115478214566,-0.396686,9,11.157120969,14.9328375995,-1.31157006004,-0.0319004517107,-0.20229
10.5639061644,19.3082,46.9205277141,0.003151,11.2925205661,0.128346,0.394311853392,0.0316500526251,21.4101,0.984743,10,9.2353850179,31.5345512613,0.125984039468,-0.128878,10,10.0431248138,13.770311312,-1.04056609376,0.102183624772,0.101891
5.2986630484,19.4703,26.437125173,0.00140095,5.41125324113,0.217898,0.0428975057382,0.0226992941762,21.9363,1.0,11,5.09071500466,7.93115162061,0.218668475497,-0.22833,11,5.1374267287,4.40626011393,4.27130291434,0.202246134421,0.201842
5.29447915327,19.7654,41.3299529094,0.00137835,5.40637690915,0.302433,0.0440272419035,0.0215256809093,22.1525,1.0,12,5.08537323105,7.19859288634,0.302733200978,-0.308859,12,5.13346237708,4.76188714337,3.91701840022,0.2832198055,0.282954
38.7474255849,20.2767,91.7944509595,0.00207842,41.8523258675,0.388526,0.968267296233,0.0253078902009,23.8051,1.0,13,36.5208550588,38.4836931868,0.388904308955,-0.40886,13,34.4376098085,15.2622948929,5.10568917622,0.365252597841,0.365015
38.7617926153,20.9608,52.5021724218,0.00289999,40.8421954526,0.493449,0.933941210061,0.0289427607244,23.8088,1.0,14,36.6204638632,39.7416942955,0.493924303788,-0.524832,14,34.4508507597,5.76822538747,6.36856333552,0.470563187102,0.470339
38.7407491032,21.8224,60.288493364,0.00378473,40.8458493925,0.609877,0.943735036998,0.0331333970149,23.8121,1.0,15,36.6459316655,42.0843817929,0.610563460992,-0.654407,15,34.4347090842,4.97694327023,26.553331107,0.588713774272,0.588331
174.765621255,22.6057,53.0512492966,0.00365771,179.955364025,0.727872,1.94832170984,0.0336033680569,25.1046,0.983982,16,170.675999164,41.2048628222,0.728373524405,-0.784739,16,112.094730017,5.2406063332,16.7454205293,0.709203986184,0.708975
174.208065286,23.4007,172.820359374,0.00419237,178.159238693,0.855576,1.59046916053,0.035555533729,27.0138,0.718839,17,170.093400465,130.928576426,0.85628328461,-0.929016,17,112.262073758,38.5133166683,56.2371711875,0.8405976537,0.840156
138.543558776,24.2849,204.602749862,0.00573911,149.662250066,0.999144,5.3281136894,0.0398172394164,30.2494,0.78983,18,126.156083269,128.933368893,0.999629988527,-1.08184,18,96.6003159568,63.300919802,30.4260755,0.985757440997,0.985365
173.547514328,25.3032,180.528761221,0.00769629,177.030375732,1.14909,1.45169200313,0.0461274954664,32.0479,0.756352,19,169.982071794,160.351272931,1.14964228531,-1.24678,19,111.92500532,46.0828445511,8.21507865953,1.13809443111,1.13763
94.9682759126,26.2746,177.831418924,0.0101729,100.129929834,1.32109,1.32587413495,0.0511466516446,34.8492,0.591281,20,92.3526187843,149.119018165,1.32172937846,-1.43295,20,73.1290403065,41.3531629153,34.9767360696,1.31174913455,1.31115
193.201912669,27.2846,209.002434965,0.0123047,195.940253087,1.49121,1.1543879673,0.0580735652256,37.429,0.653887,21,190.423294165,155.796429493,1.49184257637,-1.63234,21,119.392778951,60.2116817439,4.73752421457,1.4832563201,1.48258
184.632953796,28.2903,201.473786349,0.0164747,193.005932855,1.68821,5.22081877739,0.0647365585937,39.4831,0.600407,22,171.880149606,169.696965257,1.68881253941,-1.83794,22,113.56989667,37.6177432571,93.0154253676,1.681503532,1.6808
181.224975137,29.3524,197.398983419,0.0209941,189.948961749,1.89764,4.32865163004,0.0724127654719,41.1028,0.584882,23,171.259507529,147.599377329,1.89828219671,-2.05082,23,113.800393076,47.397737851,53.6775681003,1.89176266071,1.89096
193.583213236,30.3483,201.059004629,0.026276,199.142533768,2.09631,2.13679935888,0.0789860598804,42.893,0.737421,24,189.35405873,163.538377203,2.09711769395,-2.25457,24,118.137420316,33.8041040214,100.564091188,2.09117885972,2.0902
185.121088298,31.1879,214.26654257,0.0259409,192.518003965,2.29206,3.76957177034,0.0783496565811,44.0386,0.854911,25,174.92359744,182.607588809,2.29258328417,-2.44865,25,115.950236145,41.7537409059,48.0013986208,2.28728136429,2.2864
188.364404556,32.2077,192.700165334,0.0344413,195.255828139,2.46685,2.63330445729,0.0904451520085,45.5901,0.755134,26,182.647463056,155.392644759,2.46716447361,-2.63729,26,118.650250004,53.6473919145,51.6869922948,2.46278494565,2.46179
194.054938922,33.0346,211.197115441,0.0315079,198.00093559,2.66972,2.36062904175,0.0875165274915,46.5182,0.85283,27,188.12347706,148.93056506,2.66984866426,-2.84046,27,120.445175146,65.9497006656,19.8767870299,2.66614572419,2.66545
187.508884463,33.8341,208.06845088,0.0330113,190.892418962,2.85684,1.14026917608,0.0918069811426,47.5093,0.800281,28,184.367151461,168.647002468,2.85704564036,-3.02064,28,117.49512484,47.7008513842,58.4949487046,2.85379765165,2.85287
190.439503137,34.745,207.646258291,0.0391088,198.693722931,3.05023,3.44273617587,0.0981182795879,48.4772,0.879615,29,184.784418645,165.888412296,3.05062763063,-3.22634,29,119.650516443,46.8324169043,41.9881578506,3.04763381104,3.04667
192.896016367,35.5345,221.07357769,0.0352561,197.052708531,3.24163,1.91300810485,0.0974846585446,49.4812,0.876402,30,189.181174989,156.562776967,3.24157400106,-3.42541,30,119.986083068,68.3748314479,12.3753264605,3.23885089665,3.23807
199.217398682,36.259,203.050159672,0.0414541,207.529668538,3.42206,2.46339804709,0.101601531855,50.2161,0.864493,31,193.948124715,163.459760062,3.4222057896,-3.60207,31,122.817698057,53.7339355342,18.8112323962,3.41922795684,3.41827
207.995734903,37.0819,217.732095822,0.0490281,214.000738334,3.62463,2.43334973599,0.108922851593,50.9424,0.875057,32,201.435410377,180.977453328,3.62439367106,-3.80906,32,126.579641122,52.6672080093,22.7883195068,3.6215481242,3.62057
204.199880365,37.9266,208.294104533,0.0630205,216.499578626,3.81038,4.54102022641,0.119771543027,51.6636,0.890466,33,195.13156629,151.326459541,3.80961436829,-3.98744,33,124.140574617,53.1374218024,57.4458998011,3.80680889437,3.80599
203.443263597,38.618,221.899199715,0.0558976,211.153787747,4.00175,2.25399400817,0.1157540474,52.3962,0.849041,34,198.998436171,168.768319649,4.0012605593,-4.1832,34,124.627645932,66.9929312651,21.9527007825,3.99860138818,3.99781
211.010647815,39.322,227.053590241,0.0686991,222.883034892,4.15523,7.68952873936,0.127096235253,53.2216,0.89031,35,197.350624907,150.329440757,4.15507276269,-4.34826,35,127.095128927,60.3950406212,30.2000272305,4.15234298897,4.15134
206.662105112,40.0664,221.14798946,0.0748137,219.466008235,4.34133,3.50142299749,0.130729927149,54.1131,0.862254,36,200.337723081,133.789013816,4.34075922523,-4.54317,36,125.30264487,76.605245277,27.0263623452,4.33823851879,4.33746
223.594192656,40.8744,332.560611452,0.080525,389.146402858,4.55246,69.9825417709,0.138766943831,54.9588,0.843065,37,137.370601459,131.559927018,4.5522026819,-4.80169,37,123.854931221,95.8522330822,13.1368673825,4.54989314022,4.54882
188.110802171,41.6051,341.470086333,0.103919,231.933140866,4.79429,21.6728386284,0.157247350926,55.6693,0.824111,38,143.080661551,93.6112581155,4.79364505834,-5.08101,38,113.273712306,93.280104558,7.57145241047,4.79083515892,4.78939
242.36288945,42.4678,318.792610149,0.128674,272.866396664,5.05844,10.2820761363,0.171374351527,56.4233,0.81964,39,218.287261905,131.720671386,5.05738913977,-5.33947,39,136.345286151,93.1285296577,12.3258447529,5.05504881529,5.05371
