AverageQ,QFunRegParamNorm,AverageAbsQYDiff,StdEsReturn,StdForwardProgress,AverageForwardProgress,MaxForwardProgress,AverageAbsQ,AveragePolicySurr,AverageDiscountedReturn,MinReturn,MinForwardProgress,AverageY,AverageReturn,AverageQLoss,PolicyRegParamNorm,AverageAbsY,AverageAction,Epoch,MinEsReturn,AverageEsReturn,MaxReturn,StdReturn,MaxEsReturn
0.113845,15.0646,0.155044739668,12.6047255596,0.00699362061103,0.00242217142387,0.0263963948268,0.113845,-0.125963,4.3357810307,2.99520675334,-0.0237863257062,0.221067226439,4.40582363,0.0256304,15.4184,0.221067226439,0.999827,9,0.993024309992,34.5377148264,6.3936235743,0.40312467705,72.6153625706
0.20546,15.6191,0.0162138949039,0.852250334203,0.00709497422768,0.00219735734633,0.0255454179428,0.20546,-0.216636,4.32260627444,2.85395582037,-0.0241658097044,0.205341692468,4.39288066338,0.000792584,15.4807,0.205341692468,0.961836,10,2.58132051906,4.23880041738,6.55342720384,0.45546680899,13.9135745197
0.269613,16.2403,0.0164031908186,0.859963014874,0.00992598199646,0.00283007623064,0.0422883937141,0.269613,-0.278098,5.16447839643,2.53294964818,-0.0295991421245,0.269746019144,5.27813107204,0.000799753,15.7872,0.269746019144,0.980628,11,3.34712028535,5.10716510089,8.79839532953,1.31809855623,7.76841614693
0.355541,17.177,0.0207612565898,0.567777397789,0.0122864558565,-0.00488635585821,0.0361071727318,0.355541,-0.360834,6.19072308373,3.51700790406,-0.0522789419613,0.355954397883,6.37004701862,0.00150742,16.0169,0.355954397883,0.954478,12,3.1172687394,4.42331129941,9.9216268783,1.08306138247,7.37667653485
0.42467,17.8446,0.0227921362667,8.59129695052,0.0247790493179,-0.00202786741446,0.102556747312,0.424672,-0.434993,14.8121513662,5.7444657691,-0.0839282180182,0.424899379945,15.9913918867,0.00186757,16.1664,0.424899379945,0.98573,13,3.35149250862,14.2562875556,34.4989580601,4.18817002718,68.773861477
0.477786,18.5441,0.0263030255969,2.49784661632,0.00522157238291,3.88838685255e-05,0.0202703522962,0.477787,-0.484799,2.92336084303,1.73800287404,-0.0165719603937,0.478123353395,2.9527385724,0.00230289,16.2245,0.478123353395,0.999483,14,1.86910414059,3.27175571077,4.4235614039,0.365985323663,27.684767181
0.527426,19.1918,0.02783873791,0.373460224006,0.00526071213048,5.67444768479e-05,0.0178807207805,0.527428,-0.526073,2.92617976858,1.72729149859,-0.0178253579706,0.527820219593,2.95559285196,0.00242184,16.132,0.527820219593,0.99162,15,1.56159852497,2.9665522321,4.22523850713,0.369543657102,4.07726201889
0.595335,20.0237,0.0401002527184,2.38106750684,0.0293626990763,-0.000142928446832,0.357936125841,0.595368,-0.642032,7.28993034364,3.27741447144,-0.0444925820415,0.595773617396,7.60993244749,0.00515636,16.1221,0.595773649681,0.941974,16,2.25526567433,5.74258618119,52.2458970572,4.43910477228,22.9015769065
0.666871,20.6787,0.0469615335007,4.92896289394,0.0220373550713,0.0227673373243,0.0978373685365,0.666917,-0.705395,13.9110214677,5.63494908679,-0.0317546073321,0.667561733638,14.9649808349,0.00792229,16.2255,0.667563080532,0.99965,17,5.04932415942,13.9941002671,27.2313625236,4.13427236778,24.166310322
0.730052,21.4515,0.0509794772198,3.74034278945,0.0230419934674,0.0214843556893,0.093370801869,0.730102,-0.783847,13.631422597,5.97345307432,-0.0444323332332,0.730763575395,14.6482405949,0.00966809,16.2862,0.730763575395,0.999851,18,7.77610963208,15.3743830133,29.1087072225,4.25616120936,23.7289939501
0.780508,22.0422,0.0513800397886,4.3205565662,0.0233318760669,0.0208779984025,0.0981505883554,0.780616,-0.822378,13.7453203513,6.1320535289,-0.0318775646481,0.781192876463,14.7848953494,0.00933137,16.2942,0.781192876463,0.999739,19,6.72878445084,14.476033302,26.4317741834,4.24645578699,24.397760466
0.82269,22.6296,0.0540185098597,4.52176016102,0.022175315533,0.0226937165438,0.101077184037,0.822825,-0.872424,13.9962141832,7.16239258611,-0.0406601174335,0.823074813028,15.0674632519,0.00952381,16.2765,0.823076003576,0.990868,20,2.71032446951,15.4102376504,26.4979709898,4.19100210779,25.0719729233
0.854254,23.1657,0.0538805995468,4.53906230062,0.0382811730512,0.0607322094188,0.172210428624,0.85436,-0.944443,17.0648995003,5.20078740054,-0.0415751220247,0.854762683915,18.5296547066,0.00904888,16.4237,0.854766658765,0.950712,21,6.75969548805,14.8951736563,33.8637974664,4.97331421285,24.8103993713
0.879652,23.6116,0.0554325161335,5.6528677907,0.0385556748069,0.0617569786341,0.178620429613,0.879871,-1.03588,17.1464669998,5.82121758971,-0.0304257519971,0.880083486078,18.6404789324,0.00903165,16.5478,0.88010013448,0.963714,22,7.29191746344,18.3890675687,36.8639311479,5.37975795095,34.2109718522
0.936549,24.0759,0.0623163507349,5.19003560443,0.0335540261378,0.0264552193144,0.181325587731,0.936703,-1.07964,13.988067665,6.63699256404,-0.035796192371,0.937172515285,15.0458595559,0.0102667,16.6244,0.937185291451,0.952556,23,1.93951062516,14.6560825083,28.3939214753,4.59612824734,31.587508979
1.05304,24.7239,0.0766092902021,7.12581434703,0.0255573532026,0.0266717155713,0.104914102657,1.05318,-1.21562,12.3008785171,3.17959331373,-0.0339162302675,1.05361615898,13.0451844488,0.0160389,16.8005,1.05363545535,0.787192,24,4.78529965464,15.6324459255,20.2150053774,3.42225114079,38.2935889289
