AverageDiscountedReturn,AverageQLoss,MaxReturn,AverageY,StdReturn,MinReturn,PolicyRegParamNorm,MinEsReturn,AverageEsReturn,AverageAction,AveragePolicySurr,AverageAbsY,Epoch,AverageReturn,MaxEsReturn,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,Iteration,StdEsReturn,AverageAbsQ
-7.621878168,8.32331,-8.12003086644,2.97749530743,0.0355198204515,-8.32950879787,11.7811,-17.5857543803,-9.73768658947,0.564268,-1.08942,2.98923215441,9,-8.22229615003,0.193853419661,0.471328,11.5828,2.72472387177,9,3.30294445555,0.793562
-8.04392365062,0.367933,-8.10129008142,1.62077440397,0.0821594892718,-8.52238187106,12.5613,-18.2668263518,-7.7179778465,0.999858,-2.42189,1.64986105473,10,-8.33296985843,-2.33968500156,1.60805,11.8814,0.392375200144,10,1.72374356326,1.61769
-7.81513460721,0.0507499,-7.93133256686,1.09358355102,0.0652335810523,-8.25063644898,12.8959,-12.7208083914,-7.37050235438,1.0,-1.4156,1.12446064753,11,-8.09240745154,0.353138837941,1.08929,11.9807,0.163997633839,11,1.73020443226,1.11658
-7.81372558291,0.0290866,-7.93517074108,0.985461643056,0.0640733337315,-8.24958001022,12.9051,-15.1547136394,-7.38301965047,1.0,-1.18653,1.03954609415,12,-8.09093673182,-3.93752444721,0.983781,12.1529,0.130087413707,12,1.82864648499,1.03484
-7.81535156295,0.0212072,-7.93047641388,0.716179819309,0.062400872551,-8.25660435315,12.9317,-13.0003015371,-7.37130451075,0.999989,-0.726013,0.869559809662,13,-8.09262535073,-3.59877143046,0.715548,12.3388,0.112915645467,13,1.6524340121,0.864758
-13.1634162318,0.017424,-13.6632097699,0.430828132032,0.143391817141,-14.3396981703,13.2152,-14.7850609844,-12.0219416475,1.0,-0.603325,0.729166825887,14,-13.976487732,-4.97239049319,0.430309,12.5106,0.101144286178,14,2.25520155763,0.725152
-13.1685750154,0.0135447,-13.6619395108,0.248757693299,0.140696815451,-14.3758718432,13.2147,-15.0933587171,-12.1278009637,1.0,-0.178545,0.681757604995,15,-13.9820397005,-1.01505400341,0.24876,12.6862,0.0883080100838,15,2.13152945869,0.678472
-5.38170697467,0.0113667,-5.73237441422,-0.0806239948649,1.30147810536,-11.370670217,13.8072,-14.8880321764,-12.0842822461,1.0,0.121711,0.59128474397,16,-8.76138550983,-4.02539580799,-0.0800429,12.8668,0.0787968148951,16,2.16451585661,0.588448
-5.38495575672,0.0126565,-6.06620527504,-0.107275101114,1.37006765971,-11.2038002659,13.8082,-26.6926096642,-11.0394829403,1.0,-0.306282,0.605212920749,17,-8.75861706411,-5.12574147579,-0.108078,13.1248,0.0822071768156,17,5.57269795458,0.601096
-5.47293461799,0.01033,-6.09590816132,0.247056055544,1.32148501283,-11.7027218729,13.809,-36.7467705742,-16.9093301678,1.0,-0.716628,0.694608612551,18,-8.87660384388,-6.59638459937,0.246394,13.3342,0.07480113719,18,11.8941274076,0.69233
-5.17493501321,0.00960204,-5.96435116272,0.416112428278,1.40188069479,-11.6933085925,13.8092,-30.5669893948,-9.9291937585,1.0,-0.831962,0.763852283431,19,-8.47039321425,3.84456213386,0.415575,13.6335,0.0714236392086,19,6.80386263532,0.761527
-5.28924460968,0.00953072,-5.78997990717,0.542574532184,1.33053963404,-11.4850078124,13.8095,-35.399796506,-14.2522212171,1.0,-0.936135,0.814183696705,20,-8.63675384647,-6.79121566275,0.542336,14.0097,0.0709998803213,20,8.12890093732,0.81128
