PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageAction,AverageQLoss,Epoch,AverageReturn,AverageY,AverageAbsY,AverageAbsQYDiff,Iteration,MinEsReturn,MinReturn,AverageAbsQ,StdEsReturn,AverageEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn
47.3771,-1.98884,36.0,0.184312,0.019557,32,35.1263157895,1.7512869117,1.75178573684,0.0579070298213,32,3.0,35.0,1.75324,15.0818980514,18.4074074074,0.332204922907,1.75086,29.744087051,41.4652,62.0
47.9984,-2.05832,35.0,0.333869,0.0221372,33,34.3711340206,1.81694130114,1.81816216014,0.0626474863827,33,3.0,34.0,1.81979,17.0089855249,17.0689655172,0.483108227376,1.81686,29.2083877489,42.0773,79.0
48.4737,-2.13106,41.0,0.380429,0.0217381,34,39.8525896414,1.88363418667,1.88563484341,0.0600549876275,34,3.0,39.0,1.88656,16.2256070647,17.186440678,0.470423293039,1.88348,33.0028916239,42.7914,84.0
49.0296,-2.20332,37.0,0.477634,0.0236274,35,35.5978647687,1.95322071895,1.9554910259,0.0626413642363,35,3.0,34.0,1.95618,12.8592736268,13.7361111111,0.753541387239,1.95297,30.0746412434,43.4368,61.0
49.3141,-2.27007,42.0,0.364609,0.0305251,36,40.4556451613,2.01076104945,2.01306266016,0.0717287008678,36,3.0,38.0,2.01478,13.7115248018,16.1639344262,0.811987050921,2.01075,33.4062493571,44.1144,64.0
49.9592,-2.3465,44.0,0.496214,0.0302531,37,39.7738095238,2.08607699858,2.08864776339,0.0725151894294,37,3.0,36.0,2.09032,14.7423131031,17.4561403509,1.38028514258,2.08563,32.9441444986,44.6054,62.0
50.158,-2.41499,1000.0,0.245226,0.02943,38,153.969230769,2.13896893616,2.14055987024,0.0703089211343,38,3.0,46.0,2.1429,24.6729936622,22.0652173913,293.941593844,2.13889,46.9682465884,45.2526,103.0
50.358,-2.48109,1000.0,0.266532,0.0320593,39,914.636363636,2.2098596962,2.21189150669,0.0735330519498,39,3.0,61.0,2.21371,19.522919826,15.2878787879,269.943520263,2.20954,95.0716655596,45.6604,142.0
50.7418,-2.55865,1000.0,0.0106826,0.032451,40,1000.0,2.2756372657,2.27817905804,0.0706913478364,40,3.0,1000.0,2.28012,17.8589293639,18.6111111111,0.0,2.27534,99.9956828753,46.1314,103.0
51.0416,-2.62092,1000.0,0.305778,0.0372158,41,1000.0,2.33487429456,2.33778921763,0.0804418561957,41,3.0,1000.0,2.34017,15.0397305951,16.262295082,0.0,2.33469,99.9956828753,46.7402,74.0
51.4832,-2.69367,54.0,0.325896,0.0418746,42,42.2447257384,2.40009962123,2.40425913775,0.082022069133,42,3.0,40.0,2.40639,9.52095550615,12.5375,1.64561289568,2.39997,34.5863077787,47.2448,47.0
51.8368,-2.77543,1000.0,0.120373,0.0385499,43,1000.0,2.47948817416,2.48351958441,0.0803017231945,43,4.0,1000.0,2.48548,8.25490641886,11.6206896552,0.0,2.47928,99.9956828753,47.8747,41.0
52.2395,-2.84927,475.0,0.0854477,0.0435917,44,165.606557377,2.54248578943,2.54705889848,0.0843729495742,44,2.0,73.0,2.54909,8.21256123122,11.0459770115,90.5379693357,2.54239,74.7063130154,48.2751,40.0
52.7856,-2.92746,1000.0,0.111779,0.0493937,45,1000.0,2.61029654055,2.61421355809,0.0880885633948,45,3.0,1000.0,2.61604,10.6866812227,13.8533333333,0.0,2.60989,99.9956828753,48.7923,48.0
53.2223,-3.01355,45.0,0.0657583,0.0532469,46,43.1034482759,2.68260994878,2.68512797163,0.0943962656438,46,2.0,42.0,2.68834,10.0535797874,11.7590361446,0.356692428717,2.6822,35.1567729488,49.4547,49.0
53.6993,-3.13324,38.0,0.0721911,0.0500988,47,36.9594095941,2.77634309719,2.77750351286,0.0892154683622,47,3.0,36.0,2.78118,9.50303830214,12.1325301205,0.21522755087,2.77613,31.02679802,49.9135,44.0
53.9589,-3.24085,35.0,0.070227,0.0622758,48,34.8954703833,2.86202374361,2.86304481545,0.0979705611928,48,2.0,34.0,2.86741,12.1275425764,17.5172413793,0.305946361234,2.86193,29.5809566435,50.5002,41.0
54.1595,-3.34318,34.0,0.0652604,0.0661704,49,33.0462046205,2.9633981796,2.96486171522,0.104756367025,49,3.0,33.0,2.96869,11.8082509614,13.6438356164,0.209927972195,2.96304,28.260109207,50.8209,42.0
54.3362,-3.45055,35.0,0.0811717,0.0696163,50,34.0646258503,3.05618373433,3.05740107295,0.10775348282,50,3.0,34.0,3.06155,12.1653384037,14.7205882353,0.24586449481,3.05583,28.9905973793,51.4929,45.0
54.4735,-3.55944,35.0,0.162555,0.0719995,51,34.2081911263,3.1520036388,3.1536077466,0.106482548505,51,3.0,33.0,3.15781,11.2404804014,14.2794117647,0.453655389715,3.15132,29.0924611739,51.956,50.0
54.7274,-3.6405,34.0,0.0855329,0.07846,52,33.7070707071,3.22663165521,3.22847369157,0.114704162397,52,3.0,33.0,3.23367,8.24257589543,10.5257731959,0.455106275801,3.2263,28.7344329753,52.544,38.0
54.9008,-3.73161,34.0,0.087282,0.0725575,53,33.119205298,3.32900510349,3.33094786836,0.107205813449,53,3.0,33.0,3.33708,11.2247865904,12.5316455696,0.324029929079,3.32892,28.3125040222,53.0752,49.0
55.1987,-3.81626,35.0,0.131868,0.0831169,54,34.0476190476,3.414038078,3.41543064242,0.115567448624,54,3.0,33.0,3.4209,12.4013595213,15.2388059701,0.293543523951,3.41367,28.9783666651,53.6751,62.0
55.3527,-3.86718,34.0,0.116424,0.0851012,55,33.0858085809,3.44922386307,3.45070208782,0.114337307597,55,3.0,33.0,3.4573,11.2179825349,15.7903225806,0.280081181641,3.4492,28.2885341786,54.1562,46.0
55.4901,-3.95772,34.0,0.0479427,0.0995414,56,33.1821192053,3.54201969914,3.54342535237,0.122535653231,56,3.0,33.0,3.54988,11.4920975239,13.9863013699,0.385942742333,3.54154,28.3576592544,54.5307,46.0
55.6714,-4.04224,33.0,0.0708194,0.0806753,57,32.3451612903,3.60680954571,3.60804660273,0.112225143842,57,3.0,32.0,3.61416,10.0111255779,12.1829268293,0.475420838821,3.60682,27.7522015524,54.8473,40.0
55.7379,-4.1179,33.0,0.0650457,0.096726,58,32.0319488818,3.68934806585,3.69054100721,0.123807456441,58,3.0,32.0,3.69871,10.1573356627,12.3703703704,0.175864012071,3.68879,27.5251287153,55.3257,40.0
55.8422,-4.19768,33.0,0.0408039,0.0979589,59,32.5993485342,3.75467926939,3.75581209788,0.123423097918,59,2.0,32.0,3.76461,11.7880858558,12.9605263158,0.49003047737,3.75484,27.9364823059,55.7346,52.0
56.0501,-4.28534,34.0,0.0715511,0.115875,60,33.6577181208,3.83975852309,3.84091946695,0.135009992637,60,3.0,33.0,3.84999,11.9515661085,13.8082191781,0.474473386366,3.83918,28.6990111173,56.3726,49.0
56.1882,-4.34034,34.0,0.049351,0.106467,61,33.0693069307,3.89403814544,3.89608343705,0.129253817518,61,3.0,33.0,3.90525,11.5057469681,13.4459459459,0.253975353235,3.89404,28.2766904405,56.755,51.0
56.3758,-4.41746,46.0,0.275064,0.118837,62,37.6240601504,3.96061799934,3.9623287955,0.135881589809,62,3.0,26.0,3.97153,11.555054062,15.8095238095,7.32346265913,3.96029,31.2979040001,57.2538,47.0
56.6023,-4.50111,40.0,0.303984,0.105794,63,37.8490566038,4.03482870138,4.03632314304,0.12857183514,63,3.0,33.0,4.04515,14.9351214002,18.1818181818,0.767161551339,4.03459,31.6388766983,57.6844,55.0
56.8662,-4.56105,46.0,0.555846,0.124881,64,42.3713080169,4.08307024902,4.08388434138,0.138422001335,64,3.0,39.0,4.09246,13.5148797729,16.6557377049,1.23131587963,4.08239,34.6733016485,58.2665,51.0
57.0385,-4.62867,59.0,0.63422,0.110627,65,44.8520179372,4.15579949225,4.15674806894,0.132330983199,65,2.0,38.0,4.16496,15.521821483,17.9818181818,2.7268114002,4.15526,36.2629113307,58.4477,82.0
57.2966,-4.71096,50.0,0.669891,0.120322,66,42.8717948718,4.22961975034,4.23030827098,0.138432181678,66,3.0,38.0,4.23958,20.1720761918,15.8524590164,2.78591838051,4.22949,34.9805552582,59.0017,135.0
57.4243,-4.79655,57.0,0.712181,0.117165,67,47.3396226415,4.31196722792,4.31245537224,0.132715402662,67,3.0,43.0,4.32155,14.642736159,16.9166666667,2.33062787092,4.31165,37.8430494022,59.2723,54.0
57.6241,-4.85121,46.0,0.569353,0.132031,68,42.7991452991,4.36216828882,4.3630708835,0.143798153644,68,3.0,39.0,4.37423,20.1755527819,22.347826087,1.39835041562,4.36204,34.9521504292,59.6048,67.0
57.76,-4.89282,68.0,0.707076,0.136632,69,53.4361702128,4.39441849547,4.39534786294,0.146442887249,69,3.0,45.0,4.40528,22.4152973559,32.7666666667,4.32227902512,4.39413,41.4985785942,60.0045,106.0
57.9768,-4.96313,105.0,0.744972,0.131151,70,55.0989010989,4.47516349066,4.47677168452,0.143149213783,70,3.0,45.0,4.48692,18.6387801196,17.5614035088,7.52366952943,4.47529,42.3681769511,60.3153,72.0
58.1296,-5.01301,1000.0,0.892474,0.151609,71,915.909090909,4.50748670989,4.50928375927,0.151620422665,71,3.0,75.0,4.52012,16.2347060872,18.9811320755,265.918803241,4.50666,95.7180149631,60.6653,88.0
58.359,-5.06339,944.0,0.882187,0.145625,72,298.8,4.56559979038,4.56832860106,0.145788982543,72,3.0,86.0,4.58006,29.1545874458,26.8055555556,212.674237811,4.56596,85.8633222924,61.0449,104.0
58.4067,-5.10382,453.0,0.837586,0.141111,73,93.0740740741,4.62250416381,4.62546469288,0.144536538068,73,3.0,46.0,4.6355,22.4954626805,22.6739130435,61.5328433386,4.62207,55.8515187639,61.4561,95.0
58.5573,-5.15577,306.0,0.859295,0.140699,74,66.3112582781,4.65049045063,4.65357532162,0.143797828827,74,3.0,41.0,4.66429,29.6894809281,27.0833333333,35.419189888,4.65042,46.4934217794,61.8209,168.0
58.6059,-5.19998,640.0,0.866938,0.136847,75,216.425531915,4.71079561722,4.71438316499,0.141276715234,75,3.0,49.0,4.72637,28.0374203303,35.7857142857,143.445407316,4.71041,78.5741510275,62.0672,108.0
58.6709,-5.26912,1000.0,0.891124,0.145062,76,120.843373494,4.77977903684,4.78319780061,0.150279761652,76,3.0,47.0,4.79653,21.8167168887,28.4444444444,124.925373572,4.7794,60.7774023053,62.5695,81.0
58.7728,-5.30174,536.0,0.907992,0.151253,77,221.02173913,4.81937539907,4.82349456378,0.147559046413,77,3.0,67.0,4.83511,40.3884430421,37.3461538462,132.475508668,4.81967,80.1535931231,62.6894,173.0
58.8612,-5.33933,410.0,0.88332,0.147258,78,113.818181818,4.86119739025,4.86794408022,0.14616026217,78,3.0,51.0,4.87655,31.0965239481,44.7727272727,72.825998332,4.86077,61.8647055234,62.9767,126.0
58.9228,-5.39799,1000.0,0.896701,0.149193,79,448.086956522,4.91183081939,4.91855659347,0.144903219165,79,3.0,123.0,4.92886,26.5504936101,32.40625,264.470087574,4.91176,94.4346524247,63.3248,92.0
58.9245,-5.44005,1000.0,0.531031,0.144157,80,1000.0,4.96386996256,4.97105985401,0.144185136358,80,3.0,1000.0,4.98158,25.4580482799,32.2333333333,0.0,4.96378,99.9956828753,63.7297,100.0
59.0615,-5.47892,1000.0,0.576856,0.165766,81,941.181818182,4.99547192136,5.00477502083,0.154184713837,81,4.0,353.0,5.01546,24.0537361385,33.4666666667,185.999422375,4.9955,99.734358899,64.1004,95.0
59.0954,-5.52589,1000.0,0.293559,0.134552,82,1000.0,5.02072924519,5.02821980195,0.140691183995,82,3.0,1000.0,5.03851,24.5066440507,27.7297297297,0.0,5.02071,99.9956828753,64.4153,90.0
59.176,-5.58582,1000.0,0.31663,0.171592,83,1000.0,5.08271337876,5.08932289543,0.157090926541,83,3.0,1000.0,5.09987,26.9494462478,28.6857142857,0.0,5.08189,99.9956828753,64.7548,115.0
59.2741,-5.64865,1000.0,0.277433,0.16185,84,1000.0,5.14234024355,5.1498930194,0.152572047823,84,6.0,1000.0,5.16207,18.2366218089,24.025,0.0,5.14264,99.9956828753,65.2353,82.0
59.4015,-5.70225,1000.0,0.258087,0.16099,85,1000.0,5.18888026342,5.19618721637,0.150275959265,85,3.0,1000.0,5.20614,33.9789370532,28.0571428571,0.0,5.18815,99.9956828753,65.6759,189.0
59.5025,-5.7955,1000.0,0.28836,0.180212,86,1000.0,5.27501488801,5.28230732413,0.156746158855,86,4.0,1000.0,5.29392,20.6749643833,29.6764705882,0.0,5.27528,99.9956828753,65.8846,93.0
