AverageAbsQYDiff,MaxEsReturn,AverageQ,AverageY,AverageReturn,Iteration,AverageDiscountedReturn,AverageAbsQ,MinEsReturn,AveragePolicySurr,MinReturn,StdEsReturn,QFunRegParamNorm,AverageQLoss,Epoch,AverageAction,MaxReturn,PolicyRegParamNorm,AverageAbsY,StdReturn,AverageEsReturn
0.040739356225,-285.484007739,0.065324,0.065557815174,-293.707855831,29,-18.7474800157,0.192579,-285.484007739,-0.124538,-498.30492026,0.0,16.9843,0.00347378,29,0.356959,-219.943546253,21.5101,0.196944826386,102.22103783,-285.484007739
0.0392392215681,-257.325688064,0.0845233,0.0847106609005,-373.325008404,30,-27.7085258522,0.209685,-257.325688064,-0.143076,-381.014767025,0.0,17.2755,0.00319635,30,0.596347,-361.517297389,21.7952,0.213119697415,5.0546242278,-257.325688064
0.0393242969138,-289.339708314,0.109028,0.109193304589,-94.1650471374,31,-4.48022110771,0.228589,-289.339708314,-0.167835,-106.872179318,0.0,17.5386,0.00324806,31,0.677591,-71.1429849668,22.32,0.231671348164,11.8733444917,-289.339708314
0.0399140139185,-263.591239396,0.134269,0.134578945155,164.91018672,32,12.3017775305,0.245902,-263.591239396,-0.195003,102.018037115,0.0,17.824,0.00336206,32,0.65729,200.915323181,22.8342,0.24952534998,35.6407030477,-263.591239396
0.0398619093518,19.5428929311,0.162257,0.162550993798,96.0768634526,33,9.88410662328,0.263164,19.5428929311,-0.221949,50.877408877,0.0,18.1513,0.00335665,33,0.674146,136.820744574,23.3269,0.266705171955,30.5012049424,19.5428929311
0.0409182722324,51.0692894108,0.190014,0.190265726355,111.281775885,34,9.4159148461,0.277577,51.0692894108,-0.252044,52.4047285348,0.0,18.445,0.00353582,34,0.703715,151.961663611,23.7543,0.281107127818,33.1419797009,51.0692894108
0.040498534412,150.84044822,0.216353,0.216662210597,364.601403495,35,31.7443399258,0.287547,150.84044822,-0.285206,300.864938689,0.0,18.6959,0.00344842,35,0.796419,422.112380604,24.1729,0.291162974513,42.0197649337,150.84044822
0.0424108228664,218.065860261,0.256401,0.256557820206,219.943553731,36,28.7423812888,0.303002,218.065860261,-0.323987,124.484860184,0.0,18.9524,0.00384815,36,0.862926,305.93354013,24.5145,0.306625542966,51.4455403265,218.065860261
0.0425985178299,226.732694201,0.308157,0.308527845385,542.820217723,37,45.5907840645,0.334394,226.732694201,-0.379463,496.360148585,0.0,19.2098,0.0037556,37,0.837903,627.320076551,24.8276,0.337967579375,37.9258610326,226.732694201
0.0432984313295,291.107527365,0.345528,0.345880991526,561.462765155,38,48.8424581763,0.361287,291.107527365,-0.419756,449.481675798,0.0,19.4781,0.00394696,38,0.809088,630.386956883,25.2053,0.364066730608,55.6715867871,291.107527365
0.0435499474293,420.179119876,0.397576,0.397815557253,628.513400554,39,53.233716837,0.406451,420.179119876,-0.472521,575.546931065,0.0,19.7011,0.00385633,39,0.931799,669.392478226,25.5401,0.408612260028,31.1818871614,420.179119876
0.0450579341079,441.620497853,0.453839,0.454297913255,893.47765396,40,73.9324920927,0.458806,441.620497853,-0.532397,829.399698002,0.0,19.9509,0.00415277,40,0.883856,953.922405501,25.8603,0.460950144541,35.5859353349,441.620497853
0.0473708662669,501.405807431,0.511997,0.512322994783,778.980110693,41,53.0959419873,0.515375,501.405807431,-0.592076,422.258576494,0.0,20.2225,0.0045938,41,0.88911,982.212638651,26.1554,0.516740255306,206.531471086,501.405807431
0.0484025076271,330.17240956,0.57001,0.570392296513,489.864535336,42,42.4746293289,0.572233,330.17240956,-0.655913,300.860635414,0.0,20.4694,0.0047037,42,0.947812,572.504222283,26.5252,0.573357857636,83.8061778017,330.17240956
0.0498629199501,444.524032459,0.642898,0.643366771036,876.747224997,43,70.2214920109,0.64422,444.524032459,-0.725996,814.699961817,0.0,20.6642,0.00519903,43,0.852025,927.503310771,26.7225,0.645297663738,35.8360484358,444.524032459
0.0515903999054,395.540484754,0.700482,0.700976244152,441.821017917,44,18.5277593096,0.701536,395.540484754,-0.77993,251.622797259,0.0,20.9543,0.00536554,44,0.873441,579.831589643,26.9614,0.702561263909,87.9893328687,395.540484754
0.0531609614189,330.25893981,0.758511,0.758831937995,708.049697646,45,40.7684790902,0.759237,330.25893981,-0.838028,636.714173568,0.0,21.2073,0.00632287,45,0.86798,781.412550566,27.1745,0.759837298557,37.2045450647,330.25893981
