Iteration,StdReturn,AverageQ,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageAbsQ,AverageEsReturn,MinReturn,Epoch,AverageY,MinEsReturn,AverageAction,QFunRegParamNorm,AverageReturn,AveragePolicySurr,AverageQLoss,AverageAbsY,StdEsReturn,AverageAbsQYDiff,PolicyRegParamNorm
9,4.61620350097,0.0662907,19.8902326976,36.0,24.0,0.0734713,5.76687824582,15.0,9,0.975804213852,3.0,0.000655096,10.4467,22.1729490022,-0.122402,0.849163,0.975804213852,2.84954707442,0.90951354186,10.4745
10,0.48901830712,1.12784,2.3779073311,3.0,6.0,1.12784,2.75549450549,2.0,10,1.14234843977,2.0,0.999977,11.2654,2.39578342118,-1.23303,0.0156317,1.14234843977,0.64031030207,0.0573802007736,11.3592
11,0.488895661723,1.57727,2.37734491018,3.0,10.0,1.57727,2.79108635097,2.0,11,1.57771367325,2.0,0.999965,13.0035,2.39520958084,-1.59687,0.0117006,1.57771367325,0.674508954419,0.062575275095,11.328
12,2.18459498329,2.04087,39.7805802918,57.0,61.0,2.04087,7.70542635659,46.0,12,2.04120041727,2.0,0.871669,15.4545,50.4874371859,-2.28393,0.020015,2.04120041727,10.09059974,0.0822794119349,14.4668
13,13.4853829797,2.76938,55.1626027585,144.0,75.0,2.76938,37.0,63.0,13,2.76987175088,12.0,0.835982,18.2626,80.6532258065,-3.1938,0.0373496,2.76987175088,19.5821739973,0.112488716645,15.9629
14,2.292110881,3.48373,46.3190447873,70.0,77.0,3.48376,30.0588235294,57.0,14,3.4839709698,3.0,0.104624,20.9657,61.9259259259,-4.06017,0.0552561,3.4839709698,19.3815272519,0.138829532316,17.0949
15,3.96605226663,4.23155,47.1137705455,75.0,119.0,4.23168,34.5172413793,56.0,15,4.23184837388,4.0,0.176846,23.2639,63.4620253165,-4.97331,0.0874337,4.23184837388,23.0241562647,0.172116172325,18.5078
16,1.6197152685,5.0171,43.8153931465,62.0,88.0,5.01734,28.9142857143,55.0,16,5.01693894898,3.0,0.182256,25.6102,57.3771428571,-5.8973,0.118972,5.01693894898,20.3615483955,0.196838858829,19.5337
17,1.09819020798,5.82665,37.6289522085,50.0,59.0,5.82722,23.2619047619,44.0,17,5.82671839024,7.0,0.136853,28.0172,46.9765258216,-6.84386,0.160665,5.82671839024,13.8822591887,0.220705623081,20.5194
18,1.90137824429,6.65102,37.0586371091,51.0,61.0,6.65195,19.8367346939,42.0,18,6.65083190006,4.0,0.177063,30.2601,46.0829493088,-7.78156,0.197758,6.65083190006,13.9567070246,0.242290599752,21.4749
