AverageAbsQYDiff,AverageEsReturn,AverageQLoss,MinReturn,AverageAction,MinForwardProgress,AverageAbsY,MaxForwardProgress,StdReturn,AverageY,AverageReturn,StdEsReturn,Epoch,AverageQ,MinEsReturn,AverageForwardProgress,AverageAbsQ,PolicyRegParamNorm,StdForwardProgress,AveragePolicySurr,MaxReturn,QFunRegParamNorm,MaxEsReturn,AverageDiscountedReturn
0.00218750385154,12.8239289962,9.04723e-06,-53.4529027788,0.749401,-0.705376573031,0.00666249600573,0.0928859860674,20.0600315219,-0.00292763919551,-14.9024702333,21.3699725175,10,-0.00292882,-22.9269003011,-0.325132522655,0.00643548,15.1002,0.193843685121,0.00143023,26.4816009392,14.2429,59.9604499873,-6.31697282292
0.00191976615659,-1.83364982535,7.31362e-06,-23.9782682218,0.710649,-0.422354638342,0.00815557737887,0.494890615835,20.8765766529,0.00125884980117,28.6342124165,10.7690111071,11,0.00125654,-24.6278335012,0.087959871701,0.00799802,15.5187,0.20268281426,-0.00235793,70.11796811,14.4737,18.862457798,17.4955716282
0.00205126701141,27.4114724514,9.07198e-06,-44.08065799,0.804134,-0.613584265742,0.0111829828965,0.559639398489,23.8105224561,0.00396805652985,24.9551582349,20.3953960249,12,0.00397022,-8.77097231805,0.0519934465458,0.0110558,15.807,0.229723599778,-0.00512633,77.3405114974,14.8357,57.0841299833,15.1807945765
0.00226665309833,2.68485926287,1.1559e-05,-27.4724080055,0.841559,-0.396838851384,0.0144145233397,0.244086170861,14.7195295665,0.00652853620016,1.32397004847,11.5236167067,13,0.00652572,-13.9972480439,-0.104330470979,0.0142776,16.123,0.152363191512,-0.00771785,34.8804370564,15.3239,28.914431733,1.59131630163
0.00241616246744,2.63517208179,1.34642e-05,-19.7487557439,0.798083,-0.357271078776,0.0171551487762,0.559588361509,25.1983675213,0.00864571409172,27.2130430879,18.3067968394,14,0.00864907,-22.360920715,0.081640875164,0.0170377,16.3711,0.239387488113,-0.00965241,77.5669122193,15.7908,54.8403972149,16.3963104679
0.00254673714684,39.5750807431,1.6083e-05,-13.2681230669,0.863613,-0.312481902916,0.0207235578667,0.726893665628,23.7133602606,0.011717095845,54.3048507571,13.0027771985,15,0.0117126,5.32846700885,0.34015165194,0.020586,16.6972,0.23312965678,-0.0130868,94.2661709344,16.2528,52.712549936,31.2798408297
0.00282926634733,27.9248040649,2.05154e-05,-29.8459551347,0.864391,-0.475965056806,0.0253453307029,0.721605265388,21.4810976221,0.0162156624245,30.3181027988,19.6132278086,16,0.0162155,-18.1330127733,0.126400646469,0.0252048,17.1244,0.213655684764,-0.0178275,93.5392295885,16.7232,48.2141848227,20.011962921
0.00306556810333,19.6827868803,2.32773e-05,-27.7010088,0.876598,-0.46187274985,0.028997703268,0.630932022355,21.3574778544,0.0197011717265,34.6255605755,18.7172992421,17,0.0196973,-13.6066691195,0.156295434867,0.0288708,17.3051,0.213312736566,-0.0210866,84.3002933911,17.1194,46.8225502921,22.1798871403
0.00319642363209,24.7250835073,2.39097e-05,-15.3247886535,0.87705,-0.332822679302,0.0333867257126,0.718999693104,22.861828209,0.0242338203259,49.3316537193,21.1810924484,18,0.0242357,-17.1907789658,0.295561758163,0.0332706,17.5244,0.223029979727,-0.0263651,93.0114755268,17.5349,57.960481839,29.3711490777
0.00352620068926,31.2097254124,2.83255e-05,7.72441854322,0.888394,-0.109245023045,0.0384324820527,0.705994240718,17.514779473,0.0293328416652,56.6640445358,16.6799935803,19,0.0293263,-14.7374036567,0.367085552894,0.0383112,17.7087,0.171586518806,-0.0319778,90.1858048695,17.9578,46.061740395,32.9551899531
0.00370105917645,43.4872210202,3.04331e-05,-15.1314877867,0.924853,-0.332825976705,0.0440509095996,0.728585756383,25.1296420756,0.0349619335763,54.5191917732,5.85209517808,20,0.0349662,26.6366469493,0.342563255265,0.0439516,17.8785,0.245564082057,-0.0371233,94.0286813191,18.3507,52.3483530279,31.6037023959
0.00405680004568,40.3504645007,3.73259e-05,-4.7789393596,0.904313,-0.229080375324,0.049937133243,0.773587314962,23.0889532442,0.0410003559747,55.6690727542,19.3194312112,21,0.0409965,-5.85882030312,0.359444722677,0.0498155,18.0419,0.227301079392,-0.0433625,97.4098394375,18.7722,66.3394003627,32.7861323778
0.004289655001,40.8295199035,4.22044e-05,-13.9193217544,0.91575,-0.323149396001,0.0554630607413,0.72846833132,21.8168450866,0.0466234463632,52.7469127562,16.3779341349,22,0.0466237,-9.22338987636,0.327345066374,0.055332,18.1989,0.214818174719,-0.0490103,93.9125752335,19.2024,55.1212024553,30.6611769573
0.00463492519429,44.6773382078,4.78077e-05,-22.1590699922,0.907454,-0.379021942773,0.0614496898942,0.715914784876,24.9324710475,0.0529449039982,54.3606072653,9.69073917451,23,0.0529432,19.4801533032,0.346457027934,0.0613026,18.3134,0.243465839294,-0.0556926,92.7042306517,19.6436,58.3112135915,31.9025232179
0.00493143887408,32.1475566426,5.53065e-05,-18.9253958933,0.923702,-0.367296900592,0.0671521997602,0.771338691508,25.7694629662,0.0588522904616,53.3976639642,22.9704840525,24,0.0588525,-8.1411490968,0.335801469681,0.0669937,18.4547,0.252024326529,-0.0613133,98.4050436385,20.0345,53.9474783226,31.9527416996
0.00503569723462,41.65342406,5.64263e-05,-8.86233666293,0.909427,-0.270439477136,0.0725267176741,0.717910590586,23.8039683127,0.064360112593,57.8080271429,18.4843172874,25,0.0643621,-5.24260528495,0.377559868995,0.0723894,18.6029,0.232167942458,-0.0665589,92.9554899229,20.4086,57.3026656594,33.8186313042
0.00507650251943,37.8732249467,5.77792e-05,-10.4119692702,0.942109,-0.283065257809,0.0777264455004,0.715300226138,21.2117940666,0.0691591486787,54.0188763742,18.6390274462,26,0.0691532,-9.30680256538,0.34125545827,0.0776131,18.7259,0.208898959137,-0.0711759,92.6845764836,20.7778,56.373022764,32.0206687083
