AverageAbsY,AverageQ,MaxReturn,MaxEsReturn,Epoch,StdEsReturn,AverageEsReturn,AverageDiscountedReturn,StdReturn,AverageReturn,Iteration,PolicyRegParamNorm,AveragePolicySurr,MinEsReturn,AverageAction,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsQ,AverageQLoss,AverageY,MinReturn
2.02886171192,-0.564245,0.233004425198,-270.051840041,9,21.0533540894,-312.84288739,-3.22121084165,17.4776114729,-7.29467057659,9,11.7104,0.0281907,-335.522189923,0.00293153,11.4922,2.6057317595,1.00256,10.5253,2.02044932771,-59.4069971641
1.05394761508,0.947527,-599.929603899,-335.44433636,10,0.0,-335.44433636,-62.2662690696,1.36698307032,-601.726424336,10,12.2409,-2.02422,-335.44433636,0.998809,12.1973,0.38385547829,1.02072,0.318084,0.9596846282,-603.824389204
1.09856805015,0.954379,-481.588318106,-335.17160464,11,0.0,-335.17160464,-26.2295273911,15.9057207215,-501.740724763,11,14.6026,-1.772,-335.17160464,0.894155,13.1501,0.241228367721,1.06619,0.102962,0.956291752395,-534.574361446
1.33290222214,1.20204,-321.370410428,-412.714621974,12,0.0,-412.714621974,-28.7807806789,9.07178564695,-343.53658195,12,15.2704,-2.00952,-412.714621974,0.606804,13.8777,0.236496555455,1.31001,0.0980396,1.20244014631,-358.58196651
1.50881030787,1.38338,-176.320155307,-349.717377878,13,0.0,-349.717377878,-15.2130454713,4.12230510873,-183.232846021,13,15.5797,-1.99861,-349.717377878,0.402988,14.6374,0.251218220318,1.48743,0.111415,1.38432297594,-189.478446287
1.6263645036,1.45936,-128.798407601,-287.016822364,14,0.0,-287.016822364,-8.69716302822,15.9981466704,-146.08888104,14,15.8754,-2.00948,-287.016822364,0.481881,15.547,0.267441220843,1.60101,0.12753,1.45996988511,-172.505536341
1.76226776802,1.58211,-150.554939027,-264.432520302,15,0.0,-264.432520302,0.876143561962,5.33857660237,-157.509126232,15,16.2972,-2.07271,-264.432520302,0.315241,16.4106,0.278926804955,1.73573,0.137889,1.58268329302,-167.38950592
1.88189434128,1.68974,-138.264588788,-235.909566409,16,0.0,-235.909566409,0.985351896714,1.50725914937,-140.020203968,16,16.8127,-2.1331,-235.909566409,0.272251,17.2412,0.285508505369,1.85486,0.14527,1.69014994721,-142.696503202
1.97882800908,1.78439,-112.183459843,-242.179568806,17,0.0,-242.179568806,8.84132926737,3.13142690068,-118.85977941,17,17.3651,-2.22881,-242.179568806,0.256866,18.0604,0.292558158815,1.95148,0.155525,1.78501230186,-123.218390448
2.08250264025,1.89245,-76.4290816153,-199.967366702,18,0.0,-199.967366702,7.38626402809,5.84615737473,-82.1378388583,18,17.9418,-2.34831,-199.967366702,0.183722,18.8475,0.304009314342,2.05639,0.168325,1.89346541137,-93.1943936378
2.20518332319,2.03236,72.7205194069,-181.836114343,19,0.0,-181.836114343,17.9770829876,12.0482543734,57.8694952652,19,18.583,-2.50059,-181.836114343,0.293852,19.5985,0.313416499056,2.18012,0.181034,2.03354411271,33.1266156335
2.37026094281,2.21416,64.6845656689,-99.8552832291,20,0.0,-99.8552832291,18.8274398322,12.7220099577,39.0528303917,20,19.205,-2.7094,-99.8552832291,0.411577,20.338,0.332208511642,2.34719,0.207427,2.21533305236,16.1268984912
2.54160235743,2.40516,89.7715857939,-94.413626542,21,0.0,-94.413626542,11.4231770081,24.6578866751,49.9527398842,21,19.7601,-2.92435,-94.413626542,0.456664,21.0492,0.349223668306,2.52066,0.227674,2.40656219143,7.06457463505
2.79884294408,2.6813,53.3007125022,-41.2817015155,22,0.0,-41.2817015155,11.1427586104,26.6259006696,9.32206271131,22,20.3526,-3.22844,-41.2817015155,0.514902,21.7321,0.369044468428,2.78034,0.254868,2.68316576119,-27.5491373917
3.03940311373,2.94076,255.643002282,-14.8735532672,23,0.0,-14.8735532672,21.2647585421,31.085834711,192.417873158,23,20.9828,-3.50553,-14.8735532672,0.556621,22.38,0.386618321169,3.02283,0.281021,2.94271650955,125.819120419
3.35431684665,3.27567,561.974450865,63.0938575789,24,0.0,63.0938575789,44.9215818581,35.9032242008,484.607209085,24,21.599,-3.86854,63.0938575789,0.599165,23.0107,0.408041131213,3.34055,0.312602,3.27797665313,442.902034256
3.71303225827,3.64936,443.962227736,168.735760536,25,0.0,168.735760536,35.8340062987,179.528791076,273.92962548,25,22.2771,-4.2942,168.735760536,0.71157,23.598,0.428724440043,3.7004,0.351045,3.6519622028,-120.956238822
4.18299044901,4.1357,501.599933472,222.621742028,26,0.0,222.621742028,42.0451459559,24.4326043645,451.711283751,26,23.0074,-4.84139,222.621742028,0.778169,24.1184,0.448625514924,4.17235,0.379439,4.13843582686,409.321056939
4.70756890262,4.67374,593.682868844,244.213395465,27,0.0,244.213395465,52.8941769667,46.9129105161,488.459301067,27,23.7113,-5.44399,244.213395465,0.764662,24.6179,0.471112806074,4.69821,0.421132,4.67660408025,411.238267367
5.30954076359,5.28662,463.623175119,221.685028708,28,0.0,221.685028708,34.0855200493,338.008631475,289.164617686,28,24.2079,-6.10746,221.685028708,0.77036,25.0947,0.488575460894,5.30188,0.44842,5.2894489636,-696.252279579
5.98489542675,5.96988,518.938696122,273.406198758,29,0.0,273.406198758,41.2278928919,299.830437685,378.055057278,29,24.689,-6.81478,273.406198758,0.758314,25.5059,0.505280125047,5.97855,0.480497,5.97297218134,-517.522295488
6.67619572771,6.66463,558.75884024,327.715159607,30,0.0,327.715159607,36.1859374068,375.914483691,2.93768139942,30,25.1496,-7.51913,327.715159607,0.778639,25.9047,0.540397041442,6.66901,0.594168,6.66963069797,-463.942721048
7.37419272847,7.36478,483.791934503,348.431217514,31,0.0,348.431217514,38.0167575056,234.123522364,287.014752512,31,25.6295,-8.22523,348.431217514,0.775774,26.308,0.55010615705,7.36653,0.616788,7.3701135641,-222.969878435
