AverageAction,AveragePolicySurr,AverageQLoss,AverageAbsQYDiff,AverageReturn,MinEsReturn,MaxReturn,AverageDiscountedReturn,StdReturn,AverageQ,AverageAbsQ,MaxEsReturn,AverageAbsY,Epoch,MinReturn,Iteration,AverageEsReturn,StdEsReturn,AverageY,PolicyRegParamNorm,QFunRegParamNorm
0.0390408,0.469637,5.51218,2.13657427264,12.1895816707,1.55789844289,12.7981409531,11.4429007557,0.248175074687,-0.698888,0.703088,103.609821889,1.44432927628,9,11.2767249087,9,14.198960031,14.4429071617,1.43768618895,11.1814,11.1655
0.990926,-1.22233,0.0659306,0.130555058655,0.255917588234,-1.17943610862,0.495907931327,0.40688481567,0.111787789284,1.15162,1.1703,11.2203694052,1.19294788448,10,-0.0110320640181,10,1.89506237984,2.26454420864,1.16367658193,12.4533,11.4269
0.99999,-1.6157,0.0282473,0.0944580173587,38.4900578218,-0.300365225497,40.465754262,34.2291857296,0.881882990454,1.52015,1.5751,57.0846852191,1.57786411657,11,36.3700326169,11,29.8872614965,19.5088016938,1.52137868088,13.5068,11.8595
0.99994,-2.44374,0.0741903,0.139708231763,38.5462084929,2.97176108231,40.3916948216,34.2744084612,0.897090799767,2.23291,2.33744,72.869141125,2.34103119207,12,36.5956633004,12,41.2403360395,8.58337940044,2.2340931976,14.1612,12.7556
0.994546,-3.53781,0.139221,0.183384184047,38.5725087477,12.7995370296,40.4516781904,34.2960494597,0.840906684739,3.19838,3.32323,71.6004468911,3.32713162182,13,36.5725566021,13,43.7674316381,9.45222558456,3.19980437628,14.4102,13.9649
0.954973,-4.76443,0.203495,0.220714801316,67.4578207358,7.19808290202,68.4995617852,55.4683226158,0.411813639331,4.33007,4.45351,63.2661550695,4.4569815838,14,66.3981361877,14,43.2008963597,8.90467216974,4.33122473377,14.7106,15.2769
0.706259,-6.11829,0.305216,0.263453438683,87.2372115595,38.5087702548,90.5418732191,68.599867206,1.40433875148,5.55417,5.66602,78.0052704242,5.66913825498,15,83.2515261239,15,52.0000266802,11.5703022912,5.55598356377,15.5005,16.6494
0.686391,-7.68442,0.39895,0.300659222435,106.669110587,20.5845321262,108.791039961,79.917423471,0.817833294564,6.95479,7.04955,176.928326825,7.05246579714,16,104.714866482,16,96.5621889671,43.8417318562,6.95706300624,16.6153,17.886
0.6416,-9.34769,0.584857,0.359600395627,115.771625844,10.2605409743,117.285410869,84.7718922208,0.695653594957,8.46128,8.5409,206.454267466,8.54429489247,17,113.73625287,17,116.650709696,52.667957526,8.46483799636,17.9608,19.085
0.709172,-11.1122,0.763634,0.394891457458,168.377505061,91.8826532062,172.368781995,109.729739547,2.22612976997,10.1039,10.1662,212.537479963,10.1678799556,18,159.523557162,18,172.162966211,26.5584290583,10.1066971862,19.1526,20.3253
0.771848,-12.9299,1.03211,0.456874424261,180.218279765,42.2597208597,185.549679277,115.110221814,2.95987228195,11.8435,11.895,218.546480443,11.8977946079,19,173.711456048,19,155.032836153,51.1794046624,11.8476775904,20.0454,21.6583
