AverageDiscountedReturn,MaxReturn,PolicyRegParamNorm,Iteration,AverageY,AverageReturn,StdReturn,QFunRegParamNorm,AverageQLoss,Epoch,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageAbsY,AverageEsReturn,MaxEsReturn,AverageAction,AverageAbsQYDiff,MinReturn,AverageQ,MinEsReturn
96.3522356114,662.095961982,39.1946,79,92.0767252664,251.862169045,115.760813847,52.2041,31.1361,79,100.398208978,92.1957,-95.8335,92.1597142893,106.361466305,269.251638401,0.812907,3.25262923871,-39.1690853104,92.063,2.60063322343
105.849084724,464.025992991,39.3668,80,93.6705332899,215.196934973,55.785779056,52.5139,31.1868,80,137.514947103,93.7853,-97.4346,93.7573089039,180.205152319,382.468199257,0.833425,3.24953181664,131.161870773,93.6533,18.249067457
90.543505079,567.279044727,39.5524,81,95.0272694634,242.410455542,110.778110392,52.7979,32.4946,81,115.637041183,95.1458,-98.8269,95.1059229243,150.072274514,365.178068271,0.809435,3.31894705255,6.63962436742,95.0102,6.03361205276
79.2720524382,319.86811578,39.7206,82,96.7483064814,138.706309948,43.9745638222,53.1195,31.4734,82,96.8291473959,96.871,-100.557,96.8292454096,191.721009482,295.55043065,0.828576,3.27046928279,97.4381206089,96.7325,0.347081871976
122.908886674,584.354479518,39.8743,83,98.2667118228,309.175734043,129.251423799,53.4108,33.0668,83,113.078982672,98.3805,-102.053,98.3439196853,223.559351503,415.358656867,0.83117,3.32323454447,160.391936345,98.2529,57.635157756
85.1563323038,452.730405131,40.0532,84,99.5986909979,156.60305793,65.1260869581,53.7344,32.4661,84,170.583557696,99.7123,-103.42,99.6743676143,177.789947204,575.766387945,0.828585,3.31488835547,87.6475938709,99.5852,6.41898852439
64.7213405468,666.695791936,40.2427,85,101.308937149,246.758549435,173.748981448,54.0401,35.2469,85,106.23096997,101.412,-105.124,101.37602028,136.31999421,278.611450373,0.806773,3.36099707291,-109.115815348,101.291,7.12778415406
79.3820781223,525.185448571,40.4446,86,102.70327152,245.153217338,106.082810728,54.3542,35.3279,86,75.5161196096,102.812,-106.53,102.775369198,121.879063747,241.779731097,0.811635,3.39181445954,19.8730335628,102.686,2.378607106
84.4949402467,415.494547824,40.6064,87,104.086173091,155.932524658,55.3878500882,54.6775,36.3795,87,98.6510290906,104.184,-107.917,104.155919332,191.380241767,367.452312541,0.83261,3.43433215824,87.4856199186,104.07,45.9372467508
89.3749186561,476.17868264,40.8363,88,105.498122386,194.197500663,79.9465594056,54.9361,36.6923,88,74.371075463,105.601,-109.387,105.570454548,184.154117504,266.710632554,0.821493,3.45709649365,80.8305943628,105.481,65.9688415394
87.5682322913,282.303680108,41.0438,89,107.060948752,157.677304956,38.3484708767,55.2754,37.7035,89,104.421151796,107.169,-110.909,107.133893814,133.273790028,284.980523757,0.819009,3.46799731975,92.9175909172,107.041,3.05353131705
79.4931045437,489.564494998,41.2231,90,108.322377411,249.863139055,110.987129609,55.5762,36.9792,90,75.2400304673,108.441,-112.193,108.40035327,106.215235157,251.869415812,0.825522,3.48717381786,-17.5388722126,108.308,6.10773789573
80.7420978,207.281383898,41.4102,91,109.770730604,130.626867615,19.8184864681,55.8808,39.0853,91,105.976173829,109.899,-113.712,109.851289902,134.914751568,323.206538526,0.823074,3.53787380095,94.3442254692,109.756,-0.0514602598316
71.2382789376,272.210799232,41.6578,92,111.096306805,122.538672375,41.6301897659,56.163,39.576,92,63.6559908769,111.217,-114.952,111.173141675,103.288865467,183.352021688,0.807402,3.55312734638,80.2392202306,111.079,0.225318372483
80.3697847802,578.108113309,41.8619,93,112.50007107,216.322338149,92.4909781459,56.4675,41.5469,93,48.3873780243,112.629,-116.368,112.582950163,215.542189088,280.477712619,0.813432,3.60632606218,95.8822012269,112.485,139.922524737
65.3040884397,566.45214778,42.07,94,113.806520633,305.543249531,129.41878336,56.74,39.1076,94,91.0847985292,113.93,-117.662,113.882068866,140.705136584,315.896699345,0.837873,3.55840705794,39.2427803522,113.787,4.1604576114
88.3425855854,347.729251634,42.2503,95,115.018739039,183.22799678,65.154752589,57.0794,41.9267,95,70.1252695047,115.142,-118.854,115.096013836,137.977128708,246.406355095,0.819564,3.61530151124,-12.4478168453,115.0,27.5860753385
105.281902662,476.532442499,42.4484,96,116.388561799,220.458483532,82.0102165324,57.3637,42.6429,96,106.605748535,116.51,-120.249,116.467472586,150.762197092,375.166598658,0.808007,3.64682309831,14.2361464273,116.374,-0.843116244316
71.1433517105,744.950037764,42.6531,97,117.460244257,291.347555993,158.899660349,57.7288,45.0099,97,109.06052614,117.591,-121.342,117.538162774,131.222785175,299.284999187,0.802894,3.73149283617,-48.0480208098,117.445,6.72717935753
100.4716653,541.724502075,42.8504,98,118.667867494,210.497738229,78.2753583822,58.0302,42.2274,98,74.6073516708,118.801,-122.691,118.752240049,105.463722899,275.547017915,0.822238,3.69957261214,15.7505712885,118.649,26.1575051115
82.4397379082,540.444647425,43.0485,99,119.952396069,163.009787882,58.9741432472,58.3018,42.7289,99,110.373932918,120.086,-123.882,120.030201333,114.860955471,373.428265248,0.816148,3.69237502,92.1037714054,119.937,3.59117019848
86.1725100006,527.046059225,43.2262,100,121.266307723,209.159744256,102.193448053,58.5603,43.7072,100,99.0022380769,121.405,-125.247,121.34921897,164.980548183,313.238686985,0.841364,3.72362170497,-40.9839260367,121.252,19.8399530361
85.5514122976,432.468896696,43.4279,101,122.433395974,195.894126434,92.4451977068,58.8577,46.1336,101,127.710260827,122.56,-126.462,122.508501361,121.455321832,381.329092349,0.833794,3.79228765088,-20.5880881602,122.413,2.67959735712
82.7619585969,710.313651543,43.6501,102,123.560623499,215.082195799,132.715176207,59.1685,47.9851,102,84.2429578042,123.682,-127.597,123.631801995,129.243310722,318.494671555,0.840242,3.80769338222,27.8734847609,123.544,26.5725264691
102.00542062,706.424934813,43.7926,103,124.532485096,227.540282231,96.3606608157,59.4533,49.526,103,92.4550189675,124.675,-128.469,124.611202496,131.341475053,284.850318992,0.835891,3.8803503476,89.288088163,124.518,6.12170708371
88.4606132591,460.142806494,44.0037,104,125.766796159,216.047051966,89.6863631183,59.7103,49.3999,104,127.725781143,125.891,-129.713,125.833873285,96.5605754963,418.315107848,0.842067,3.8248763359,-22.9789004445,125.752,-15.8102476059
73.4595034239,827.498463795,44.1879,105,126.949062552,260.018365607,167.975342497,59.9663,48.5984,105,120.471622205,127.069,-130.839,127.022345811,224.05051549,433.8369919,0.846304,3.85778491291,-54.7533232246,126.929,22.2673657734
63.1525030484,923.908113342,44.3606,106,127.923399894,350.670833154,277.41657962,60.232,47.7843,106,65.3295398886,128.048,-131.822,127.996118376,151.414795437,246.49424168,0.870014,3.82769909157,-95.5563055159,127.909,43.9098031943
61.0494957071,473.191421583,44.5443,107,129.099841844,169.513757126,91.8095650005,60.497,46.685,107,140.428298739,129.228,-133.021,129.167810908,134.701132091,352.112939537,0.861776,3.85066290993,-73.7666199309,129.086,5.15230842459
97.6320658182,1053.8912618,44.7319,108,130.158210576,278.73825621,172.454117408,60.7664,50.9565,108,117.017551569,130.299,-134.136,130.236681414,119.956370432,292.680049109,0.876127,3.89180015894,94.2304628709,130.146,1.2903335081
78.0742690862,649.333452607,44.8949,109,131.159925951,218.698120941,154.583836386,61.0548,54.0639,109,90.2557212395,131.288,-135.107,131.23353768,132.355452655,302.143213253,0.88498,3.93753462925,-36.5576478206,131.14,24.0540316919
84.4198444986,615.25328561,45.0271,110,132.18301053,287.490709765,139.533037141,61.3303,53.055,110,98.8621243114,132.312,-136.091,132.253296321,161.102575047,312.771785086,0.87337,3.96193004436,-5.76844046025,132.166,1.00171139876
69.4040486343,591.169877131,45.2057,111,133.44359441,204.519305882,133.807616825,61.6074,49.7339,111,94.86087915,133.582,-137.406,133.515666601,140.47244983,285.194121185,0.880154,3.8898139442,-44.7899064932,133.432,1.20745281924
82.173662636,780.083828126,45.3841,112,134.057035884,229.923494092,150.713984924,61.8373,50.0734,112,104.573794488,134.181,-138.062,134.1251403,115.928172754,352.59581323,0.872707,3.90365467917,-13.721935621,134.043,3.503178893
74.1876636798,792.781687287,45.5542,113,135.292930494,170.815159557,134.305364922,62.1454,52.9822,113,85.6155308578,135.428,-139.273,135.359516485,86.0428477524,285.046459053,0.872658,3.98608057499,-10.8152270217,135.278,-0.0730439856056
97.3344847379,641.515016855,45.6876,114,136.251686098,238.01382723,111.963971982,62.3901,52.9463,114,115.48306781,136.383,-140.247,136.315835523,165.502927673,389.363337104,0.897418,3.9456632907,-6.03847858352,136.24,16.0862436171
101.575394174,567.530428352,45.8559,115,137.385525463,237.73071475,114.508481984,62.6744,53.8921,115,171.509867967,137.501,-141.397,137.443437876,170.141073175,577.816274063,0.869716,3.99027509081,96.9363080566,137.371,3.76767106857
74.0757761341,679.245381902,46.0014,116,138.657104337,214.53768169,144.267342434,62.8865,54.3603,116,227.697298755,138.772,-142.702,138.716454508,184.100575107,700.619765858,0.877617,4.02361526636,-56.1349963532,138.642,1.235026884
77.2372403903,593.304025175,46.1456,117,139.250224971,189.073610694,121.515517575,63.1674,57.326,117,99.9023172072,139.368,-143.329,139.311192527,113.899900152,243.583943197,0.863637,4.07901832556,2.10590301045,139.232,1.87360872294
68.1644270194,522.428974688,46.2898,118,140.394909509,195.546970852,108.594249246,63.4193,55.16,118,121.37946803,140.516,-144.448,140.457073871,145.057962993,341.123270018,0.907082,4.03414366292,69.2608744121,140.38,2.24010468126
48.7975340576,481.001761713,46.4378,119,141.230106567,89.2826101368,75.4204969447,63.6166,53.6663,119,156.044523246,141.351,-145.182,141.288348185,271.419863473,464.451548641,0.903796,4.03754221274,-14.8594292637,141.218,3.42476746005
52.1712718718,795.104671732,46.6119,120,142.361861713,221.763809193,167.994527814,63.8714,59.0117,120,110.521972383,142.476,-146.469,142.418359006,86.4518006572,363.695026622,0.875021,4.14172972787,-32.4153667567,142.343,1.87767562328
47.7477533717,425.934333725,46.7884,121,143.52461377,108.30405915,91.9947398898,64.0772,58.3756,121,108.76863961,143.641,-147.592,143.579037895,100.785387995,362.288811613,0.876296,4.14112913079,51.2639197279,143.51,3.5728320589
77.811113041,419.360960443,46.9702,122,144.446676941,158.731036329,87.9286684614,64.3566,60.0524,122,70.131978453,144.559,-148.469,144.503466206,103.605915333,222.591445091,0.884416,4.13514863646,54.846761034,144.435,8.48997284456
73.5209307767,857.948821038,47.1015,123,145.062675528,182.161712315,146.44936731,64.6146,64.7235,123,77.6602329499,145.19,-149.026,145.12423481,100.354565182,221.386537048,0.883681,4.27327589073,24.6788386652,145.042,7.05218435284
93.4604190511,882.603456214,47.3009,124,146.002985728,287.186451588,221.106870152,64.8363,65.0573,124,118.310536468,146.137,-150.021,146.064387343,114.629518436,290.171957455,0.874683,4.28372645854,63.4423732007,145.993,-24.8710860695
