Epoch,AverageEsReturn,AverageAbsY,MinEsReturn,AverageQ,AverageQLoss,StdReturn,PolicyRegParamNorm,QFunRegParamNorm,AverageReturn,AverageDiscountedReturn,Iteration,AverageAction,AverageY,AverageAbsQ,MaxEsReturn,AveragePolicySurr,AverageAbsQYDiff,StdEsReturn,MaxReturn,MinReturn
9,-13.8186517105,1.00193844801,-23.3485327337,-1.99945,7.92074,0.424420471999,11.8649,11.6052,-15.8655616594,-14.2535248946,9,0.718296,0.45637041341,2.01041,3.6446155966,1.36034,2.50219141804,3.23369850491,-14.8250276986,-16.4988831282
10,-14.4196354144,0.306919371076,-57.1748088047,0.000979679,0.0944349,0.255284968475,12.9048,11.6309,-10.9636017966,-10.1496403546,10,0.970678,0.00105106688953,0.281524,12.6594814989,-0.233893,0.183911185323,14.1534633647,-10.154202475,-11.6760248686
11,-6.00881294472,0.275785099365,-11.425583825,0.228091,0.0182088,0.162812866586,13.6526,11.6785,-4.98098005326,-4.81505810372,11,0.968031,0.230588446744,0.263251,1.3595122013,-0.362755,0.0995783681294,2.55043623424,-4.51913192806,-5.23076380836
12,2.36242110519,0.310935165563,-4.97484005789,0.258344,0.0123371,14.6079085719,14.4338,11.7777,12.4839461999,10.9098609156,12,0.944143,0.25965581284,0.301311,51.3785554891,-0.418013,0.0838876444402,9.82633686754,124.604248022,6.86688230561
13,-3.86306345847,0.354911339076,-57.5637023085,0.300475,0.0121684,1.41211435687,15.214,11.9555,-11.1981053949,-6.50466655775,13,0.948745,0.301679170107,0.347996,46.9897176289,-0.452694,0.0828046291314,24.700903412,-7.78642918575,-15.6499618879
14,-31.05074908,0.394923965962,-104.392144438,0.344995,0.0105729,9.16228667603,15.776,12.2308,-19.4635239025,-4.83405458457,14,0.907195,0.345527362955,0.38893,0.41759606821,-0.517362,0.0775137151026,29.2943931392,-1.66407208892,-34.3419600806
15,28.115096465,0.450878605162,-42.4283344217,0.410668,0.00973857,70.3202916202,16.1048,12.5625,95.3148777277,52.1921085596,15,0.881829,0.411382784363,0.445605,333.638969064,-0.583774,0.073438332206,109.237756869,412.91393001,4.48724921458
16,172.666339136,0.53095306076,25.2268936286,0.494225,0.0100014,10.7102589949,16.708,12.9488,51.072852801,44.5876656751,16,0.823086,0.494816205632,0.526479,405.30819104,-0.669473,0.0725683095691,156.534632595,90.2126098004,28.696848733
17,210.953991657,0.642870531362,79.0868769639,0.608407,0.0109397,142.157347936,17.2785,13.3337,192.639166262,76.8695808165,17,0.814172,0.609007380745,0.639436,367.209009192,-0.777762,0.0709401754304,122.799105713,605.860860327,50.7370067334
18,116.046124475,0.738708924995,-4.73005689088,0.706353,0.01119,76.0590077906,17.9631,13.802,250.184042869,104.689506916,18,0.882359,0.706819454918,0.735726,331.694445269,-0.881663,0.0698582894913,108.074220711,433.102444303,35.5044600501
19,150.574163715,0.848669186818,5.8470033244,0.817617,0.0139495,87.5957378866,18.6137,14.3059,115.135450406,65.5841159746,19,0.82668,0.818159212051,0.845521,299.412991528,-0.992603,0.0744797119256,104.834390752,548.142339511,38.7468311287
20,113.057001251,0.940120410454,50.7490752889,0.907023,0.0153254,100.076035741,19.4262,14.8697,168.912363979,78.0550866305,20,0.780857,0.90757334332,0.936761,287.794967311,-1.08899,0.0769443983813,83.9801445441,463.58979052,51.1133822102
21,188.349935969,1.06056810121,1.95621679082,1.03077,0.0164724,72.7785739613,20.2225,15.4573,125.847831309,66.9626819309,21,0.828912,1.03127849891,1.05738,457.230727913,-1.21765,0.0785575694776,168.542688218,407.489107541,66.775753348
22,367.716276927,1.18428068227,175.382476014,1.15388,0.0172908,72.8136376148,21.0644,16.0041,110.808222368,64.9217893823,22,0.813425,1.15449227165,1.1806,556.697301663,-1.33694,0.0800681480207,144.424962775,412.19494202,54.8632014434
23,169.346145916,1.30293280137,-0.283375919782,1.27297,0.0191946,52.8214308303,21.8579,16.5529,364.876476798,102.810806004,23,0.855758,1.27358901021,1.29982,389.541498914,-1.45759,0.0840275527529,149.127682414,634.703448062,327.996608245
24,156.466925883,1.42704663227,59.634871505,1.3949,0.0220937,6.36565366229,22.6601,17.1568,2.18019923455,11.3241126876,24,0.781232,1.39546036903,1.42391,383.323153365,-1.58729,0.0884690166025,115.333289712,14.5058065702,-10.0565674273
25,242.269647701,1.55903029279,49.7706496672,1.524,0.0236086,190.556914739,23.5029,17.7254,122.586118518,52.7922672939,25,0.809678,1.52463278599,1.55608,538.09609058,-1.71498,0.0932916070286,180.194268245,1015.97991815,21.889483157
26,239.505202693,1.69462749277,36.6482489083,1.65849,0.0271362,165.495147891,24.0991,18.2898,430.07250405,112.142224644,26,0.875847,1.65940291227,1.69095,525.464354737,-1.85958,0.0999100396227,206.762682792,718.452880024,60.5875584666
27,211.357025937,1.83462081932,3.72683868893,1.80036,0.0320269,7.20885428425,24.699,18.8913,41.6710051103,40.7379723378,27,0.827536,1.80098646505,1.83202,550.921674088,-2.01082,0.107040582536,215.915974378,64.1489217165,30.2850102232
28,159.466244704,1.96136322615,42.8762036012,1.9251,0.0344958,128.606773467,25.3824,19.4022,218.07448338,83.2178073707,28,0.906012,1.92606400968,1.95879,411.827249091,-2.12425,0.110038440433,122.177659687,455.014320377,-3.79181738505
29,134.278139088,2.08040319001,25.3996859442,2.04351,0.0397873,128.159111638,25.8882,19.9617,238.620332841,92.3965548309,29,0.853609,2.04466745873,2.07775,347.147116845,-2.25142,0.117447590986,117.8151688,665.528801411,18.6931783323
30,233.680594344,2.22888476481,78.7971019657,2.19318,0.0504444,47.4959382443,26.5002,20.5284,62.9778924142,47.8058588546,30,0.823107,2.194271849,2.22746,317.735503975,-2.39514,0.128003115883,82.7062365966,203.115126021,-14.13553298
31,200.18486066,2.35327603152,54.95482386,2.32118,0.0483839,56.6247270526,26.9425,21.0273,218.10858722,111.418913211,31,0.872811,2.32240197089,2.35165,367.1999408,-2.52345,0.129441677072,123.842985165,373.432349884,116.518923684
32,98.8979188732,2.49098237529,2.97911464706,2.45746,0.0584684,77.7076636993,27.4775,21.5991,166.085472477,88.4211078172,32,0.903162,2.45876204542,2.48906,267.01443169,-2.6709,0.139112062567,85.7411188767,421.464866808,98.6165354647
33,104.83542647,2.61714948193,9.04530140519,2.58287,0.0668928,181.76820065,27.9428,22.1077,327.848758814,110.308583061,33,0.873978,2.58430777009,2.61584,381.38766484,-2.8026,0.150496594395,114.902280657,897.649855457,66.7162190476
34,138.971747737,2.77041669854,12.5916121809,2.73708,0.0741973,53.7118002029,28.4594,22.6715,146.739892385,85.9262068819,34,0.875344,2.73848326588,2.76949,316.053875433,-2.95275,0.159201719906,96.5437149348,521.164748095,13.0072344726
35,129.762893792,2.93137724701,2.83144871097,2.90037,0.0825554,63.1982669473,28.9191,23.198,147.2292813,80.5679340393,35,0.877766,2.90185553953,2.93087,203.6108391,-3.1284,0.169130228856,70.1438853506,333.752211139,15.4551978844
36,135.617925711,3.10546651302,23.5576464206,3.07634,0.0967837,63.715857765,29.4518,23.737,82.3927827054,54.8923461289,36,0.911662,3.07843575818,3.10431,302.962626512,-3.31898,0.181901375374,83.9490077114,314.803909968,30.1865439165
