MaxForwardProgress,StdEsReturn,AverageEsReturn,AverageY,AverageDiscountedReturn,PolicyRegParamNorm,Epoch,AverageReturn,AverageAbsQYDiff,AverageAbsQ,MinReturn,AverageAction,AverageQ,AverageForwardProgress,StdReturn,StdForwardProgress,QFunRegParamNorm,MaxReturn,MaxEsReturn,MinForwardProgress,AveragePolicySurr,AverageQLoss,MinEsReturn,AverageAbsY
0.215923082467,8.77502417319,23.3073415136,0.0256922898026,16.9892164516,14.1287,9,25.131705698,0.0339426383163,0.00836363,8.94729198629,0.00033814,-0.00825035,0.0896233591163,6.69402337717,0.0538681812718,14.1912,41.0098790647,41.7838495521,-0.0342050298004,-0.0205738,0.00132311,0.19230405604,0.0256922898026
0.688650159469,30.7058718874,46.8755275921,0.0562618361912,50.8688388246,15.0044,10,90.539355668,0.00453266462921,0.056251,50.163130088,0.998703,0.0561967,0.56266833055,10.5975181515,0.072126687066,14.9487,108.797980253,99.326145344,0.295378249771,-0.0883432,6.66378e-05,0.16775161809,0.0563572602
0.493719777796,25.7230385783,61.4366189274,0.132158303468,33.6003901514,15.1277,11,57.0738525494,0.00621246011876,0.132075,22.4688562815,0.982639,0.132075,0.319628784297,11.54799321,0.0848688700229,15.7758,80.3623348972,102.02451171,0.0539737142168,-0.1701,0.000147319,15.9226028232,0.132158303468
0.08179322012,19.6272806416,22.0958347933,0.196691837902,5.28275811511,15.4441,12,6.23900870458,0.00884550168433,0.196578,-4.36070871196,0.946413,0.196567,-0.00154106207562,4.18398774319,0.0325364329668,16.8136,17.0310922773,78.7311698817,-0.0875649426421,-0.220014,0.000352441,2.42084240901,0.196691837902
0.0850510834964,3.64451958986,5.96751733223,0.23526555763,5.51608621437,16.2466,13,6.55176595493,0.00978013084941,0.235216,-8.5504208723,0.964637,0.235209,-0.000650699269747,4.43477377549,0.0345963037567,17.7283,17.5549887475,11.2696792067,-0.118264766425,-0.260847,0.000446679,-1.88299657272,0.23526578351
0.0907980088668,3.77226299721,7.27958288614,0.28554088968,5.7020414328,16.488,14,6.75169282581,0.0117499930469,0.285469,-4.62408076615,0.983743,0.285468,0.00166874872931,4.29586181301,0.0337296300717,18.4973,18.4913877056,15.9426291778,-0.0871633744924,-0.320351,0.000592381,-1.1142913109,0.285541341439
0.0804813403355,4.93685222245,6.3463877252,0.331014569652,5.28368749526,16.6863,15,6.25184616556,0.0132091423455,0.330923,-3.75386506712,0.985891,0.33092,-0.00188180323561,4.17182900415,0.0323886215787,19.2131,16.8512105244,19.720937573,-0.0795199697122,-0.374705,0.000763715,-1.92014778796,0.331015810927
0.103597051052,3.25000272829,6.65423602554,0.390832153818,5.42963291517,16.9012,16,6.41627804642,0.0148139397061,0.390796,-7.60450459072,0.976076,0.390782,-0.000312337842155,4.3312632299,0.033827275911,20.0012,19.7582151131,12.1150570792,-0.109520543293,-0.433075,0.000889397,-2.20094559106,0.390835009676
0.0889271544272,3.31633341878,7.54155390839,0.433254384266,5.18181518542,17.0858,17,6.11976087008,0.0160614318268,0.433228,-7.04106587679,0.981344,0.433213,-0.002338099777,4.09940548959,0.031792560414,20.7168,17.9496020408,16.2821989898,-0.107203918108,-0.460918,0.00101646,2.84785316049,0.433259751684
0.106235930382,4.84813763507,7.43212114201,0.468520254678,5.71605896598,17.3657,18,6.73237792512,0.0179391453642,0.468479,-4.98353919107,0.98079,0.46846,0.00334085693567,4.20295489783,0.0328228801709,21.5095,20.2491600886,24.9336691584,-0.0912497912338,-0.496444,0.00127526,-3.80565598467,0.468578938263
0.563754116375,14.8578660553,9.27898094182,0.502188389563,41.4712292518,17.5604,19,72.9109821079,0.0188913856873,0.502172,25.1870374224,0.965669,0.502153,0.434013951635,11.25610348,0.0825951075878,22.2239,89.6434610405,79.0187251592,0.107196327529,-0.537075,0.00131004,-4.15923356048,0.502207308189
0.511429485628,14.8884627338,51.3698946053,0.550246156385,33.1056303114,17.7852,20,49.7966746143,0.0222278873329,0.550194,10.6474553812,0.951473,0.550155,0.289771103148,16.1965995703,0.112032834679,22.9524,82.3938134299,74.3842105978,0.0116677119044,-0.596171,0.00181397,25.0756373203,0.550252864932
0.558641576939,20.079416535,52.1136971285,0.599248265652,40.7188589921,18.0218,21,63.9456527707,0.0263291391609,0.599172,14.6704544821,0.979431,0.599142,0.38939635475,15.5339224525,0.108908648029,23.7495,88.0485229775,81.4280631615,0.0358957189711,-0.650047,0.00250885,13.0260469767,0.599253594751
0.518652725938,16.1519833937,27.905113991,0.653681864187,32.2704386352,18.2759,22,47.2282448853,0.0299566272357,0.653607,7.77779345952,0.928712,0.653542,0.278309788419,19.858201191,0.14072707061,24.5371,81.2366944742,58.0114802481,-0.00493704441781,-0.766785,0.00312808,7.81984952647,0.653693076918
0.359705031935,19.2458257757,52.5749568288,0.741267274846,27.5615996626,18.569,23,40.061801721,0.034157997993,0.741029,5.15207793968,0.958716,0.740973,0.218596587593,9.75140878305,0.0688258023339,25.2595,60.16842558,93.481317715,-0.0240742109335,-0.849355,0.00385491,15.9029573948,0.741274106526
0.437919805396,15.5900358339,31.3058466161,0.861161390957,31.5154962711,18.8502,24,44.5482640859,0.0362170180136,0.861025,11.3077854955,0.940418,0.860918,0.260914133172,14.1286460776,0.0985426594848,25.947,67.2172208503,69.8434943991,0.0251826868474,-0.971577,0.00440232,7.81438863609,0.861169087243
