AveragePolicySurr,Iteration,MinEsReturn,MaxReturn,AverageAbsQYDiff,AverageAbsY,AverageY,AverageReturn,Epoch,StdEsReturn,QFunRegParamNorm,AverageAbsQ,AverageAction,PolicyRegParamNorm,AverageQ,AverageEsReturn,AverageDiscountedReturn,StdReturn,MinReturn,MaxEsReturn,AverageQLoss
0.163114,9,-363.52789187,16.4822348861,3.22182644456,2.47089161579,2.47089161579,-1.79588602667,9,35.0669275618,11.4926,1.04513,0.00549704,11.7088,-0.750935,-307.239239965,-1.75434680014,11.5247387942,-32.9611746781,-236.741183515,14.6859
-1.84024,10,-347.800175322,-521.114231716,0.421146584008,1.01644547112,0.911238922114,-561.12592454,10,0.0,11.9889,0.97518,0.953232,12.6638,0.899016,-347.800175322,-59.4901964656,20.8227860731,-589.709591403,-347.800175322,0.366188
-1.72346,11,-350.369695651,175.317615785,0.290042523627,1.08368535676,0.994574502008,-116.568269103,11,0.0,12.6768,1.04342,0.873379,14.0762,0.988887,-350.369695651,9.18875792479,224.86522922,-409.208035462,-350.369695651,0.151189
-1.86371,12,-429.153342197,-157.436414718,0.296612462069,1.24010954748,1.09922803316,-182.610232637,12,0.0,13.5171,1.20006,0.866491,14.9476,1.10135,-429.153342197,-15.2978547092,18.7080821212,-213.85466023,-429.153342197,0.15924
-1.92791,13,-358.501096197,-466.927369013,0.309011172618,1.39637123223,1.27193491113,-472.658282259,13,0.0,14.2001,1.36228,0.801584,15.3978,1.27074,-358.501096197,-41.5256545975,4.14268683002,-479.69505791,-358.501096197,0.172009
-1.84989,14,-298.411899573,-280.806179541,0.3125598201,1.54061691157,1.39048481852,-304.321522973,14,0.0,14.8266,1.50502,0.636023,15.5867,1.3884,-298.411899573,-28.5864349166,10.7339637376,-318.763248966,-298.411899573,0.178565
-1.68993,15,-365.110285006,-179.006029396,0.325065378474,1.5393100982,1.34142757387,-225.74727889,15,0.0,15.5463,1.50235,0.488882,15.8466,1.34164,-365.110285006,5.58541359209,22.90894997,-258.886687362,-365.110285006,0.19299
-1.66882,16,-247.766539686,-103.316418393,0.338516584611,1.56251361694,1.32211002887,-362.098285717,16,0.0,16.3159,1.51928,0.739309,16.3113,1.32213,-247.766539686,-36.6159075594,217.786179793,-624.545142371,-247.766539686,0.215125
-1.69415,17,-281.093858255,-189.942592501,0.352218442865,1.59898570907,1.33443314134,-204.369658363,17,0.0,17.0958,1.55284,0.338478,16.7541,1.33474,-281.093858255,-26.0665626334,15.331602803,-246.912874509,-281.093858255,0.237408
-1.76217,18,-232.175756807,-101.432040529,0.360846422784,1.66167324528,1.37969293964,-228.154786726,18,0.0,17.8681,1.61501,0.526075,17.2058,1.37948,-232.175756807,-15.3479738028,118.505273157,-413.205045157,-232.175756807,0.252661
-1.85159,19,-258.166525088,-112.224639929,0.371783045987,1.7213593125,1.45101029448,-171.513545486,19,0.0,18.6135,1.67857,0.445583,17.5874,1.45084,-258.166525088,-6.4814871025,30.2634157587,-210.290545763,-258.166525088,0.271425
-1.9472,20,-224.701154038,40.0699644858,0.378423083829,1.79090739607,1.52144640734,-18.7894908838,20,0.0,19.2925,1.74697,0.411968,18.0522,1.52064,-224.701154038,9.10391991595,25.6727288456,-56.9384700083,-224.701154038,0.282164
-2.09071,21,-158.729092812,21.448802023,0.387468799364,1.89319406931,1.64698822815,14.3424812882,21,0.0,19.9975,1.8523,0.37231,18.4467,1.64535,-158.729092812,12.45383725,3.95812151817,5.80828677962,-158.729092812,0.299592
-2.24936,22,-117.688202188,100.082830027,0.390880038481,2.01242889925,1.78666690555,80.2791919377,22,0.0,20.6517,1.97596,0.494266,18.8878,1.78554,-117.688202188,21.2025299015,10.83929881,58.6760752517,-117.688202188,0.30656
-2.41831,23,-36.2272238411,234.286298834,0.40440940813,2.15198290181,1.9464757249,194.00032203,23,0.0,21.3224,2.1158,0.58843,19.4655,1.9435,-36.2272238411,20.7086562813,37.2220102217,114.96212641,-36.2272238411,0.333768
-2.69833,24,10.5876047873,544.835947141,0.416337252505,2.39413461107,2.20203905896,498.831167468,24,0.0,21.9932,2.36428,0.667125,20.0103,2.19977,10.5876047873,44.572400177,25.1865966485,452.681210042,10.5876047873,0.344598
-2.95305,25,104.452359295,527.096681513,0.43284283476,2.59893284934,2.43500952718,439.16229916,25,0.0,22.5876,2.57079,0.785445,20.5532,2.4316,104.452359295,36.834805647,38.9244426782,386.227447743,104.452359295,0.385522
-3.34193,26,277.358871448,449.762086884,0.448728709332,2.90633929009,2.78112887921,317.937729277,26,0.0,23.1575,2.88215,0.847206,21.1416,2.77731,277.358871448,39.3806006465,221.024550535,-332.869496857,277.358871448,0.400939
-3.79409,27,283.835090571,454.468492419,0.468564693276,3.2802466256,3.17754081247,357.423077477,27,0.0,23.6391,3.2573,0.834886,21.7395,3.17323,283.835090571,30.8309742522,52.813056172,272.021675611,283.835090571,0.438803
-4.35131,28,294.171783479,486.75315351,0.489190213739,3.7419737979,3.67081482724,318.981846316,28,0.0,24.1672,3.72092,0.828764,22.3349,3.6648,294.171783479,32.015099818,341.687866683,-700.476826377,294.171783479,0.474557
-4.92373,29,254.015836378,478.103551883,0.507934276273,4.25621355337,4.20665956349,384.583367796,29,0.0,24.6399,4.23981,0.865511,22.8798,4.20177,254.015836378,35.6485727213,60.2807904334,293.728862135,254.015836378,0.502855
-5.54713,30,301.591387375,534.742818461,0.530269983229,4.82406682749,4.79316621571,247.876168314,30,0.0,25.0749,4.81261,0.847731,23.4342,4.78837,301.591387375,23.5675895661,657.135644545,-1721.0792344,301.591387375,0.555698
-6.20533,31,305.857435544,651.67055562,0.543012449245,5.43367588797,5.41391504551,263.384428483,31,0.0,25.5355,5.42082,0.817777,23.8467,5.40681,305.857435544,36.1880995086,572.297569245,-942.804630345,305.857435544,0.572885
-6.9431,32,315.424619719,526.089668553,0.668291682868,6.0901204972,6.07388938059,385.672899617,32,0.0,26.1786,6.06615,0.926778,24.3254,6.05985,315.424619719,33.5596001589,223.666730601,-103.738140824,315.424619719,1.12604
-7.64935,33,-151.007858335,473.640676169,0.618882109886,6.78247888503,6.77338283787,324.111378656,33,0.0,26.6188,6.76733,0.843406,24.7873,6.76429,-151.007858335,42.0821310535,309.671179406,-599.00484177,-151.007858335,0.826102
-8.28403,34,174.123162197,568.559185962,0.612554909561,7.47046577572,7.46426903222,257.131001041,34,0.0,26.9943,7.45839,0.859373,25.103,7.45538,174.123162197,40.7550720516,520.251570447,-789.4519296,174.123162197,0.768815
-8.92458,35,272.147961025,594.014595533,0.607578280213,8.12569485813,8.12074811075,531.586455146,35,0.0,27.3266,8.11403,0.856645,25.3933,8.11163,272.147961025,50.0792555004,37.0993697366,468.273149555,272.147961025,0.725465
-9.56156,36,331.777423312,432.546025561,0.608354306832,8.76849515074,8.76517619061,246.822925965,36,0.0,27.6796,8.75732,0.837139,25.7544,8.7561,331.777423312,28.3361585506,335.83373411,-755.373157354,331.777423312,0.751399
-10.2257,37,349.31061402,598.319587068,0.617754551843,9.42729264655,9.42444056655,501.862491323,37,0.0,28.0629,9.41701,0.82326,26.0866,9.41674,349.31061402,51.8461083729,40.5507347282,445.519361763,349.31061402,0.792819
-10.92,38,344.971694129,570.333382581,0.621642557008,10.1127758394,10.1106296945,458.254341194,38,0.0,28.4196,10.1017,0.85442,26.4429,10.1012,344.971694129,45.7536965482,236.157510545,-244.542839422,344.971694129,0.786775
-11.5671,39,370.288627487,675.298100209,0.63774837412,10.76544261,10.7638624673,593.78624728,39,0.0,28.7832,10.7571,0.882652,26.84,10.7566,370.288627487,52.5630236856,42.0736099857,511.308507155,370.288627487,0.839099
-12.1626,40,-148.266892655,671.628733387,0.648623695443,11.382209515,11.3802967563,533.615275027,40,0.0,29.149,11.3723,0.895538,27.175,11.3714,-148.266892655,54.7110092593,266.020318279,-260.254113273,-148.266892655,0.869384
-12.8312,41,364.150897806,695.313058143,0.650242158186,12.0702257789,12.0681796418,636.101868902,41,0.0,29.4901,12.0599,0.869831,27.4747,12.0594,364.150897806,51.7603408156,40.8322328282,568.670057242,364.150897806,0.896034
-13.4339,42,396.09849915,674.995640303,0.648772926496,12.6626438673,12.6612059216,473.108441266,42,0.0,29.777,12.6531,0.895996,27.7228,12.6527,396.09849915,43.7492674084,308.876197473,-445.569214861,396.09849915,0.862864
-14.0881,43,350.463001792,592.843573514,0.673908373415,13.3128504629,13.3113362028,526.118749169,43,0.0,30.1571,13.3031,0.875841,27.9769,13.3029,350.463001792,43.8314494048,40.7533250201,448.417125092,350.463001792,0.97215
-14.7106,44,395.990677405,902.777513694,0.664344515253,13.9609184461,13.9594172782,809.700581667,44,0.0,30.4601,13.9523,0.860733,28.2249,13.9519,395.990677405,66.2271969043,38.085371343,758.469804823,395.990677405,0.913178
-15.3458,45,377.668629036,643.300630416,0.671519663758,14.5730432218,14.5712235073,563.993644717,45,0.0,30.8066,14.5648,0.854793,28.4389,14.564,377.668629036,58.0336690477,79.9921925308,335.220209307,377.668629036,1.00819
-16.0003,46,422.096961927,664.989968783,0.671801790902,15.217167237,15.2162919006,609.450166086,46,0.0,31.0851,15.2098,0.873892,28.7313,15.2097,422.096961927,52.8012516337,45.3516105284,504.370525314,422.096961927,1.02956
-16.6904,47,418.528532301,685.3078464,0.676051191899,15.8864080887,15.8852635489,636.951424907,47,0.0,31.3721,15.8789,0.84318,28.9983,15.8789,418.528532301,66.8073125899,27.541058374,611.310878299,418.528532301,1.08502
-17.4015,48,491.247521808,617.254820627,0.668991478665,16.5798599066,16.5793368455,564.942527813,48,0.0,31.6243,16.5719,0.845931,29.2241,16.5717,491.247521808,47.0719998934,32.7595944425,496.86261808,491.247521808,0.990712
-18.1209,49,453.488429397,676.491421585,0.677704627755,17.3044800979,17.3037776721,589.849393896,49,0.0,31.9126,17.2949,0.872955,29.4938,17.2948,453.488429397,56.4417624949,58.2566725935,503.286188362,453.488429397,1.08018
-18.8571,50,453.037118389,762.624911369,0.675889294888,18.0561431825,18.0553093952,724.997515922,50,0.0,32.2501,18.0495,0.858996,29.6934,18.0495,453.037118389,70.0516779122,24.8747094884,687.139398037,453.037118389,1.05626
-19.533,51,532.910609751,732.225374483,0.695380193496,18.7253046922,18.7246731407,655.087722017,51,0.0,32.5535,18.7164,0.874212,29.9491,18.7164,532.910609751,55.0329928011,53.9743598756,556.816173088,532.910609751,1.18209
-20.2294,52,579.406592475,825.010653614,0.702784477165,19.4323400075,19.4317985035,435.880522217,52,0.0,32.8358,19.4243,0.843678,30.1217,19.4242,579.406592475,47.3620603971,536.407952559,-437.426780139,579.406592475,1.29033
-20.8267,53,450.625383331,827.769361385,0.707013625378,20.0448848078,20.04445549,751.442183832,53,0.0,33.077,20.0373,0.845171,30.3888,20.0372,450.625383331,66.3126217142,41.5826280038,692.777717766,450.625383331,1.21433
-21.5275,54,493.482759893,881.231007151,0.703637655494,20.7340283964,20.7333175138,838.853845219,54,0.0,33.393,20.7269,0.879187,30.6303,20.7269,493.482759893,69.3640114351,33.5264495812,789.714238621,493.482759893,1.17063
-22.2634,55,545.064495425,851.132760376,0.721331157187,21.4544142686,21.4536421468,774.474353881,55,0.0,33.7112,21.4464,0.902378,30.9262,21.4464,545.064495425,73.0504649767,32.7683061651,724.239282329,545.064495425,1.34677
-22.9741,56,632.597599452,790.973593891,0.727648374951,22.166310206,22.1657859088,655.47002673,56,0.0,33.9942,22.1588,0.852933,31.115,22.1588,632.597599452,64.4191458197,292.473876677,-216.283320484,632.597599452,1.35921
-23.6659,57,612.834811975,672.721981324,0.737427127045,22.8609188129,22.8604905701,602.048816642,57,0.0,34.251,22.8522,0.875286,31.3815,22.8522,612.834811975,41.7749813758,41.2754776241,540.963347081,612.834811975,1.31426
-24.4173,58,675.456468351,600.041488427,0.751967268605,23.598449932,23.5973199497,542.299915586,58,0.0,34.5107,23.5899,0.884104,31.6551,23.5898,675.456468351,43.8909659498,28.2197735263,498.394931218,675.456468351,1.53578
-25.1331,59,568.869292984,819.330803421,0.759157949861,24.3214724084,24.3209899835,751.495138407,59,0.0,34.7992,24.3146,0.859946,31.8857,24.3145,568.869292984,64.1095284709,38.5348258422,686.733824718,568.869292984,1.49157
-25.8282,60,634.288604412,978.315827627,0.762104178431,25.015759869,25.015199972,895.816824445,60,0.0,35.085,25.0077,0.857543,32.1286,25.0077,634.288604412,75.9464232067,40.1587797697,837.151319815,634.288604412,1.59468
-26.6094,61,619.189514514,841.036922416,0.771785160535,25.7659124626,25.7654315841,757.462603633,61,0.0,35.3467,25.7572,0.896309,32.3589,25.7571,619.189514514,69.1609993092,63.3560603149,607.44020197,619.189514514,1.72718
-27.3085,62,637.145116891,883.725464291,0.764822353105,26.461638062,26.4610600355,748.292578997,62,0.0,35.5978,26.4542,0.891309,32.5571,26.4542,637.145116891,76.2364458654,158.861464212,404.171168317,637.145116891,1.60383
-28.1061,63,632.028054363,1001.34219069,0.764457980196,27.2476692784,27.2473287715,966.671425641,63,0.0,35.8814,27.2395,0.897897,32.8216,27.2395,632.028054363,88.8595020021,25.4521188861,917.405587141,632.028054363,1.68649
-28.932,64,672.077662152,1061.15465728,0.770572854193,28.0403514012,28.0394549611,994.478571722,64,0.0,36.1297,28.0315,0.906905,32.9639,28.0315,672.077662152,90.2152895203,38.2138034056,941.800789897,672.077662152,1.77494
