AverageAbsY,AverageQ,AverageAbsQ,AverageQLoss,MinReturn,Iteration,AverageDiscountedReturn,AverageReturn,AverageEsReturn,MaxEsReturn,AverageY,PolicyRegParamNorm,StdReturn,StdEsReturn,AveragePolicySurr,MaxReturn,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,AverageAction,Epoch
1.84757408886,1.84732,1.84893,0.0195533,63.0,32,75.7314301876,189.226415094,14.347826087,48.0,1.84751483738,24.2322,116.983572707,11.4218530527,-2.08251,489.0,0.060123970147,29.7652,3.0,0.324807,32
1.92080712899,1.92051,1.9223,0.0210879,295.0,33,99.483157083,896.083333333,17.7142857143,91.0,1.92068901701,24.4856,234.734764622,16.0531642249,-2.16268,1000.0,0.0614666296313,30.541,4.0,0.360758,33
2.00834569187,2.00771,2.00998,0.0236267,1000.0,34,99.9956828753,1000.0,16.3225806452,53.0,2.00818795867,24.7296,0.0,11.4663240356,-2.25139,1000.0,0.0634002824137,31.12,4.0,0.253904,34
2.08176680827,2.08148,2.08384,0.0273737,52.0,35,73.0059111737,169.158730159,16.2950819672,81.0,2.08153265373,24.9938,139.642423893,13.5142235481,-2.33751,905.0,0.0690662957573,31.8184,5.0,0.258437,35
2.16198537182,2.16108,2.1645,0.0308093,49.0,36,46.8193600282,63.3333333333,16.8983050847,70.0,2.16147793332,25.2859,10.2789194221,16.7632516922,-2.42742,104.0,0.0725173712396,32.4615,3.0,0.346503,36
2.24719505657,2.24636,2.2494,0.0295127,39.0,37,36.9352940271,45.9174311927,16.35,56.0,2.24666748109,25.4421,3.08333323855,13.7074493129,-2.52516,59.0,0.0706092101501,32.901,3.0,0.33625,37
2.32742014427,2.32659,2.3298,0.0312329,1000.0,38,99.9956828753,1000.0,20.1176470588,86.0,2.32678938886,25.5202,0.0,15.9381735107,-2.6053,1000.0,0.0729183847251,33.5067,3.0,0.266744,38
2.41548364262,2.41474,2.41791,0.0309063,52.0,39,69.67107903,486.545454545,14.2285714286,59.0,2.41495135043,25.6734,468.749082644,12.2464822104,-2.70315,1000.0,0.0715864373593,34.0626,3.0,0.246039,39
2.50140677663,2.50049,2.50368,0.0349034,1000.0,40,99.9956828753,1000.0,15.9841269841,82.0,2.50098897116,25.8493,0.0,14.5901598319,-2.79586,1000.0,0.0746269139781,34.5489,3.0,0.28235,40
2.5727826059,2.57195,2.57568,0.0394392,49.0,41,68.1119230075,467.130434783,15.2575757576,54.0,2.5721575286,26.0548,467.391122346,12.9513198182,-2.88405,1000.0,0.0813676815613,35.158,3.0,0.253792,41
