AveragePolicySurr,Iteration,QFunRegParamNorm,AverageQ,AverageAbsQ,AverageEsReturn,AverageQLoss,PolicyRegParamNorm,AverageAction,AverageAbsQYDiff,StdReturn,AverageDiscountedReturn,MinEsReturn,MaxEsReturn,StdEsReturn,AverageAbsY,AverageY,MaxReturn,Epoch,AverageReturn,MinReturn
-0.290406,9,19.1809,-0.180189,0.220328,11.7793416115,0.117148,19.2309,0.0710641,0.273028330116,0.56667905128,12.2708467783,-1.27505318798,113.342969163,15.4660106904,0.126964091177,-0.00606417718297,14.2167950806,9,12.7298503426,11.4666992733
-0.149808,10,19.3412,0.120026,0.142363,21.8688639645,0.00378997,20.9617,0.999997,0.0356979417528,0.044118646332,5.13602090429,-0.610593646965,58.7156123833,17.1687046992,0.140734010237,0.120428741198,5.41986791154,10,5.29708241265,5.07914037375
-0.251723,11,19.5338,0.218935,0.229692,4.06597011614,0.00156307,21.461,1.0,0.0234603416263,0.017886754244,3.03635691235,2.90396557055,8.60528254162,1.20097993451,0.230861538403,0.219370224723,3.12239800477,11,3.085531773,3.04865082742
-0.290048,12,19.7892,0.278162,0.29616,3.81205176962,0.00108113,21.4611,1.0,0.019486548754,0.0175870360668,3.03690541144,2.92335959985,8.89579776916,0.826462383303,0.296407147733,0.278375500043,3.12126176491,12,3.08609471611,3.05023507139
-0.290577,13,20.1538,0.305851,0.331516,3.6228925308,0.0013248,21.4611,1.0,0.0206323737987,0.0176856977554,3.03642526631,2.55364647129,6.60402110051,0.625181497811,0.331813805516,0.305894344139,3.12269218364,13,3.08560310097,3.04934382574
-0.2648,14,20.6475,0.29759,0.334162,3.72825785135,0.00131009,21.4603,1.0,0.0207895481171,0.017530965407,3.03663549606,1.64864671091,9.15981661724,0.909857696495,0.334562253097,0.297543299832,3.12206269859,14,3.08581958097,3.05044836301
-0.237812,15,21.3465,0.281027,0.325483,3.72691160354,0.00143694,21.4574,1.0,0.0219462626151,0.017492717404,3.0368916195,2.33940882724,6.24304314495,0.644680961117,0.326146204047,0.281034607103,3.12139179689,15,3.08608040217,3.04771648684
-0.208426,16,22.1875,0.254259,0.304951,3.66716998929,0.00153617,21.4455,1.0,0.021637849807,0.0176399367444,3.03624847806,2.8849262151,7.34729791721,0.762917644205,0.305549548864,0.254314216449,3.11956564284,16,3.08542079384,3.04971699435
-0.257402,17,23.1391,0.250818,0.302356,5.15188474434,0.00152596,23.8023,1.0,0.0223225965848,0.0610935121399,5.67611115072,2.48373976165,13.1190062899,1.94535558951,0.303156678457,0.250986394279,6.03586619446,17,5.83488291373,5.69125286847
-0.348054,18,24.0805,0.326863,0.366248,7.44178553816,0.00195393,23.8023,1.0,0.0243515216088,0.0612210996454,5.67612665729,5.30979367936,41.1621758328,4.22642761549,0.366770083061,0.327113613993,6.00524266597,18,5.83486187758,5.70448807418
-0.366166,19,24.8513,0.357149,0.391971,7.06016676831,0.00162808,23.8023,1.0,0.022545067806,0.0613837092877,5.67763675848,1.8026896886,16.4700788214,2.07036434436,0.39229206145,0.357297336385,6.01068229846,19,5.83644698246,5.69946814273
-0.370754,20,25.9275,0.372439,0.404788,7.11382686816,0.00193726,23.8023,1.0,0.0243101465056,0.060678498171,5.67488995536,5.17151814228,41.2443429045,3.64013993065,0.404974286667,0.372508396288,6.0101418766,20,5.83358821991,5.69228454153
-0.380636,21,26.8292,0.385109,0.41363,7.06353000341,0.00196339,23.8023,1.0,0.0245521401746,0.0599160664022,5.67894049956,1.89262167876,34.5061380018,3.63321068356,0.413922552826,0.38524279043,6.01537309018,21,5.83774881189,5.69771709398
-0.38595,22,27.6877,0.391239,0.418803,7.46905932333,0.00207807,23.8023,1.0,0.025579672291,0.0614631767687,5.67635084731,2.73741878759,40.1396519172,4.55756363119,0.419095377992,0.391329096809,6.01545883732,22,5.83514065963,5.6946732248
-0.394577,23,28.5491,0.396684,0.423247,6.79433358422,0.00199679,23.8023,1.0,0.024370341828,0.0624864373572,5.67806495167,5.27798469321,15.5193186003,1.64311713961,0.423486235335,0.39673796489,6.01450962289,23,5.83690654577,5.69306343918
-0.398758,24,29.3591,0.40343,0.428153,6.88406183929,0.00218425,23.8023,1.0,0.0248451928403,0.0602502155616,5.67743041334,3.7691402857,22.4779113819,2.43279142788,0.42850702163,0.403562534487,6.02020531722,24,5.83621472067,5.70056424939
-0.396627,25,30.0015,0.405618,0.428592,6.54279407392,0.00187066,23.8023,1.0,0.0234165414637,0.0598936157895,5.67611906599,4.40570653804,16.7809025068,1.70003861573,0.428803850174,0.405599373618,6.02836446772,25,5.83488723875,5.69964409105
-0.395256,26,30.6927,0.404355,0.428394,6.96358605765,0.00199682,23.8023,1.0,0.0235754583261,0.062035654356,5.67839733057,5.24265676185,29.874182422,3.20751816801,0.428709130222,0.404444538873,6.01304539504,26,5.83720351447,5.68175974043
-0.395558,27,31.3102,0.404799,0.428284,7.30861359838,0.00205716,23.8023,1.0,0.0242611366382,0.0607153292677,5.67924891666,2.92306513698,30.4142606426,3.72254724819,0.428501729851,0.404774113022,6.01366325192,27,5.83795658618,5.70292017045
-0.387779,28,31.9148,0.399714,0.423419,7.33786785776,0.00168114,23.8023,1.0,0.0214876747238,0.0608128306591,5.67797167668,5.42355358387,38.6612694958,4.00282212034,0.423674735666,0.399762599034,6.01991049413,28,5.83671298026,5.70257662063
