MinReturn,AverageEsReturn,AverageAbsQ,StdForwardProgress,AverageForwardProgress,AverageAbsY,AverageDiscountedReturn,MaxEsReturn,PolicyRegParamNorm,StdReturn,MinEsReturn,AverageAction,MaxReturn,AverageAbsQYDiff,MinForwardProgress,AveragePolicySurr,AverageQLoss,AverageQ,StdEsReturn,AverageY,QFunRegParamNorm,MaxForwardProgress,AverageReturn,Epoch
-14.4357440492,29.5411524445,0.00478325,0.479248538313,0.342191158451,0.00686961382229,28.1814831495,102.797954238,14.1339,52.2447022164,-51.872050802,3.25174e-05,129.211965535,0.00363751136529,-0.33236074565,-0.0107428,2.38072e-05,0.00458203,37.611213677,0.00628734173323,7.99112,0.842605054585,64.6413695676,9
-16.4935743276,44.7220898654,0.00931924,0.261193192656,0.604243408673,0.00941425554139,41.261124637,100.601582558,14.8361,27.8887518825,-32.6447246373,0.836583,113.700659452,0.00173437450081,-0.394356969722,-0.0102816,5.82463e-06,0.00896807,43.9893048298,0.00896577116672,7.95957,0.764168934702,86.6801976523,10
-23.6883306013,64.8644471506,0.0142603,0.284328485804,0.544595575596,0.0143029241124,38.4226921005,105.598427208,15.2598,28.681571361,-9.82883364765,0.9202,111.382714695,0.0014092600913,-0.422564351465,-0.0145489,4.22461e-06,0.0133201,41.3247270904,0.013322331483,8.04463,0.770974064321,81.0280785599,11
-15.2339222632,80.4958526944,0.0197117,0.328712393677,0.525332719107,0.019746444948,37.9650850481,115.949066521,15.7716,33.7531378005,49.2163765655,0.895016,123.088318235,0.00156609955944,-0.409860001838,-0.0197893,6.21676e-06,0.0182249,20.5612073912,0.0182280948979,8.24748,0.756499622696,79.0563213671,12
-21.2837073199,89.2626139248,0.0253224,0.229798539306,0.583471671877,0.0253505803094,40.5232154792,102.763813234,16.0519,24.3587482915,66.7143693438,0.916679,110.599177546,0.0017810793468,-0.419082143323,-0.0251107,9.07399e-06,0.0234041,10.4270131495,0.0234049133938,8.53441,0.742156383365,83.860328719,13
-13.6890217407,80.7964323333,0.031542,0.237635474023,0.574769949473,0.0315723806745,40.4944795918,106.609818021,16.15,23.6734894822,34.8126204548,0.91697,115.753615193,0.00198923704487,-0.417525676757,-0.0308929,1.24746e-05,0.0292412,20.2788013182,0.0292437474153,8.82075,0.743953766768,83.3440826228,14
-19.7099187511,65.7023619702,0.0377812,0.348109008275,0.515333982963,0.0378157470809,37.8220736722,98.1101026427,16.2736,33.759028021,-13.9922792388,0.939011,111.389503988,0.00218961125319,-0.477402963243,-0.0365013,1.54284e-05,0.0349134,40.3733696697,0.0349145555232,9.07068,0.783387873985,78.0388620226,15
-23.0626581977,75.8100870455,0.0437927,0.264283425863,0.550948264932,0.0438300167605,39.3177147074,92.7745246871,16.3687,26.2757872701,3.02637968695,0.924874,104.610244843,0.00243672968336,-0.462010924912,-0.0418778,1.9275e-05,0.040405,25.5389656648,0.0404092952616,9.31458,0.746145411294,80.6023055174,16
-17.4077570244,74.7331287475,0.0500923,0.218419294587,0.555345619618,0.0501296267503,39.9372380479,93.9824574936,16.4874,21.9335794972,6.06842096841,0.927059,113.85584264,0.00258349715408,-0.416346727022,-0.0474919,2.0879e-05,0.0461254,26.8182354994,0.0461291900703,9.5693,0.805625324001,80.461815158,17
-17.7987535248,72.7375713337,0.0561115,0.383791837392,0.49008925065,0.056141638901,37.2961894321,106.164497782,16.5792,39.0210135925,-6.98202846706,0.959469,117.20236555,0.00269170993028,-0.462499648943,-0.0531291,2.33005e-05,0.0516947,30.9272254402,0.0516931523884,9.76847,0.826716745337,74.5112667791,18
-19.8289064666,54.8480843227,0.0616148,0.23406422562,0.574200122486,0.0616439385791,40.990236355,93.8772785863,16.7557,23.3356469703,-11.3138621837,0.922715,110.00196315,0.002903889833,-0.450717007394,-0.0588038,2.67797e-05,0.0570099,38.3429830119,0.0570098926957,9.96167,0.789201661888,82.5739873816,19
-18.7385718405,67.1670749192,0.0675392,0.272463725233,0.498310218298,0.067579797195,37.9953248361,97.8196289955,16.9342,25.6928155025,2.81764281174,0.945397,115.4893301,0.00308333138363,-0.471723057257,-0.0645522,2.87843e-05,0.062606,26.5492537689,0.0626144661318,10.1528,0.718562114624,74.5416041868,20
-17.0515393994,66.4214098499,0.0731292,0.202479412574,0.536038334071,0.0731645219071,38.3375320577,93.5331059274,17.0681,20.7368948186,-16.9802106326,0.948346,114.659083072,0.00327347944947,-0.414533000497,-0.0694702,3.13874e-05,0.0677466,35.4594499983,0.0677460198168,10.3465,0.726814721397,79.0911604355,21
-21.7914700704,77.3677422868,0.0792533,0.215139771524,0.542350425651,0.0792769658728,38.6510805017,98.4535387272,17.145,21.7585087412,3.22971174943,0.951922,109.430258181,0.00354013083477,-0.525581835717,-0.0751705,3.96402e-05,0.0736832,26.6931379698,0.0736846361296,10.5338,0.706113134697,79.5192312468,22
-21.3706298099,84.2332027888,0.0855504,0.326568935884,0.53629343871,0.0855910389765,38.0394700756,102.856981906,17.3025,34.023438377,19.6505427693,0.880931,116.158042131,0.00356088014466,-0.472168672986,-0.0816778,3.87133e-05,0.079986,23.7832492019,0.0799916626652,10.7094,0.794163417219,79.9513300627,23
-22.460359883,68.3833883818,0.0918345,0.296582566646,0.50098329995,0.0918462495822,37.8503984941,102.117968958,17.4131,29.9642299123,-18.8692465865,0.876035,116.908452036,0.00369647553115,-0.440885453656,-0.0879947,4.04574e-05,0.0860876,38.0108595545,0.0860852857783,10.8694,0.79348153873,74.6792442477,24
