Epoch,QFunRegParamNorm,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageEsReturn,MaxEsReturn,AverageAction,MinReturn,StdReturn,PolicyRegParamNorm,AverageReturn,MaxReturn,MinEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageY,AverageQLoss,AverageAbsY,AveragePolicySurr,Iteration
9,11.5822,1.92990164238,0.777439,3.23407108531,-9.68405779163,1.1168935234,0.555825,-8.21902933663,0.0389223677247,11.7808,-8.10251288491,-7.96914383542,-18.5395093187,-7.50650319104,0.997373,2.07696310728,5.09579,2.28617954383,-1.24655,9
10,12.1156,0.365174128735,0.847546,1.68842254451,-7.74451845144,-2.55766099657,0.999946,-8.24301229838,0.064480556284,12.766,-8.09006431634,-7.94243189485,-14.7469332639,-7.81288395973,1.24709,0.86180772458,0.314217,1.34322504924,-1.4783,10
11,12.475,0.147883254594,-0.0386696,1.88647954898,-4.25440736755,0.113574215111,0.999997,-3.94712452593,0.0696122670618,12.9871,-3.78309022068,-3.5632306445,-10.7283591566,-3.65667973019,1.38607,-0.0375917290704,0.0388586,1.39554401858,-0.332852,11
12,13.2387,0.159531459924,-0.623226,0.715097617281,-3.30524065606,2.26819788055,0.926353,50.1486027018,82.2656380898,13.3694,100.994101183,446.432171799,-3.95201992876,61.3537902001,1.87862,-0.623200143376,0.0459638,1.88256856952,0.177185,12
13,14.2237,0.186369874587,-0.300144,63.9108374251,26.439989757,162.899161147,0.977537,38.7454487319,5.5067798194,14.3536,50.1008877835,62.992679291,-42.7740097442,45.477578224,2.36993,-0.298572296326,0.065795,2.37734261171,-1.58725,13
14,15.1993,0.196359411584,0.801218,95.7408173972,120.013756303,320.27957129,0.9876,39.6719488032,5.21819774625,14.8654,50.4758709778,62.8191268494,11.6513059069,45.5540683251,2.89098,0.80223780883,0.0767906,2.89871899045,-2.72777,14
15,16.1838,0.220292576293,1.63681,131.097568956,129.680022938,333.896997895,0.979115,48.7622107996,27.8559160255,15.2997,87.4825955531,198.71542773,8.95141615674,60.7736953542,3.50665,1.63777341437,0.106902,3.51506181377,-3.62861,15
16,17.0433,0.243469047412,2.60926,130.75600319,145.875700319,405.35995272,0.96638,57.189907994,46.3920246902,15.9097,97.4464769942,367.842933224,55.4519624506,62.8508907646,4.22185,2.61005577964,0.162379,4.23192585081,-4.64589,16
17,17.8458,0.262312968187,3.46164,71.6330869422,83.5808778074,242.493903123,0.974009,47.4091652637,53.3445480194,16.5901,89.5751644814,399.446423531,-11.7346525482,60.0942647407,4.91394,3.46240032299,0.18942,4.92614583205,-5.44633,17
18,18.6282,0.302659640093,4.27162,89.8553820395,103.738148989,292.581229221,0.807121,-46.9521823102,25.6517617598,17.5264,-6.33792046415,111.315039203,6.31796010958,10.8623644095,5.65712,4.27272280875,0.280246,5.66974220374,-6.4231,18
