Epoch,QFunRegParamNorm,AverageAbsQYDiff,AverageQ,StdEsReturn,AverageEsReturn,MaxEsReturn,AverageAction,MinReturn,StdReturn,PolicyRegParamNorm,AverageReturn,MaxReturn,MinEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageY,AverageQLoss,AverageAbsY,AveragePolicySurr,Iteration
19,19.5088,0.37071588145,5.20785,142.174280555,63.4432574017,404.191224819,0.778029,-18.2355752066,99.4827648128,18.5592,52.4319779347,555.976342364,-23.1626938909,34.494075113,6.48001,5.20909930966,0.422422,6.4947040328,-7.59645,19
20,20.2433,0.419288525929,6.34073,135.783066853,125.408917334,327.774785831,0.817599,-12.6985923026,86.4906202799,19.3413,235.201678732,393.834564108,1.64639203448,95.7081722381,7.56789,6.34242576002,0.502837,7.58763195957,-8.68508,20
21,20.9026,0.466607700471,7.51543,132.80871808,91.456471042,358.471078833,0.832916,7.54223625769,141.955671387,20.3133,117.699661242,559.2230341,-5.92065398383,55.491729709,8.66092,7.51752062663,0.637966,8.68144115912,-9.72462,21
22,21.643,0.512367824221,8.66384,155.609853375,169.466079106,445.967085867,0.692736,13.9523619613,334.535483344,21.068,266.562706917,1008.25027875,-10.7227378934,73.2121128181,9.75148,8.66611709169,0.787469,9.77019984051,-10.7469,22
23,22.3528,0.538560318038,9.6395,138.531221038,199.468322805,452.431039577,0.801988,106.929267916,216.837465098,21.5473,439.879607529,1199.78535341,30.312173497,122.897792164,10.7208,9.64133869038,0.946501,10.7374958377,-11.7691,23
24,23.195,0.577671874711,10.7313,131.99401509,246.213493045,382.599082081,0.682348,52.7753063368,155.812866957,22.0709,209.263731101,938.820085705,32.4516552901,91.1402401271,11.8069,10.7335308548,1.07087,11.8223582707,-12.9524,24
25,24.0385,0.636277502912,12.0556,87.7663796966,263.409098411,394.397511154,0.694872,121.229294566,167.65548316,22.7005,402.707170364,821.561932207,147.633936075,107.893503921,13.1036,12.0580738076,1.35711,13.1187865271,-14.3154,25
26,24.8538,0.672643301942,13.366,152.928190647,227.408582693,410.264286901,0.726482,242.043857887,37.4525550204,23.2336,366.003170829,510.641779925,10.0650095372,122.224556873,14.3916,13.3685902442,1.36369,14.4072857774,-15.646,26
27,25.6254,0.729891858295,14.7547,134.220623615,196.911144211,442.719661441,0.682005,250.609704679,114.006767904,23.7682,369.185202558,771.247856635,56.0230621444,119.749213034,15.7432,14.7582575572,1.68483,15.7567153861,-17.089,27
28,26.37,0.795129977396,15.9573,119.661284576,163.047346008,319.443220571,0.700313,-17.0268092367,215.75336826,24.1909,416.309283626,880.61401448,25.3264371613,107.44077248,16.9225,15.9610148837,2.03079,16.9381379159,-18.2928,28
29,27.0962,0.840182632186,17.2997,115.25807531,223.002517007,389.352198438,0.681464,58.7709187906,228.826185064,24.679,452.438481573,1004.64887394,15.3933613557,112.625888753,18.2192,17.3025586162,2.19775,18.2308311995,-19.6177,29
30,27.8809,0.917729838558,18.7039,93.2598025558,191.029576786,343.912334551,0.69217,65.9820830499,102.723173277,25.0699,279.001062963,477.345670665,5.37830906873,107.242557657,19.5879,18.7076370721,2.54137,19.5985903556,-21.0018,30
31,28.6112,0.97993889264,20.0336,114.2787184,140.356456371,308.534484844,0.685331,26.9026329907,138.888030818,25.4861,294.98355128,560.987665555,2.20115049869,103.331962989,20.8554,20.0384282145,3.03583,20.8633649858,-22.3809,31
32,29.3736,1.05797350784,21.2442,106.7049451,84.226914687,243.112986217,0.748018,21.1720905758,351.566446037,26.0071,673.714962759,1025.26965345,-95.4563095077,88.2452211504,22.0107,21.2486622368,3.2532,22.0178778505,-23.6571,32
33,30.1704,1.14414445256,22.314,99.4051506134,94.1662603471,291.259369852,0.703461,10.4101620461,151.929171535,26.3173,314.14033176,738.970152154,13.7870302086,108.921750243,23.0743,22.3195565796,3.86853,23.0859169848,-24.7933,33
34,30.8634,1.2391698297,23.4745,28.7795019826,34.9179409132,99.7632972679,0.686148,0.40679608513,251.356468804,26.721,495.701420872,1023.3463572,4.10477657322,100.063509685,24.2231,23.4817991441,4.59475,24.2362849649,-26.0528,34
35,31.592,1.32741159503,24.8909,124.029723967,170.440676496,391.304478594,0.696912,6.25519801092,232.639419918,27.119,408.785796159,1019.75940291,15.1981417986,97.4343622853,25.6166,24.8974814005,5.48609,25.6285978158,-27.5466,35
36,32.2468,1.42260939365,26.4991,102.515321787,123.833179142,315.575908819,0.666115,146.080270658,187.292532609,27.4857,461.234108238,895.035653998,-9.9111147349,112.501247326,27.1818,26.5066368653,6.20154,27.1954273006,-29.2343,36
37,32.977,1.49075113591,28.1611,124.593312167,159.200197987,338.649397154,0.665806,107.544340224,186.756368977,27.8885,471.1123909,823.932744631,23.5356041466,106.033751636,28.8121,28.1669653065,6.68266,28.8264210291,-31.0072,37
38,33.6713,1.57928866424,29.8586,162.078508784,181.2722007,410.357430483,0.662177,209.905973688,73.4145683695,28.2126,304.423911966,505.441282127,5.12416005869,122.933158651,30.4596,29.8667649488,7.27896,30.4733308973,-32.7411,38
39,34.36,1.65998018447,31.6813,101.623893866,155.966880626,292.184442209,0.649526,179.051739999,123.800527555,28.4771,312.324861568,865.822542722,37.1689052484,108.04142956,32.239,31.6900573696,8.18894,32.2533764036,-34.6,39
40,34.9826,1.73701698326,33.3898,153.355486258,175.463097001,411.911095915,0.611513,123.034189778,115.651212148,28.77,235.189515751,866.590989797,18.4498238211,103.751254391,33.9128,33.3964856747,9.00581,33.9273974503,-36.4973,40
41,35.6677,1.814151945,35.3561,91.1075375715,156.248605946,273.098377565,0.652558,192.237250664,158.154440246,29.058,357.548750941,828.480030033,9.09495644973,107.984062289,35.8403,35.3633702725,9.67396,35.8547026217,-38.5079,41
42,36.2429,1.89994825969,37.2883,67.3076657375,64.534239903,155.395278665,0.663929,51.7901380562,186.73213888,29.2921,369.137868655,850.572715171,-57.3660337102,104.047384602,37.732,37.2970699084,10.8296,37.7518170788,-40.5055,42
43,36.8377,1.98420402693,39.1389,93.1292468074,133.345050941,275.185704713,0.62456,69.1825966915,155.446607263,29.5031,376.312545223,847.959043448,1.85022188059,103.307256131,39.5574,39.1498862068,11.8521,39.5706191269,-42.447,43
44,37.4847,2.0566210362,41.3793,146.478325719,207.943648256,408.356219432,0.631943,195.337785081,99.9186460795,29.7817,325.104631408,696.31272949,33.8250145006,111.426286105,41.7481,41.3877573614,13.0956,41.7611583164,-44.6956,44
45,38.0265,2.08716715935,43.2682,92.940343106,100.988528188,276.850322948,0.637562,169.946802939,93.0895557109,30.0242,315.366949272,635.470565627,3.71364971828,120.227938907,43.5988,43.277269168,12.6921,43.6078162227,-46.6775,45
46,38.592,2.18958042816,45.1516,66.5758760784,77.1790010599,214.574087813,0.657088,169.665133671,142.015644259,30.31,313.393223248,832.10494038,1.56937170858,110.599617655,45.4506,45.1624308632,14.6333,45.4621746089,-48.6447,46
47,39.1243,2.22022040607,47.2231,106.051402685,145.344519841,370.62113618,0.668316,92.8673834181,79.367374432,30.6125,211.518028255,498.866854682,-4.11284934366,115.749483011,47.492,47.2314699133,14.7364,47.4988521575,-50.7273,47
48,39.6594,2.2872314698,49.4093,85.1408086053,122.662754268,260.618745304,0.69058,154.427507853,122.740240955,30.9077,312.795228787,710.88554593,17.3353119641,90.0055819907,49.6697,49.4199884397,15.9257,49.6789369791,-52.9639,48
49,40.172,2.34194885023,51.3103,138.428973777,160.83070037,420.749620895,0.719236,-56.0847745044,73.8653711859,31.1951,223.110553525,470.762804275,1.21927748792,70.41170167,51.5719,51.321702027,16.4103,51.5786432779,-54.9104,49
50,40.6347,2.38329126807,53.5659,173.663518633,209.758260415,534.014233544,0.711836,-20.149381926,120.860894496,31.5176,254.824555568,679.250504501,5.38662682078,90.3899016432,53.8115,53.5781306103,16.3,53.8166691183,-57.1419,50
51,41.1244,2.51598412976,55.517,94.0239258643,110.612457975,272.526256535,0.716146,-11.4549391916,110.526875114,31.8658,254.55916881,503.01871138,7.44102429063,93.9592375325,55.7532,55.5297278928,19.3611,55.752403501,-59.2077,51
52,41.6266,2.54603551028,57.3382,147.042889102,210.600522538,396.398572466,0.726341,69.0353414977,90.64463937,32.2386,277.848646915,482.443395564,8.20649993085,101.076019471,57.5767,57.3503782822,18.908,57.5692396586,-61.0571,52
53,42.0723,2.59653931762,59.3208,131.852839995,127.620545924,350.010636115,0.704002,44.0344391684,78.3156272474,32.5918,229.409986738,461.757153844,-60.5193391723,98.8951934711,59.5425,59.3340893469,19.8803,59.5336941689,-63.0596,53
54,42.5702,2.70987045593,61.2488,89.4107692896,89.9798518054,261.267506067,0.735165,19.2658764457,138.070576146,32.9945,331.751756708,648.455221517,-2.21194268419,105.404544866,61.4701,61.2607457953,21.0419,61.4595250385,-65.0168,54
55,43.0257,2.74665617076,63.1761,88.8871968354,152.178817179,252.430381321,0.708432,-87.1226834035,170.808759428,33.3318,165.777628473,547.589288495,-1.71642680088,56.9400080165,63.3976,63.1890037629,21.7886,63.3849943294,-66.9716,55
56,43.5163,2.78466425117,65.1653,167.77607384,140.566077351,504.689998981,0.709219,17.2833706881,92.3898393682,33.6732,290.630122804,486.005934737,-1.95742065668,120.714754111,65.3812,65.1727713526,22.2514,65.3624592439,-68.9851,56
57,43.9925,2.88749153759,67.0733,133.265536808,192.792375413,385.949154446,0.727659,-63.0274174884,166.219032214,33.9806,151.828649538,545.793485107,42.3982230396,56.7649251321,67.293,67.089091492,23.8131,67.2808436598,-70.9844,57
58,44.4436,2.9030898333,69.0884,138.667081654,136.146660918,445.774078779,0.72075,-5.42796137085,145.731116886,34.2901,214.713658574,517.677491549,-30.7509918544,80.3916146934,69.3021,69.1007999765,23.9332,69.2871328378,-73.0249,58
59,44.8875,2.99349661677,71.0867,92.3536556609,129.314603454,310.126367804,0.732067,15.9495825371,86.7486937128,34.579,208.057999868,460.675658077,4.95788151579,100.2876935,71.2924,71.0968517909,25.4782,71.2742442759,-75.0544,59
60,45.3674,3.08300576126,73.1508,97.2231437827,181.640982305,381.991495786,0.740434,107.283338906,87.4591670641,34.8352,259.347764962,520.372499071,26.6682900267,116.709942708,73.3512,73.1687361802,27.2447,73.3392711099,-77.2461,60
61,45.843,3.13341867839,75.1694,87.2937510161,151.459526279,322.181302512,0.756452,108.770982774,115.713229201,35.1073,253.846233021,730.184969447,52.2115853079,110.026378237,75.3749,75.1839901587,27.8305,75.3523483055,-79.3093,61
62,46.2933,3.18728557931,77.1899,101.962585828,200.541759202,351.46935005,0.736494,103.999578074,75.4603355369,35.4313,207.66862987,559.141892468,37.7967205413,107.776411385,77.3771,77.2037580965,28.5129,77.3569689824,-81.3399,62
63,46.6799,3.2876832581,79.2113,76.4643015603,127.95939814,253.008622341,0.740923,100.594534231,79.1568461376,35.7424,215.001386176,530.384258594,16.8248631589,94.949515511,79.403,79.225781237,29.8014,79.3805000427,-83.295,63
64,47.1541,3.3506120186,80.8688,99.9004428329,137.334972979,286.985127661,0.729396,12.0075326092,68.0212202463,35.9936,185.776268385,364.272260439,10.3819995317,88.4524525591,81.0664,80.8824337595,32.3463,81.0389486637,-85.005,64
65,47.5616,3.41740085031,82.6854,83.7834971087,91.1399056831,284.270114796,0.749814,94.7595228529,53.4291440483,36.2436,179.695960191,316.119121156,-2.54156344516,98.2764227515,82.8637,82.7047183842,33.6229,82.8488857727,-86.8378,65
66,47.9856,3.48109695184,84.6359,53.9839672234,140.24039086,239.958270228,0.757482,101.37079774,64.098379697,36.4918,185.698399057,462.522297944,71.8443028968,97.7650406967,84.812,84.6464646583,34.9433,84.7839625164,-88.8773,66
67,48.3747,3.48673883796,86.7087,66.1559642931,75.3172410429,188.650921469,0.710676,70.5283236945,80.2650134527,36.6627,192.788547877,410.351309368,-6.42612222667,104.649012067,86.8704,86.7235868679,34.4995,86.8487038328,-90.9598,67
68,48.7875,3.51856386863,88.4199,76.3350780962,173.543303208,277.25781079,0.725897,81.296392668,93.928334919,36.9015,194.881898502,420.143727067,-0.531820533872,97.5091976978,88.5845,88.4332612196,35.859,88.5569456138,-92.7698,68
69,49.2548,3.58250010541,90.2884,78.5256083231,133.452332405,228.991048161,0.702982,112.077307804,63.335229363,37.1157,252.148681188,361.800177699,1.04820673326,133.94874742,90.4422,90.3010013824,37.3224,90.4164572477,-94.6662,69
70,49.6756,3.62890560881,92.4813,73.7580062946,155.359499167,294.194002535,0.749571,116.705214132,88.0045501883,37.3324,241.224402807,501.135647367,3.64233532539,107.46392736,92.6263,92.5006765817,37.432,92.6109053751,-96.8209,70
71,50.1231,3.66943360724,94.6234,67.091900285,167.974347933,335.527711873,0.684599,104.673206042,86.9442339688,37.5079,242.265490426,523.876448156,101.342301473,109.776076144,94.7606,94.6395572414,38.2134,94.739092314,-98.9437,71
72,50.5839,3.74783481108,96.1895,121.822587578,161.33748601,449.303154914,0.749375,93.0501233368,99.6356717295,37.6642,228.627663983,517.337178603,12.6536908007,99.3196686208,96.3408,96.2065930669,42.0477,96.3195901865,-100.545,72
73,50.9927,3.81488814366,98.1166,91.9958862883,103.817707158,349.928966787,0.752148,-19.5316325829,63.3178883417,37.8612,192.001498612,367.312884172,0.265395287527,94.4691727122,98.2631,98.1337470711,41.858,98.2355820597,-102.513,73
74,51.3964,3.84387329686,99.9071,100.894257625,148.56383729,330.113623237,0.760426,92.7114267274,96.3848465171,38.0587,191.031840604,521.972635873,14.1288528469,91.4640237593,100.046,99.9241132028,44.4548,100.024567964,-104.383,74
75,51.8263,3.82374414326,101.734,102.148107223,148.68850684,325.332295535,0.72852,109.148274954,86.003285996,38.2869,242.301526353,490.037885542,-40.9517713194,98.0076902801,101.878,101.751258795,42.0372,101.85296169,-106.216,75
76,52.2509,3.89445535123,103.444,69.9981988772,99.7996090816,213.85317717,0.76458,50.4339489619,99.4216293724,38.4882,259.309977513,478.722435192,-4.78665398866,107.641091482,103.579,103.462063592,44.4019,103.55237787,-107.981,76
77,52.6887,3.96294608578,105.269,100.56956031,143.159093471,308.526638943,0.759539,9.74978710144,99.3078426562,38.7621,212.123341082,523.201946584,17.0202921791,98.9045807004,105.409,105.286525047,47.566,105.381934384,-109.905,77
78,53.0651,3.96622563333,107.103,107.134120581,102.923940442,335.047843644,0.73113,116.87560223,73.3213585683,38.9502,213.723748128,433.496866199,4.29886586315,111.641149808,107.233,107.122979764,45.2183,107.209387235,-111.675,78
79,53.5107,4.01130774405,108.968,104.817189062,109.610395122,298.759697994,0.769403,-144.856564476,144.284885889,39.1457,69.5947004646,556.158073129,-54.2327109471,25.644560981,109.097,108.985790728,47.6415,109.073815911,-113.485,79
80,53.8878,3.99942872472,110.548,121.928721918,170.216562337,342.685949093,0.755879,1.18904291945,135.561450172,39.3366,233.780885932,669.970225293,3.30134533667,77.6598182908,110.67,110.562502704,46.6417,110.642636316,-115.084,80
81,54.236,4.07454418007,112.142,75.1922018276,160.154092488,292.578732024,0.792797,28.194363911,93.2085036303,39.5664,259.857498295,488.271078511,56.166914359,100.625440332,112.273,112.163149019,49.9051,112.252096224,-116.646,81
82,54.5747,4.15447995778,113.744,85.6470982807,227.099764401,350.644265037,0.763339,-51.4895165223,115.839309622,39.7487,200.395600122,447.516875017,71.1100309137,77.5068806149,113.886,113.76629107,50.5664,113.857668443,-118.298,82
83,54.8794,4.10296506399,115.57,205.620399172,162.903482875,545.330927906,0.73998,31.9258390408,95.5281697581,39.9705,237.129568738,471.709074434,-41.2666383516,96.8391079749,115.7,115.585256291,49.2547,115.664969639,-120.04,83
84,55.2402,4.12021509446,116.731,93.7232873761,107.293633915,262.665695595,0.755398,8.93997234347,144.680475088,40.172,262.626252965,754.804955013,-17.7303347812,90.8914544521,116.857,116.749987021,49.3022,116.83415658,-121.212,84
85,55.622,4.18870371573,118.336,96.2877325826,114.308279335,253.191702804,0.77896,-134.863900311,144.803798417,40.3535,69.7163786363,624.021343175,-2.1091104954,26.0642084273,118.459,118.349124602,51.6528,118.431641776,-122.835,85
86,55.9232,4.18671127677,120.084,101.055090491,113.155322543,299.510585153,0.780817,-17.3353599618,145.018102114,40.5261,248.019679579,706.219625226,0.894527228514,89.887296265,120.215,120.10727856,51.3172,120.194976675,-124.576,86
87,56.2774,4.22986268878,121.479,103.956107908,109.498235798,331.122924258,0.782732,2.26211490416,114.492147433,40.699,301.5591531,649.519838223,-2.9455862431,121.560633857,121.616,121.495210885,54.5888,121.585419468,-125.917,87
88,56.6028,4.26729771496,122.803,93.6036689782,91.6489153608,304.210521453,0.778813,26.8367111269,140.258472774,40.9328,252.687333227,638.106040642,-0.721613637116,92.9654828603,122.941,122.822395528,54.0775,122.91128987,-127.26,88
89,56.9082,4.39397775902,124.044,100.730194235,85.846697669,279.418278819,0.801391,32.5838636588,107.846780158,41.135,175.3178754,607.939206301,5.75445468602,85.0650848598,124.187,124.061875452,59.1739,124.15091946,-128.492,89
90,57.1968,4.3769496474,125.274,122.229442258,195.61102109,421.998231098,0.798887,104.625594777,75.8581095676,41.3307,155.971121331,569.104746192,34.7985697977,84.8316747625,125.41,125.293160538,57.247,125.381650533,-129.782,90
91,57.5059,4.33524326891,126.848,102.141993683,178.886417899,398.143214085,0.824312,71.8471268095,101.463190141,41.5394,317.915440426,610.40567456,82.5220536704,105.21510735,126.993,126.866520968,54.373,126.961661336,-131.35,91
92,57.8335,4.43019890355,128.117,105.703372415,113.814571721,256.643431589,0.788898,26.7286468726,143.983529794,41.7457,303.633961054,596.517391721,-28.5361377155,92.6423655263,128.261,128.133699009,58.8033,128.225157799,-132.589,92
93,58.1453,4.51282183434,129.161,90.0564940174,262.262511581,373.355650154,0.807638,92.8894702842,137.172144165,41.914,325.440332089,933.869988486,133.874003513,113.846341971,129.309,129.176185522,62.8344,129.267658938,-133.675,93
94,58.4461,4.51898559348,130.497,87.412538988,157.352250149,278.144415653,0.82522,7.73447391215,205.675492022,42.1427,270.013438562,973.800160461,-1.86641394156,87.2379473453,130.642,130.518450019,61.1328,130.611758134,-134.954,94
95,58.7692,4.50220455802,132.064,182.389025897,202.202444848,558.681880174,0.809168,59.1910608874,120.040312417,42.3368,269.322087676,527.084175542,62.0011984142,88.1077661409,132.216,132.078850922,61.3757,132.175606059,-136.562,95
96,59.0911,4.58033295628,133.068,153.510263186,174.83488826,424.985551465,0.802748,-20.3414504806,157.171352173,42.5319,234.954796244,678.608995897,-3.10507094112,76.9204925934,133.211,133.088603743,63.5615,133.180089065,-137.566,96
97,59.4122,4.57187918732,134.543,70.4363789585,109.894217484,209.230440459,0.813673,6.41998692032,184.903873827,42.7308,297.248605265,969.760200132,-1.5013308584,91.0381661502,134.68,134.558428514,62.0322,134.645560446,-139.074,97
98,59.7505,4.5830920676,135.584,138.708049549,100.669547451,426.94217543,0.822877,104.028196215,156.421497348,42.943,273.30037676,910.202199025,-6.91454370489,109.294762291,135.731,135.601294395,60.0499,135.698692691,-140.055,98
99,60.0655,4.72378938603,136.85,159.347637842,195.727117451,545.556845808,0.854693,122.308665944,140.218173028,43.1734,233.540514737,845.530273801,1.17620773031,97.0271179308,137.007,136.872607174,66.633,136.967942288,-141.307,99
100,60.32,4.66753618034,138.08,132.445288033,186.918258674,422.566512271,0.822976,-37.5823372484,133.535898961,43.3371,213.342570579,596.190334235,-0.760370620599,80.6806729112,138.247,138.096824509,65.1187,138.199174646,-142.54,100
101,60.6367,4.76181542231,139.316,104.842820345,157.747416932,325.25051998,0.845772,117.683930525,127.98214532,43.499,319.698634605,701.495831416,6.79085594631,121.424002307,139.472,139.335281273,68.1988,139.434403591,-143.845,101
102,60.9509,4.7687799551,140.535,101.087539449,223.199592604,355.896689752,0.844188,137.453234247,123.423445647,43.6974,288.916687756,715.051889541,105.838843168,119.264501961,140.696,140.552738016,67.1179,140.652472994,-145.074,102
103,61.2367,4.82734375445,141.554,133.480626035,167.679741714,479.06751199,0.83406,137.329901471,117.822693382,43.8858,308.208335466,676.036066823,5.10030265771,128.805788469,141.719,141.568926342,70.6983,141.668491016,-146.115,103
104,61.5298,4.86398161592,142.802,71.130481561,137.651273331,218.261924822,0.83458,30.3952361721,172.6354356,44.0805,281.146253075,960.394247389,6.62823279761,100.395288459,142.971,142.828372065,70.3555,142.937704341,-147.328,104
105,61.8568,4.87256984234,144.078,118.659858618,232.221572551,353.82323144,0.842346,70.3793918763,176.887265991,44.2291,304.365742621,880.927163228,51.6711803618,101.502081061,144.251,144.097095466,69.2072,144.207745599,-148.555,105
106,62.1581,4.91699841197,145.397,159.096415926,266.007794531,518.688971768,0.830941,73.2803185115,156.707663462,44.4044,281.608318489,1020.3484311,2.22800208626,102.621580857,145.572,145.419727971,73.6424,145.532664709,-149.98,106
107,62.4306,4.90005440759,146.698,132.642589883,204.136546482,444.658545417,0.84327,-24.0107853609,128.246301044,44.5803,252.929730893,540.065752005,5.10826555209,91.8528770136,146.855,146.715979713,68.8681,146.810445555,-151.281,107
108,62.7567,5.03662151669,148.04,230.533306605,359.408186841,650.585920958,0.804474,76.4668618583,278.196737414,44.7308,314.139987977,1064.17568571,60.5057911646,98.0250348854,148.199,148.066593323,76.6112,148.16173674,-152.695,108
109,63.1079,5.05333192086,149.058,188.205992885,235.588870585,627.148969127,0.835507,84.0791691061,190.314941251,44.8848,156.832178848,1080.51146014,-0.968170695132,77.722094916,149.212,149.074291561,76.8911,149.170575053,-153.777,109
110,63.428,5.04294280946,150.594,155.855997745,289.809441766,483.989828976,0.827329,148.441400448,127.231861292,45.0386,250.626213558,834.637902777,4.70245909363,116.391847518,150.751,150.61492705,74.9608,150.712641899,-155.236,110
111,63.7133,5.06114784649,151.581,137.828964916,148.874591552,426.361267085,0.834101,135.696840309,122.591507562,45.1986,363.841800724,718.218733492,-21.7480702812,125.193410172,151.756,151.600841496,74.6443,151.706903382,-156.245,111
112,64.025,5.16742905361,152.711,173.47520074,249.085059838,479.814555632,0.847639,130.266861863,142.711750081,45.4059,292.252527508,701.044851152,-1.40848399189,132.248245075,152.891,152.733619799,78.6694,152.845001968,-157.43,112
113,64.3285,5.20490866276,153.784,117.053880882,130.197750644,396.255274448,0.834465,152.739276956,210.447187177,45.5512,399.097625499,1110.3233323,-24.765853937,143.348488911,153.967,153.80406335,79.9591,153.921252953,-158.532,113
114,64.6021,5.22485162378,155.278,160.126910225,145.428676243,516.652319888,0.822584,206.837212329,183.389882964,45.6998,425.972469389,997.798432696,4.36534103404,122.159256008,155.468,155.300237403,83.6086,155.421339319,-160.045,114
115,64.8872,5.26470868913,156.749,176.094479305,278.921459056,544.269499296,0.778574,188.102898289,291.096542889,45.8292,573.792663046,1080.30982699,-0.592025744549,118.658840211,156.938,156.767269143,81.5543,156.880995946,-161.543,115
116,65.1564,5.30827743084,157.701,113.892345231,176.254100782,346.552690313,0.867498,150.45360586,100.958651768,46.0023,292.667601902,642.179725101,0.443833163671,119.565114503,157.898,157.72107178,85.0973,157.840265495,-162.454,116
117,65.3792,5.37748163342,158.983,169.746633144,228.590565809,493.211563603,0.884301,4.62488088425,142.508903325,46.145,224.772388014,606.116633081,-2.80449281361,86.363378202,159.187,159.003131164,86.8852,159.129238559,-163.759,117
118,65.6408,5.3300710547,160.46,136.805326345,218.40154238,419.697208666,0.855995,121.070144136,103.794912355,46.2898,288.632212646,648.13166809,5.91316325119,121.772610043,160.653,160.485125494,84.3324,160.60352861,-165.23,118
119,65.8879,5.37870075709,161.763,54.9174973637,146.329192605,248.436565513,0.853707,38.8387919959,136.149529298,46.4644,302.378356073,650.162656988,73.4414497822,98.7901797941,161.954,161.789607185,84.8252,161.905060813,-166.607,119
120,66.1366,5.42519465499,162.398,140.541086285,179.900104794,436.500989673,0.851811,140.903665987,64.851882,46.6025,245.389592425,489.448972502,-0.482241713381,124.850565841,162.606,162.416173723,89.8941,162.541551293,-167.229,120
121,66.373,5.34286272821,163.739,112.586862239,107.291361031,301.50461204,0.822743,26.8974936741,114.771974596,46.754,290.560586705,544.926981161,1.61779585956,116.482399743,163.944,163.762455585,83.1491,163.887050143,-168.517,121
122,66.6059,5.42955788612,164.598,119.217811695,234.143946396,373.673372053,0.816899,60.9261083011,228.346199478,46.8961,377.177213107,1006.83744044,-1.89002661857,126.088080413,164.805,164.614574616,90.2468,164.739347091,-169.457,122
123,66.8682,5.45395926673,165.761,159.347794872,189.806396506,416.978625513,0.841107,132.070631344,76.5136158261,46.9745,260.809598156,554.855208584,25.8820069056,123.57391626,165.98,165.788732601,89.3897,165.926190035,-170.633,123
124,67.0773,5.49114234676,166.899,143.527147443,183.815898203,410.77772329,0.837108,142.079682887,126.779643653,47.0784,295.450484653,575.891426651,-0.384118733072,127.467314677,167.107,166.916003679,89.9776,167.050779179,-171.818,124
125,67.3208,5.53204762734,168.041,115.452655139,334.126444693,545.285129857,0.795384,232.920348585,281.810609132,47.1926,506.751909432,1040.02671371,217.563995975,125.326607496,168.252,168.064872503,93.9609,168.204647634,-173.025,125
